bioguide_id,twitter_id,twitter_username,facebook_id,facebook_username,youtube_id,youtube_username,instagram_id,instagram_username
R000600,3026622545,RepAmata,1537155909907320,congresswomanaumuaamata,UCGdrLQbt1PYDTPsampx4t1A,,,
H001070,2964222544,RepHardy,320612381469421,RepCresentHardy,UCc8E6NWCdgrXjBVI2NNPYdA,RepHardy,,
G000546,29766367,RepSamGraves,,,,,,
Y000064,234128524,RepToddYoung,186203844738421,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,RepToddYoung,,
E000295,2856787757,SenJoniErnst,351671691660938,senjoniernst,UCLwrmtF_84FIcK3TyMs4MIw,,1582702853,senjoniernst
T000476,2964174789,senthomtillis,1576257352609470,SenatorThomTillis,UCUD9VGV4SSGWjGdbn37Ea2w,,,
Y000063,252819642,RepKevinYoder,154026694650252,CongressmanKevinYoder,UCCeYmn4A8kZEHCcAfeUW9lQ,RepYoder,,
Y000062,384913290,RepJohnYarmuth,214258646163,214258646163,UCy5KW4yrEfEiyZRX45Eoxkg,RepJohnYarmuth,,
Y000033,37007274,RepDonYoung,7476269851,RepDonYoung,UCg5ZIR5-82EbJiNeI1bqT-A,RepDonYoung,,
W000809,234469322,Rep_SteveWomack,135898413136490,RepSteveWomack,UCXJbUDLYX-wGIhRuN66hqZw,CongressmanWomack,,
W000808,234014087,RepWilson,162327487151626,RepWilson,UCP5QBhng_lHv-vJgE_h7lpA,repfredericawilson,,
W000806,281540744,RepWebster,188572961157305,RepWebster,UCCoX4VdU7U11eGEA0lbRtLw,repdanwebster,,
W000805,7429102,MarkWarner,7935122852,MarkRWarner,UCwyivNlEGf4sGd1oDLfY5jw,SenatorMarkWarner,515327940,senatorwarner
W000804,15356407,RobWittman,38932542633,RepRobWittman,UCIqIb-OaTbkIdU426eYIdPg,RobWittman,,
W000802,242555999,SenWhitehouse,194172833926853,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,SenatorWhitehouse,,SenWhitehouse
W000800,1410590874,PeterWelch,72680720883,PeterWelch,UC0YfApJx6qNaAQ-ir93U8xA,reppeterwelch,1559860900,peterwelchvt
W000798,237862972,RepWalberg,187654104587692,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,RepWalberg,,
W000797,1140648348,RepDWStweets,88904724121,RepDWS,UCfHQiJVvMlYbVAxrMSLdO4w,RepWassermanSchultz,,RepDWSTweets
W000796,137407124,RepWestmoreland,71389451419,71389451419,UCofsQVHgAUcxNoV5RP6XyYg,RepLynnWestmoreland,,
W000795,254082173,RepJoeWilson,70150469414,JoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,RepJoeWilson,519685522,repjoewilson
W000791,32010840,RepGregWalden,313301365382225,repgregwalden,UCyaDp6ANSM9tvW7Y3LT_4KQ,RepGregWalden,382962594,repgregwalden
W000779,250188760,RonWyden,,,UCsd3UEaoLoqX60P88BdpGGw,senronwyden,9443881,wydenpress
W000437,264219447,SenatorWicker,,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,SenatorWicker,367948073,senatorwicker
W000413,234906311,RepEdWhitfield,91115765425,RepEdWhitfield,UCnt-VKq7FFzt3EWoo6mhDoA,WhitfieldKY01,,
W000187,36686040,MaxineWaters,117483585008,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,MaxineWaters,,
V000128,18137749,ChrisVanHollen,109304033877,chrisvanhollen,UCkpfJWu1N9Okd6PE_NidtBQ,RepChrisVanHollen,268595235,chrisvanhollen
V000108,193872188,RepVisclosky,118723661514709,repvisclosky,UC9njNo6tTComo9Kn7imz7Mg,PeteVisclosky1,,
V000081,164369297,NydiaVelazquez,8037068318,8037068318,UCqMKPkKeeHFOOiZ9vxhXGVg,nydiavelazquez,,
U000039,60828944,SenatorTomUdall,106433512869,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,senatortomudall,,
U000031,124224165,RepFredUpton,212027388827797,RepFredUpton,UCsN16IzEo4ViZNEMgeCrQ7w,RepFredUpton,,
T000470,242873057,RepTipton,191428784201721,CongressmanScottTipton,UCh9ssh1dvzpr1HOWaFm8rcg,RepScottTipton,,
T000469,84119348,RepPaulTonko,30671144824,paul.tonko,UC3P2SGFmmuCYRsjeso0hOQQ,reppaultonko,,
