Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
03/27/2014,142107790,12/31/2013,0800,21,Topanga,2159,354,THEFT OF IDENTITY,IC,Invest Cont,19700         FRIAR                        ST,,"(34.1857, -118.5622)"
03/11/2014,142107106,12/31/2013,0700,21,Topanga,2159,341,THEFT-GRAND (OVER $400 OR $100 IF FOWL),IC,Invest Cont, 6300         JUMILLA                      AV,,"(34.1849, -118.5626)"
03/09/2014,141706989,12/31/2013,1445,17,Devonshire,1718,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont,16000         SAN FERNANDO MISSION         BL,,"(34.2719, -118.4803)"
03/09/2014,141706988,12/31/2013,1445,17,Devonshire,1764,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont,19500         MAYALL                       ST,,"(34.2536, -118.5579)"
03/18/2014,141507899,12/31/2013,0800,15,N Hollywood,1508,354,THEFT OF IDENTITY,IC,Invest Cont, 7400         DENNY                        AV,,"(34.2048, -118.3649)"
03/27/2014,141410277,12/31/2013,1300,14,Pacific,1446,668,"EMBEZZLEMENT, GRAND",IC,Invest Cont, 3900         MARCASEL                     AV,,"(34.0046, -118.4257)"
03/07/2014,141107003,12/31/2013,0010,11,Northeast,1162,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont, 1200      N  VIRGIL                       AV,,"(34.0935, -118.2866)"
03/14/2014,141006993,12/31/2013,0900,10,West Valley,1023,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont, 6500         WYSTONE                      AV,,"(34.1884, -118.547)"
03/22/2014,140806945,12/31/2013,1500,08,West LA,0824,354,THEFT OF IDENTITY,IC,Invest Cont,  400         HILLSIDE                     LN,,"(34.0332, -118.5183)"
03/06/2014,140307633,12/31/2013,1200,03,Southwest,0363,354,THEFT OF IDENTITY,IC,Invest Cont, 4100         BUCKINGHAM                   RD,,"(34.0121, -118.3423)"
03/18/2014,140308287,12/30/2013,0800,03,Southwest,0353,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont, 3500         POTOMAC                      AV,,"(34.0237, -118.3442)"
03/06/2014,140706409,12/30/2013,1600,07,Wilshire,0785,354,THEFT OF IDENTITY,IC,Invest Cont, 4800      W  WASHINGTON                   BL,,"(34.0399, -118.3435)"
03/06/2014,140706428,12/30/2013,0900,07,Wilshire,0732,354,THEFT OF IDENTITY,IC,Invest Cont, 6100         ORANGE                       ST,,"(34.064, -118.3614)"
03/17/2014,141308178,12/30/2013,0001,13,Newton,1365,354,THEFT OF IDENTITY,IC,Invest Cont, 1400      E  47TH                         ST,,"(34.0011, -118.2499)"
03/14/2014,141606554,12/30/2013,1200,16,Foothill,1613,354,THEFT OF IDENTITY,IC,Invest Cont,12700         VAN NUYS                     BL,,"(34.2753, -118.4095)"
03/26/2014,141808123,12/30/2013,0200,18,Southeast,1842,121,"RAPE, FORCIBLE",IC,Invest Cont,  200      W  108TH                        ST,,"(33.9383, -118.2762)"
03/18/2014,140109066,12/29/2013,0900,01,Central,0164,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont,  600      S  SPRING                       ST,,"(34.046, -118.2509)"
03/10/2014,140406691,12/29/2013,1300,04,Hollenbeck,0467,510,VEHICLE - STOLEN,IC,Invest Cont,  400      S  SAVANNAH                     ST,,"(34.0377, -118.2053)"
03/24/2014,141007458,12/29/2013,1200,10,West Valley,1008,341,THEFT-GRAND (OVER $400 OR $100 IF FOWL),IC,Invest Cont, 7900         GLORIA                       AV,,"(34.2139, -118.4793)"
03/24/2014,141007464,12/29/2013,1200,10,West Valley,1029,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont,15700         VANOWEN                      ST,,"(34.1939, -118.4749)"
03/10/2014,141606422,12/29/2013,1900,16,Foothill,1617,820,ORAL COPULATION,IC,Invest Cont,10500         SHERMAN GROVE                AV,,"(34.2597, -118.3201)"
03/14/2014,141908141,12/29/2013,1320,19,Mission,1941,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont,10900         MARKLEIN                     AV,,"(34.2684, -118.4704)"
03/31/2014,141308929,12/28/2013,1100,13,Newton,1321,810,"SEX, UNLAWFUL",IC,Invest Cont,  300      W  ADAMS                        BL,,"(34.0265, -118.2723)"
03/14/2014,140108796,12/27/2013,1200,01,Central,0158,354,THEFT OF IDENTITY,IC,Invest Cont,  800      E  6TH                          ST,,"(34.0408, -118.2428)"
03/15/2014,140506962,12/27/2013,0800,05,Harbor,0563,354,THEFT OF IDENTITY,IC,Invest Cont, 1400      S  GAFFEY                       ST,,"(33.7315, -118.2924)"
03/06/2014,142106927,12/27/2013,1530,21,Topanga,2157,940,EXTORTION,AO,Adult Other, 6600         INDEPENDENCE                 AV,,"(34.1904, -118.5906)"
03/21/2014,140109225,12/26/2013,0001,01,Central,0155,946,OTHER MISCELLANEOUS CRIME,AA,Adult Arrest,  200      E  6TH                          ST,,"(34.0446, -118.249)"
03/03/2014,140706300,12/26/2013,1816,07,Wilshire,0765,664,"BUNCO, PETTY THEFT",IC,Invest Cont, 4800      W  PICO                         BL,,"(34.0483, -118.3409)"
03/18/2014,141707423,12/26/2013,1800,17,Devonshire,1756,440,THEFT PLAIN - PETTY (UNDER $400),IC,Invest Cont,10000         LASAINE                      AV,,"(34.2521, -118.5123)"
03/24/2014,141707656,12/26/2013,2000,17,Devonshire,1725,420,THEFT FROM MOTOR VEHICLE - PETTY (UNDER $400),IC,Invest Cont,10600         MELVIN                       AV,,"(34.2629, -118.5601)"
03/20/2014,140308490,12/25/2013,1200,03,Southwest,0314,330,BURGLARY FROM VEHICLE,IC,Invest Cont, 3300      W  ADAMS                        BL,,"(34.0327, -118.3201)"
03/29/2014,140308998,12/25/2013,1400,03,Southwest,0318,310,BURGLARY,IC,Invest Cont, 1100      W  ADAMS                        BL,,"(34.0317, -118.284)"
03/09/2014,141006756,12/25/2013,1510,10,West Valley,1041,664,"BUNCO, PETTY THEFT",IC,Invest Cont, 5900         MELVIN                       AV,,"(34.1776, -118.56)"
03/06/2014,141507292,12/25/2013,1300,15,N Hollywood,1532,440,THEFT PLAIN - PETTY (UNDER $400),IC,Invest Cont, 5700         WHITSETT                     AV,,"(34.174, -118.4052)"
03/27/2014,140707900,12/24/2013,0001,07,Wilshire,0765,946,OTHER MISCELLANEOUS CRIME,AA,Adult Arrest, 4800         VENICE                       BL,,"(34.0466, -118.3405)"
03/29/2014,141410435,12/24/2013,1200,14,Pacific,1454,354,THEFT OF IDENTITY,IC,Invest Cont,13200         FIJI                         WY,,"(33.981, -118.4332)"
03/19/2014,141507918,12/24/2013,0800,15,N Hollywood,1565,354,THEFT OF IDENTITY,IC,Invest Cont,11200         MOORPARK                     ST,,"(34.1504, -118.3744)"
03/11/2014,141606461,12/24/2013,2200,16,Foothill,1653,946,OTHER MISCELLANEOUS CRIME,IC,Invest Cont,12800         OSBORNE                      ST,,"(34.2529, -118.4112)"
