Title,Artist,ArtistBio,Date,Medium,Dimensions,CreditLine,MoMANumber,Classification,Department,DateAcquired,CuratorApproved,ObjectID,URL
"Ferdinandsbrücke Project, Vienna, Austria , Elevation, preliminary version",Otto Wagner,"(Austrian, 1841–1918)",1896,Ink and cut-and-pasted painted pages on paper,"19 1/8 x 66 1/2"" (48.6 x 168.9 cm)",Fractional and promised gift of Jo Carole and Ronald S. Lauder,885.1996,A&D Architectural Drawing,Architecture & Design,1996-04-09,Y,2,http://www.moma.org/collection/works/2
"Jewish Museum Project, Judenplatz, Vienna, Austria  Project, Exterior perspective",Raimund Abraham,"(American, born Austria. 1933–2010)",1992,Photocopy-transfer and acrylic,"24 x 31 1/2"" (61 x 80 cm) (sight)",Gift of the architect in honor of Philip Johnson,343.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,335,http://www.moma.org/collection/works/335
"Worldbridge Trade and Investment Center, project, Baltimore, Maryland, Section, Site plan",Emilio Ambasz,"(Argentine, born 1943)",1992,"Airbrush, watercolor and color pencil","24 x 31"" (61 x 78.7 cm)",Gift of the architect in honor of Philip Johnson,344.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,336,
"Worldbridge Trade and Investment Center, project, Baltimore, Maryland, Site plan",Emilio Ambasz,"(Argentine, born 1943)",1992,"Airbrush, watercolor, and color pencil on paper","24 x 31"" (61 x 78.7 cm)",Gift of the architect in honor of Philip Johnson,345.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,337,http://www.moma.org/collection/works/337
"Church of the Light, Ibaraki, Osaka, Japan, Interior perspective",Tadao Ando,"(Japanese, born 1941)",1989,Color pencil (orange) on note paper,"10 1/8 x 7 1/8"" (25.7 x 18.1 cm)",Gift of the architect in honor of Philip Johnson,346.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,338,
"Church of the Light, Ibaraki, Osaka, Japan, Interior perspective",Tadao Ando,"(Japanese, born 1941)",1989,Color pencil (blue and black) on note paper,"10 1/8 x 7 1/8"" (25.7 x 18.1 cm)",Gift of the architect in honor of Philip Johnson,347.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,339,http://www.moma.org/collection/works/339
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Graphite on Japanese paper,"16 3/8 x 24"" (41.6 x 61 cm) (approx.)",Gift of the architect in honor of Philip Johnson,348.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,340,http://www.moma.org/collection/works/340
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Lithograph with color pencil,"40 1/2 x 28 5/8"" (102.9 x 72.7 cm)",Gift of the architect in honor of Philip Johnson,349.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,341,http://www.moma.org/collection/works/341
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Graphite on rice paper,"12 3/8 x 10 7/8"" (31.4 x 27.6 cm)",Gift of the architect in honor of Philip Johnson,350.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,343,
"Motorway Service Station Project, Exterior perspective",Mario Bellini,"(Italian, born 1935)",1989.,Computer-generated laser print,"8 1/2 x 15 1/4"" (21.6 x 38.7 cm)",Gift of the architect in honor of Philip Johnson,351.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,345,http://www.moma.org/collection/works/345
"Motorway Service Station, project, Preliminary plan",Mario Bellini,"(Italian, born 1935)",1991,Graphite on paper,"14 x 18"" (35.6 x 45.7 cm)",Gift of the architect in honor of Philip Johnson,352.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,353,
