IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
096108917,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,23:55,CENTRAL,NONE,400 Block of MASON ST,-122.409925328419,37.7877640990096,"(37.7877640990096, -122.409925328419)",9610891706374
091124087,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,10/31/2009,23:54,SOUTHERN,NONE,FOLSOM ST / BEALE ST,-122.392727331074,37.7886861744434,"(37.7886861744434, -122.392727331074)",9112408715040
091124087,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,10/31/2009,23:54,SOUTHERN,NONE,FOLSOM ST / BEALE ST,-122.392727331074,37.7886861744434,"(37.7886861744434, -122.392727331074)",9112408715200
091124021,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Saturday,10/31/2009,23:50,SOUTHERN,"ARREST, CITED",600 Block of HOWARD ST,-122.399870165149,37.7854258563204,"(37.7854258563204, -122.399870165149)",9112402130200
091167388,ASSAULT,BATTERY,Saturday,10/31/2009,23:45,TARAVAL,NONE,SANFELIPE AV / MONTEREY BL,-122.461736679017,37.7300233379262,"(37.7300233379262, -122.461736679017)",9116738804134
091124134,WEAPON LAWS,DISCHARGE FIREARM AT AN INHABITED DWELLING,Saturday,10/31/2009,23:42,MISSION,NONE,2700 Block of 21ST ST,-122.410052233862,37.7575120708932,"(37.7575120708932, -122.410052233862)",9112413412026
091123976,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,10/31/2009,23:35,PARK,NONE,MARKET ST / 17TH ST,-122.435187699349,37.7626702770872,"(37.7626702770872, -122.435187699349)",9112397615200
091123976,ASSAULT,BATTERY,Saturday,10/31/2009,23:35,PARK,NONE,MARKET ST / 17TH ST,-122.435187699349,37.7626702770872,"(37.7626702770872, -122.435187699349)",9112397604134
096108575,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,23:30,RICHMOND,NONE,600 Block of 12TH AV,-122.470295051017,37.7759942821838,"(37.7759942821838, -122.470295051017)",9610857506244
106017353,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,23:30,INGLESIDE,NONE,0 Block of ROEMER WY,-122.446571654745,37.7090296042376,"(37.7090296042376, -122.446571654745)",10601735306374
096120240,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,23:30,MISSION,NONE,600 Block of VALENCIA ST,-122.421550176461,37.7621307247611,"(37.7621307247611, -122.421550176461)",9612024006374
091124009,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,10/31/2009,23:20,CENTRAL,NONE,400 Block of COLUMBUS AV,-122.408407397189,37.7991423265238,"(37.7991423265238, -122.408407397189)",9112400906154
091123841,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,10/31/2009,23:08,SOUTHERN,"ARREST, BOOKED",NATOMA ST / 8TH ST,-122.412160931881,37.7766597984985,"(37.7766597984985, -122.412160931881)",9112384116621
091123841,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,10/31/2009,23:08,SOUTHERN,"ARREST, BOOKED",NATOMA ST / 8TH ST,-122.412160931881,37.7766597984985,"(37.7766597984985, -122.412160931881)",9112384116010
091123863,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Saturday,10/31/2009,23:01,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426955631709,37.769247063207,"(37.769247063207, -122.426955631709)",9112386306365
