id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,utc_offset,time_zone,verified,geo_enabled,lang,profile_image_url,profile_background_image_url,profile_background_color,profile_link_color
23951197,Aaron Schock,aaronschock,"Peoria, IL","",,28196,903,1193,2009-03-12 14:04:15,329,2524,-18000,Quito,true,true,en,http://pbs.twimg.com/profile_images/378800000525490096/612535c29530d95adf5ce14a1a74f2db_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,5F97B3,0084B4
20209807,Ander Crenshaw,AnderCrenshaw,"Washington, D.C.","Member of Congress, FL-04",http://t.co/UaUgmO40lF,8670,221,781,2009-02-06 01:48:11,1,973,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/529438744/twitter_pic_normal.jpg,http://pbs.twimg.com/profile_background_images/54151761/tw.jpg,052841,093552
234797704,Rep. Austin Scott,AustinScottGA08,"Ashburn, GA",I am proud to represent the 8th Congressional District of Georgia.,http://t.co/GQwXIhub9a,7827,316,579,2011-01-06 16:01:46,7,1551,,,true,false,en,http://pbs.twimg.com/profile_images/1801707886/11-01-05_-_Ceremonial_Swearing_In_Photo__1__normal.jpg,http://pbs.twimg.com/profile_background_images/535023703/Twitter_Graphic.jpg,11172E,11172E
82453460,RepBThompson,BennieGThompson,"Bolton, Mississippi","",http://t.co/POCpyzRcHb,4793,410,330,2009-10-14 20:47:03,11,525,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/501754877597347841/O6OEfrSm_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
516880804,Betty McCollum,BettyMcCollum04,"St. Paul, MN","I am currently serving my seventh term in the United States Congress, representing the residents of Minnesota’s Fourth Congressional District.",http://t.co/uAK8PlcNYj,6638,805,399,2012-03-06 20:52:11,47,2642,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/1877698367/Twitter_Headshot_0129_normal.jpg,http://pbs.twimg.com/profile_background_images/442880913/1024px-Stpaul-minneapolis.jpg,C0DEED,0084B4
74508260,"Bill Pascrell, Jr.",BillPascrell,"Paterson, NJ",I represent the 9th District of New Jersey in the House of Representatives. I currently serve on the Ways and Means and Budget Committees.,http://t.co/6xjU9xPLNs,4841,340,394,2009-09-15 17:54:32,12,910,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/1318786984/23595_326400899155_303312929155_3795952_7045199_n_normal.jpg,http://pbs.twimg.com/profile_background_images/235835902/DSC_00331.JPG,C0DEED,0084B4
137823987,Blumenauer Media,BlumenauerMedia,"",Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.,http://t.co/xtsAE5Cp8T,2762,250,287,2010-04-27 21:48:06,0,355,-25200,Pacific Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/1769543952/Earl_garden_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
15394954,U.S. Rep. Bob Latta,boblatta,"ÜT: 41.052377,-82.130057",Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Vice Chairman of the Communications & Technology Subcommittee.,http://t.co/dSKBcpo6FL,15505,5896,1113,2008-07-11 18:33:24,403,5213,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/621369511636135937/Zk5PgsWw_normal.jpg,http://pbs.twimg.com/profile_background_images/33494886/latta-twt.gif,4F4F4F,3B94D9
30216513,Brad Sherman,BradSherman,"Sherman Oaks, CA",Serving California's San Fernando Valley.  Admission: Some of these tweets are prepared by my staff on my behalf. ReTweets are not an endorsement.,http://t.co/Ylyf3DDmjz,7873,112,615,2009-04-10 13:38:03,1,596,-25200,Pacific Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/131821361/Rep._Sherman_Official_Portrait.sm2_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,022330,0084B4
305620929,Dutch Ruppersberger,Call_Me_Dutch,"Washington, DC","U.S. Congressman serving Maryland's 2nd District. Member of House Appropriations Committee. Loves all things Baltimore esp. the Ravens, Orioles and crabs.",http://t.co/uAblmVkUWN,5604,1174,434,2011-05-26 14:39:08,59,1745,-18000,Quito,true,false,en,http://pbs.twimg.com/profile_images/466663718932074497/Hzr9q14A_normal.jpeg,http://pbs.twimg.com/profile_background_images/309313437/ps_cap09.jpg,C0DEED,0084B4
