id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626821848857202688,242761889,congressmandan,Twitter Web Client,2015-07-30 18:29:09,1,0,"RT @MorningBriefing: The ""Veterans Data Modernization Act,"" will require the VA to collect basic data on the cost of providing care to vete…",,,626720338848673792,16261445,MorningBriefing
626821813562142721,242761889,congressmandan,Twitter Web Client,2015-07-30 18:29:00,1,0,RT @MorningBriefing: @congressmandan wrote VA data bill after learning in hearings that the VA doesn't collect basic information like the $…,,,626720796573061120,16261445,MorningBriefing
626821745417170944,242761889,congressmandan,Twitter Web Client,2015-07-30 18:28:44,1,0,"RT @MorningBriefing: ""In order to fix the VA, we need transparency &amp; this bill delivers that,"" said @CongressmanDan who worked as a surgeon…",,,626721631881310208,16261445,MorningBriefing
626821644129054721,242761889,congressmandan,Twitter Web Client,2015-07-30 18:28:20,2,0,RT @RepRyanCostello: I supported @CongressmanDan &amp; @RepSinema Amendment in the #VAaccountability Act https://t.co/sIQWkE8BZY,,,626769329632116736,2953922782,RepRyanCostello
626509226656026624,242761889,congressmandan,Twitter Web Client,2015-07-29 21:46:54,26,0,RT @HouseGOP: It shouldn't take more than a year to fire an employee who is not doing their job: serving vets.  #VAaccountability,,,626509074977398785,15207668,HouseGOP
626483086474248192,242761889,congressmandan,Twitter Web Client,2015-07-29 20:03:01,1,0,RT @RepCloakroom: The Rep. Benishek (R-MI) {@CongressmanDan} Amendment No. 1 was adopted by voice,,,626481701460541440,1137600571,RepCloakroom
626481218306080768,242761889,congressmandan,Twitter Web Client,2015-07-29 19:55:36,27,0,"RT @PeteHegseth: ""The VA needs to remember it doesn't exist to serve the VA, but to serve our veterans."" —@CongressmanDan Benishek #VAaccou…",,,626471769499635712,405004997,PeteHegseth
626481157945827328,242761889,congressmandan,Twitter Web Client,2015-07-29 19:55:22,1,0,RT @RepCloakroom: We have begun 10 minutes of debate on the Rep.  Benishek (R-MI) {@CongressmanDan} Amendment No. 1,,,626479144025591812,1137600571,RepCloakroom
626481054120062976,242761889,congressmandan,Twitter Web Client,2015-07-29 19:54:57,5,6,"I appreciate the support of my friend from across the aisle, @RepSinema, in joining me on the floor to fight for accountability at the VA!",,,,,
626480426236948480,242761889,congressmandan,Twitter Web Client,2015-07-29 19:52:27,0,0,Thank you to @RepJeffMiller for speaking support of the Benishek amendment.,,,,,
626479380236247044,242761889,congressmandan,Twitter Web Client,2015-07-29 19:48:18,0,0,My amendment is now being considered on the House floor.  Tune in: http://t.co/JCkiOnQp3i,,,,,
626477008780922880,242761889,congressmandan,Twitter Web Client,2015-07-29 19:38:52,0,0,"On the floor debating HR 1994, a bill that brings real changes to the way the VA operates.  My amendment will come up for debate soon!",,,,,
626430510567432192,242761889,congressmandan,Twitter Web Client,2015-07-29 16:34:06,4,3,Today my Demanding Accountability for Veterans Act will be considered as an amendment on the floor of the House. This is a big win for vets!,,,,,
624324845476511748,242761889,congressmandan,Twitter Web Client,2015-07-23 21:06:57,33,0,RT @SpeakerBoehner: A White House official admitted there is a secret side deal with #Iran. https://t.co/Nz8HxLSvTJ #IranDeal http://t.co/4…,,,624323371572989952,7713202,SpeakerBoehner
624286882189418496,242761889,congressmandan,Twitter Web Client,2015-07-23 18:36:06,1,4,Great meeting @expensify Founder David Barrett.  Will see you in #Ironwood! @quinthar http://t.co/ouvpMa8LlG,,,,,
624278567166308354,242761889,congressmandan,Twitter Web Client,2015-07-23 18:03:03,10,7,I have cosponsored HR 3134 because not a single dime of taxpayer dollars belong in the hands of Planned Parenthood. #prolife,,,,,
623953288715743232,242761889,congressmandan,Twitter Web Client,2015-07-22 20:30:31,2,4,Efforts to deny gun rights to Soc. Security recipients must stop. I've called on the President to end this plan: http://t.co/e7ikyAQpnm,,,,,
623905328778858496,242761889,congressmandan,Twitter Web Client,2015-07-22 17:19:56,3,1,"Today, I questioned @DeptVetAffairs Secretary Robert McDonald on VA budget shortfall. Real reform must accompany any bailout of VA.",,,,,
623860377919594496,242761889,congressmandan,Twitter Web Client,2015-07-22 14:21:19,2,0,RT @ChadLivengood: U.S. House unanimously passes @CongressmanDan's @DeptVetAffairs health care data bill http://t.co/KhwHk3CLFI via @nannbu…,,,623665082468188160,23545095,ChadLivengood
623860307799187456,242761889,congressmandan,Twitter Web Client,2015-07-22 14:21:02,2,0,RT @RepScottRigell: Thx @CongressmanDan 4 joining our call for #SECDEF Carter to make immediate changes re: concealed carry @ installations.,,,622106757469446144,221793778,RepScottRigell
623859517755916288,242761889,congressmandan,Twitter Web Client,2015-07-22 14:17:54,8,5,"Last night, the House unanimously passed my bill to improve the VA! @HouseVetAffairs @HouseGOP http://t.co/YotsrMFrPF",,,,,
621320630412161024,242761889,congressmandan,Twitter Web Client,2015-07-15 14:09:16,7,0,RT @RepSinemaStaff: .@HouseVetAffairs Committee saved a seat for POW/MIA at today's hearing. http://t.co/gxoi2pE6bg,,,620972231959646212,3307394543,RepSinemaStaff
620689451308720128,242761889,congressmandan,Twitter Web Client,2015-07-13 20:21:11,2,0,RT @ACSCANMichigan: TY @CongressmanDan for voting YES on #cures2015 &amp; helping us work toward an end to #cancer! #OneDegree http://t.co/VYZ8…,,,620669111559827456,1485843624,ACSCANMichigan
613746310429208576,242761889,congressmandan,Twitter Web Client,2015-06-24 16:31:37,15,0,RT @VeteransHealth: Join VA on 6/25 at 2:30 EST for a Google Hangout abt the #Veterans Choice Program. Tweet Qs using #ChoiceHangout! http:…,,,613741179352576000,17346287,VeteransHealth
613729286999027715,242761889,congressmandan,Twitter Web Client,2015-06-24 15:23:59,3,0,RT @UPABC10: New post: Benishek’s toxic exposure research bill gains support http://t.co/jrNygPvmQg #upabc10,,,613447335956221953,717216324,UPABC10
611567916249673729,242761889,congressmandan,Twitter Web Client,2015-06-18 16:15:28,1,0,RT @PatrickMurphyPA: Congrats to @Rep_JaniceHahn @CongressmanDan @AMVETSNational &amp; @kevinwensing on earning the @BlindedVeterans awards htt…,,,611219415737233408,206721200,PatrickMurphyPA
611567733319290880,242761889,congressmandan,Twitter Web Client,2015-06-18 16:14:44,2,3,It was great to meet with Michigan @4H members during their trip to DC yesterday! http://t.co/po2mxjvTq3,,,,,
608999845605572608,242761889,congressmandan,Twitter Web Client,2015-06-11 14:10:52,0,0,@MackinacIsle and @TraverseCity will be featured on an upcoming episode of #TripFlip on @travelchannel http://t.co/Vygc3IgsAO,mackinacisle,,,,
608997017919057920,242761889,congressmandan,Twitter Web Client,2015-06-11 13:59:38,0,0,Sleeping Bear Dunes joins the #FindYourPark education campaign http://t.co/KFqyVY6obd @NatlParkService,,,,,
608991868114845696,242761889,congressmandan,Twitter Web Client,2015-06-11 13:39:10,0,0,Video Newsmax Prime | Rep. Dan Benishek discusses the serious concerns regarding prescription drug abuse http://t.co/lWcEsmX7JF,,,,,
605475156778229760,242761889,congressmandan,Twitter Web Client,2015-06-01 20:45:01,0,1,Some keys to staying safe on #NorthernMichigan waters this #summer! http://t.co/E3jhhChuva @uscoastguard,,,,,
605444928093712384,242761889,congressmandan,Twitter Web Client,2015-06-01 18:44:54,3,2,Great job to Sophia Thompson of #Charlevoix on making it to the 3rd round at the @ScrippsBee in #WashingtonDC! http://t.co/1HINY61IXy,,,,,
605409143411904512,242761889,congressmandan,Twitter Web Client,2015-06-01 16:22:42,1,0,Great job to East Jordan High School on being named a National Safe Sport School! http://t.co/3A6wgacqbg,,,,,
605396734810968065,242761889,congressmandan,Twitter Web Client,2015-06-01 15:33:23,1,0,"Ticks are common in #NorthernMichigan, keep your friends and family safe this #summer! http://t.co/gX6IWBPJT1",,,,,
601467054781140992,242761889,congressmandan,Twitter Web Client,2015-05-21 19:18:15,0,0,10 local teachers were recognized for excellence in their fields. Thanks for your service to @TraverseCity students! http://t.co/DltauVHRkb,,,,,
601435081123635201,242761889,congressmandan,Twitter Web Client,2015-05-21 17:11:12,1,0,Teams from the @USFWSMidwest research sea lampreys in #Cheboygan http://t.co/kFsZkYxI1Q,,,,,
601145460582195200,242761889,congressmandan,Twitter Web Client,2015-05-20 22:00:21,1,0,RT @TommyForHealth: @CongressmanDan Thank you for sponsoring the Treat and Reduce Obesity Act!,,,600453983031959553,373545909,TommyForHealth
601145263093325824,242761889,congressmandan,Twitter Web Client,2015-05-20 21:59:34,4,0,"RT @RepSinema: Introduced a bill w/@CongressmanDan requiring VA to act on warnings about its failures, ending bonuses for bad mgmt.  http:/…",,,601140905551224833,1080844782,RepSinema
601141642322644993,242761889,congressmandan,Twitter Web Client,2015-05-20 21:45:10,1,3,"Last night, I tuned in to #TheVoiceFinale to watch @joshuadavis77 from #TraverseCity perform.  Well done, Josh! http://t.co/pKkuZBhd5y",,,,,
601075388274626560,242761889,congressmandan,Twitter Web Client,2015-05-20 17:21:54,2,1,"Today, I will introduce the Demanding Accountability for Vets Act. When vets don't recieve care, there must be consequences! #veterans",,,,,
598912481826873344,242761889,congressmandan,Twitter Web Client,2015-05-14 18:07:17,1,0,RT @deichinger1: Michigan sportsmen have a great friend in @CongressmanDan. Great meeting today on wolves and public access with @NWFGreatL…,,,598902584087289857,3130167867,deichinger1
598873067608211456,242761889,congressmandan,Twitter Web Client,2015-05-14 15:30:40,1,1,"Yesterday, I met with @MIPOAM during #NationalPoliceWeek.  If you see a cop this week, say thanks! http://t.co/9ySJpvfK9K",,,,,
598563981540876288,242761889,congressmandan,Twitter Web Client,2015-05-13 19:02:28,10,4,COOL standards will have a huge impact on MI.  Read my op-ed: http://t.co/hnLWj0G9bv http://t.co/oWhH7clPGn,,,,,
596676229480189952,242761889,congressmandan,Twitter Web Client,2015-05-08 14:01:13,2,6,".@joshuadavis77 is making #TraverseCity and Northern Michigan proud with his performance on #TheVoice.  Congratulations, Joshua!",,,,,
596354237434585088,242761889,congressmandan,Twitter Web Client,2015-05-07 16:41:44,2,0,"Today is the Vets Assistance Fair in #SaultSteMarie! If you are a vet who needs help w benefits, come by the National Guard Armory before 2!",,,,,
595966710735331328,242761889,congressmandan,Twitter Web Client,2015-05-06 15:01:51,4,3,This week I visited the @USGS Hammond Bay Biological Station.  They are doing great work to fight #InvasiveSpecies! http://t.co/4F7szUzZ6v,,,,,
595336613753946113,242761889,congressmandan,Twitter Web Client,2015-05-04 21:18:04,3,1,"It's #SmallBusinessWeek across the country. If you own or work at a small business in #MI01, send a photo to MI01photos@mail.house.gov!",,,,,
593525052550750208,242761889,congressmandan,Twitter Web Client,2015-04-29 21:19:34,4,0,RT @mihumanities: #POL15 @CongressmanDan Michigan State Champion Coral Brantly with Congressman Dan Benishek this morning in DC. http://t.c…,,,593445911419875330,18802290,mihumanities
593506672867311616,242761889,congressmandan,Twitter Web Client,2015-04-29 20:06:32,1,0,RT @DoubleRVideo: Thx @CongressmanDan for participating in NAB's Congressional PSAs on Supporting Our Troops https://t.co/PqrdI1wdc3 … @Bro…,,,593500421466890240,151179464,DoubleRVideo
593432923216420864,242761889,congressmandan,Twitter Web Client,2015-04-29 15:13:29,3,0,RT @ama_rights: .@CongressmanDan AMA Champion #AMARights http://t.co/MVK5IxFMPO,,,593054420113485824,454947269,ama_rights
590945013334441985,242761889,congressmandan,Twitter Web Client,2015-04-22 18:27:25,6,0,RT @HouseAgNews: #HBD to #HouseAg member @CongressmanDan! Glad to have him on the Cmte. MI-01 has over 1.1 mil acres in #farm land http://t…,,,590147950174691329,234573331,HouseAgNews
590938210240454656,242761889,congressmandan,Twitter Web Client,2015-04-22 18:00:23,2,3,"If you see a veteran, be sure to say thank you! It was great to see U.P. Vets from the Honor Flight today! http://t.co/JQnUf5EOJ2",,,,,
588348215373758465,242761889,congressmandan,Twitter Web Client,2015-04-15 14:28:40,2,3,"This morning I met with Patrick Parker, the Chief of the Grand Traverse Metro Fire Department! http://t.co/PlmPjTQjxe",,,,,
588336378859167744,242761889,congressmandan,Twitter Web Client,2015-04-15 13:41:38,2,0,RT @nannburke: .@CongressmanDan backs bill to research toxics’ exposure for children of veterans: http://t.co/nCq5YUJMKJ @detroitnews,,,588114582549299200,21877897,nannburke
587627737424224256,242761889,congressmandan,Twitter Web Client,2015-04-13 14:45:44,2,0,RT @yoopphoria: Even Congressmen Benishek loves our yogurt! @CongressmanDan #froyo #loveyoop http://t.co/W3tmgmqkeC,,,585289026392850433,2415008898,yoopphoria
581117897428361216,242761889,congressmandan,Twitter Web Client,2015-03-26 15:37:58,4,0,"It was great to meet with Scott Newman-Bale, the President of Business Development @ShortsBrewing in Elk Rapids! http://t.co/VDNae1tsOo",,,,,
581116748302323713,242761889,congressmandan,Twitter Web Client,2015-03-26 15:33:24,3,2,Protect grandma. Save Medicare. http://t.co/poHxxCR6cA,,,,,
578909027704414209,242761889,congressmandan,Twitter Web Client,2015-03-20 13:20:42,4,0,RT @lauradianeappel: .@PennockHealth CEO Sheryl Lewis Blake with @CongressmanDan. Thanks for a thoughtful meeting. #stophospitalcuts http:/…,,,578604022275448833,210827184,lauradianeappel
578908953943388160,242761889,congressmandan,Twitter Web Client,2015-03-20 13:20:24,1,0,RT @michpca: Thank you @CongressmanDan for supporting Health Centers by signing Bilirakis-Green #fqhc letter #AccessIsTheAnswer #FixTheCliff,,,578894754039070720,17537069,michpca
572771870191316992,242761889,congressmandan,Twitter Web Client,2015-03-03 14:53:50,5,0,"RT @CareAdvocacy: .@CongressmanDan visiting Christian Park Village in Escanaba, MI http://t.co/gloNFEArzZ",,,572763972178477056,1002244244,CareAdvocacy
572416095828779008,242761889,congressmandan,Twitter Web Client,2015-03-02 15:20:06,6,3,#AsianCarp would be devastating to the Great Lakes.  We must act now to prevent their spread http://t.co/bKGdFVzpSU.,,,,,
570615415346503681,242761889,congressmandan,Twitter Web Client,2015-02-25 16:04:51,3,0,H.R. 529 will allow computers to be included as a covered education expense. http://t.co/bKull6tHaH,,,,,
568157300701200384,242761889,congressmandan,Twitter Web Client,2015-02-18 21:17:10,5,0,RT @EmilyRissman: Great turn out for @CongressmanDan #Veterans Assistance Fair in Cheboygan. @MIVeteran http://t.co/5mvFQWUVPZ,,,568078614190821376,2545497338,EmilyRissman
568072488103616513,242761889,congressmandan,Twitter Web Client,2015-02-18 15:40:10,3,0,RT @GaylordMichigan: @CongressmanDan  stopped by for a visit today!  #GaylordMichigan http://t.co/09FvcovneE,,,567763718424248320,32872962,GaylordMichigan
565159228789510144,242761889,congressmandan,Twitter Web Client,2015-02-10 14:43:54,5,0,RT @ASAGrassroots: Thank you @CongressmanDan for meeting with members of ASA this week. #FollowFriday #FF http://t.co/U2R8NIXZ0w,,,563809103416688640,37000133,ASAGrassroots
563100767666851840,242761889,congressmandan,Twitter Web Client,2015-02-04 22:24:19,4,0,RT @MichFarmBureau: New Michigan #FarmBureau President Carl Bednarski gets acquainted w/ @CongressmanDan Benishek in DC &amp; talks farming htt…,,,563091930125717506,34776119,MichFarmBureau
563065901814407168,242761889,congressmandan,Twitter Web Client,2015-02-04 20:05:46,6,5,"The last time we updated our #EmailPrivacy Laws, I looked like this! #ECPA http://t.co/z6l3t0e0mJ",,,,,
562637932365086720,242761889,congressmandan,Twitter Web Client,2015-02-03 15:45:11,10,0,RT @AllisonScottTV: Congressional Snowmobile Ride with @RepHuizenga &amp; @CongressmanDan stop at Benzie Manistee Snowbirds @upnorthlive http:/…,,,561219162350317569,2494456248,AllisonScottTV
562637867382743040,242761889,congressmandan,Twitter Web Client,2015-02-03 15:44:55,2,0,RT @MichFarmBureau: Congrats @CongressmanDan &amp; @RepMoolenaar on assignments to many agriculture subcommittees. Good for MI farming! http://…,,,561281918386577408,34776119,MichFarmBureau
560836287587184640,242761889,congressmandan,Twitter Web Client,2015-01-29 16:26:05,4,2,Small businesses like the Country Dairy Farm Store are the foundation of our economy.#TheRide2015 @RepHuizenga http://t.co/5TPvE3CJGp,,,,,
560830099717906432,242761889,congressmandan,Twitter Web Client,2015-01-29 16:01:30,1,1,Stopped by a VFW post to hear what vets have to say about how to improve services to our nation's heroes.#TheRide2015 http://t.co/vmV4WwG7AN,,,,,
560826957269856256,242761889,congressmandan,Twitter Web Client,2015-01-29 15:49:00,1,4,Just called to congratulate Gunnar Carlson on his appointment to West Point Military Academy. Back to #TheRide2015! http://t.co/FPORtoWciB,,,,,
560818715764461568,242761889,congressmandan,Twitter Web Client,2015-01-29 15:16:16,1,2,#Veterans issues are a priority for me. @RepHuizenga and I are meeting with vets to discuss their issues #TheRide2015 http://t.co/REQy7hNJv0,,,,,
560508744078217216,242761889,congressmandan,Twitter Web Client,2015-01-28 18:44:32,6,0,RT @rollcall: Michigan's @CongressmanDan &amp; @RepHuizenga are off on their 2nd annual congressional snowmobile trek: http://t.co/z9pKTv0oC4 @…,,,560495300406542337,15922214,rollcall
560449886366494720,242761889,congressmandan,Twitter Web Client,2015-01-28 14:50:40,83,0,RT @HouseGOP: RT if you agree it's time to #EndTrafficking. http://t.co/7UWvy3GIbV,,,560449798139285504,15207668,HouseGOP
557990652412444672,242761889,congressmandan,Twitter Web Client,2015-01-21 19:58:33,5,3,"Today in the House, we'll look at a bill that will lower energy prices across the country. #AmericasNewCongress http://t.co/S3w2mE0eOM",,,,,
557645805134565376,242761889,congressmandan,Twitter Web Client,2015-01-20 21:08:15,4,1,"Tune in to the #SOTU tonight, and stay tuned for the Republicans Address by @joniernst.",,,,,
557635145487093760,242761889,congressmandan,Twitter Web Client,2015-01-20 20:25:53,3,2,"Tonight, we'll hear from the President – and hopefully he wants to work with us to find solutions.",,,,,
555376280133464064,242761889,congressmandan,Twitter Web Client,2015-01-14 14:49:58,7,0,RT @healthylakes: Thanks @CongressmanDan for cosponsoring the #GLRI Act of 2015! The Act supports the #GLRI @$300M/yr for 5 yrs http://t.co…,,,555039876199239682,20999272,healthylakes
553615816235950080,242761889,congressmandan,Twitter Web Client,2015-01-09 18:14:30,4,2,The Great Lakes are vital to our way of life in Northern Michigan. http://t.co/NQSaVlEOZm,,,,,
553576581760028672,242761889,congressmandan,Twitter Web Client,2015-01-09 15:38:36,1,0,"RT @WCMUMike: My conversation w/ @CongressmanDan RT @WCMUNews: Benishek discusses new congress, priorities for next 2 years http://t.co/2WN…",,,553554661161328643,604500050,WCMUMike
553315976838914048,242761889,congressmandan,Twitter Web Client,2015-01-08 22:23:03,1,0,"In Northern Michigan, we know that 40 hours a week is full time work. http://t.co/9pizVdNwXE",,,,,
553276301822685185,242761889,congressmandan,Twitter Web Client,2015-01-08 19:45:24,11,0,RT @thehill: Obama motorcade drives by scandal-plagued VA hospital in Phoenix: http://t.co/yX4nthB1QF,,,553258629235998720,1917731,thehill
553199099466768384,242761889,congressmandan,Twitter Web Client,2015-01-08 14:38:37,3,3,Full time = 40 hours. http://t.co/ywyzm2uYWe,,,,,
552919581531336704,242761889,congressmandan,Twitter Web Client,2015-01-07 20:07:55,3,0,"RT @WCMUMike: Checking in with #Mich. US Reps this week. We'll hear from @RepDanKildee Thurs. on Morning Ed &amp; ATC, and @CongressmanDan on F…",,,552915689418526720,604500050,WCMUMike
552889689494282240,242761889,congressmandan,Twitter Web Client,2015-01-07 18:09:08,0,1,New Congress is in session - and ready to work: http://t.co/G9juiWKi3D,,,,,
552884674939609089,242761889,congressmandan,Twitter Web Client,2015-01-07 17:49:13,0,2,"Veterans have put their lives on the line. In return, we should ensure that they have the opportunity for employment when they return home.",,,,,
552862434336444416,242761889,congressmandan,Twitter Web Client,2015-01-07 16:20:50,1,1,The Hire More Heroes Act is only the beginning of #AmericasNewCongress: http://t.co/Ig0UebOWj7,,,,,
552854091706425345,242761889,congressmandan,Twitter Web Client,2015-01-07 15:47:41,2,0,"I'm proud to co-sponsor this bill in the 114th Congress, and I'm glad to see that this is one of our first priorities http://t.co/zSb2zK4lxQ",,,,,
552599288359186433,242761889,congressmandan,Twitter Web Client,2015-01-06 22:55:11,3,0,RT @BeccahAT2015: Kid bro got his passport today. Big thanks to @CongressmanDan for help getting this worked out. #Japan here we come! http…,,,552201863224119296,1952558371,BeccahAT2015
552595907951493120,242761889,congressmandan,Twitter Web Client,2015-01-06 22:41:45,1,3,"Now we continue the work of improving our economy,  fixing healthcare and ensuring that vets receive the care they've earned. #114thCongress",,,,,
552591623511896064,242761889,congressmandan,Twitter Web Client,2015-01-06 22:24:44,0,3,I was honored and humbled to be sworn in to the #114thCongress today.,,,,,
544611082342780928,242761889,congressmandan,Twitter Web Client,2014-12-15 21:52:55,1,1,Our open house in Alpena today was a great success! Thank you to all who were able to stop by! http://t.co/QV6I6BYZfx,,,,,
543483217047994368,242761889,congressmandan,Twitter Web Client,2014-12-12 19:11:11,3,0,This is great news for Mrs. Kinnunen's family! http://t.co/9AVpmS3p3K,,,,,
543152883353800704,242761889,congressmandan,Twitter Web Client,2014-12-11 21:18:33,0,0,For Christmas we want lower energy costs. That's not so much to ask: http://t.co/ySItMqfjdY,,,,,
543127973650780160,242761889,congressmandan,Twitter Web Client,2014-12-11 19:39:34,0,1,Check out this article on the GLRI bill! http://t.co/Gzyb7LXEUT,,,,,
543127900808290304,242761889,congressmandan,Twitter Web Client,2014-12-11 19:39:17,0,1,The Great Lakes are a critical part of life and the economy up here in MI and we need to continue to preserve them for future generations!,,,,,
543127757954506752,242761889,congressmandan,Twitter Web Client,2014-12-11 19:38:42,0,1,"This week we were able to pass H.R.5764, the Great Lakes Restoration Initiative (GLRI) Act of 2014.",,,,,
542691954832986113,242761889,congressmandan,Twitter Web Client,2014-12-10 14:46:59,1,1,December is a chance for us to remember the amazing work our country has produced: http://t.co/skdh299zGZ,,,,,
542362976192565248,242761889,congressmandan,Twitter Web Client,2014-12-09 16:59:44,1,1,Are you looking for a job in Northern Michigan? Head to http://t.co/0hoVUKY9gZ to search through current job openings! #jobs,,,,,
542346977447788544,242761889,congressmandan,Twitter Web Client,2014-12-09 15:56:10,1,0,We need to educate our young people about all the opportunities that are out there for them to secure good paying jobs right here!,,,,,
542346853703233538,242761889,congressmandan,Twitter Web Client,2014-12-09 15:55:40,2,0,Increasing vocational education in Northern Michigan has been one of my top priorities while in Congress. http://t.co/zuUmPgrLe1,,,,,
