id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626770441416364032,510516465,daveloebsack,Twitter Web Client,2015-07-30 15:04:52,5,1,"50 yrs ago, 30% of seniors lived below the poverty line &amp; only 51% of seniors had health coverage #MedicareMedicaid50 http://t.co/ucf13RPrAO",,,,,
626425723809583104,510516465,daveloebsack,Twitter for iPhone,2015-07-29 16:15:05,3,0,"RT @RepMullin: HR3154 passes @HouseCommerce unanimously. Closer to giving flexibility to #manufacturers &amp; consumers, @daveloebsack! http://…",,,626420629177266176,1060370282,RepMullin
625805814901682176,510516465,daveloebsack,Twitter for iPhone,2015-07-27 23:11:47,8,0,RT @RepCheri: Joined w/ @RepDuckworth &amp; @daveloebsack today to make it easier for drivers w/ disabilities to fill up at gas pump http://t.c…,,,625752866075111428,1092979962,RepCheri
625726036018360320,510516465,daveloebsack,Twitter Web Client,2015-07-27 17:54:47,4,3,Join me in telling the @EPA that #RFSworks! Comment period closes at midnight tonight! Click this link NOW! http://t.co/PTShVe1Ebh,,,,,
624694294172028928,510516465,daveloebsack,Twitter for iPhone,2015-07-24 21:35:00,1,0,RT @stopdvsa: Thank you to @daveloebsack for taking the time to meet with CIS. We enjoyed sharing our work with you. http://t.co/aCOpC2XnwF,,,624693873789440000,2282586054,stopdvsa
624293821279506432,510516465,daveloebsack,Twitter Web Client,2015-07-23 19:03:40,3,4,"Discrimination doesn’t end w/ #SCOTUS ruling. Time to pass a bill to prevent LGBT discrimination at work, school &amp; housing #EqualityForward",,,,,
623933783243423744,510516465,daveloebsack,Twitter for iPhone,2015-07-22 19:13:00,4,2,"Joined @TerryBranstad, @joniernst, @ChuckGrassley &amp; fellow Reps @BlumforCongress, @SteveKingIA &amp; @RepDavidYoung in DC http://t.co/XmbEak45ee",,,,,
623930538966040577,510516465,daveloebsack,Thunderclap,2015-07-22 19:00:07,0,3,I told #EPA to stand up to Big Oil and support renewable fuels! Have you? #RFSWorks http://t.co/tWS9M0Jcfq,,,,,
623206740411183105,510516465,daveloebsack,Twitter Web Client,2015-07-20 19:04:00,5,9,Great playoff win for Iowa's own @ZachJohnsonPGA at @TheOpen. Way to go! #OpenChampionship,,,,,
622911311677145088,510516465,daveloebsack,Twitter for iPhone,2015-07-19 23:30:04,6,0,"RT @iowa_corn: ""I promise you I will fight tooth &amp; nail for the RFS."" @daveloebsack #RFSWorks #ethanol #iowacorn300 @iowaspeedway http://t.…",,,622542014572183552,26022905,iowa_corn
621753731772776448,510516465,daveloebsack,Twitter Web Client,2015-07-16 18:50:15,1,0,RT @IowaBio: Thanks to the staff of @daveloebsack for a productive meeting on #patentreform #Medicare #WWFH15 @DesMoinesMetro http://t.co/a…,,,621751886631333889,335470872,IowaBio
621701853978456064,510516465,daveloebsack,Twitter Web Client,2015-07-16 15:24:07,4,0,RT @RepKinzinger: Today I intro'd a bill w @daveloebsack to help rural America reap the full benefits of communications technology https://…,,,621700472227782656,219429281,RepKinzinger
621701806595440640,510516465,daveloebsack,Twitter Web Client,2015-07-16 15:23:56,3,1,Joined with @RepKinzinger to intro legislation that would boost access to wireless broadband in rural areas. http://t.co/w12iLQ7VEP,,,,,
621690377846804481,510516465,daveloebsack,Twitter Web Client,2015-07-16 14:38:31,5,3,Pleased to meet with @iowa_corn farmers to talk #RFS and other issues. #cornonthehill http://t.co/pwKg4wPK0m,,,,,
621684424640491520,510516465,daveloebsack,Twitter Web Client,2015-07-16 14:14:51,4,0,RT @GEARUPTiffany: GRATEFUL for the 27 Iowa colleges/universities whose TRIO SSS prgrms were refunded! THX to @daveloebsack for continued s…,,,621673063969456129,430132570,GEARUPTiffany
621440750316834817,510516465,daveloebsack,Twitter for iPhone,2015-07-15 22:06:35,1,0,RT @iowafuel: Iowa members of @EthanolRFA met today with @daveloebsack staff to thank him for strong #RFS support.,,,621423603846905856,348063877,iowafuel
621120777774088193,510516465,daveloebsack,Twitter for iPhone,2015-07-15 00:55:07,2,0,RT @hospiceladydoc: @daveloebsack We appreciate Vonnie meeting to talk about the importance of end of life care and HR3037 #HAN15 http://t.…,,,621043915290996736,3372839193,hospiceladydoc
620998428550647808,510516465,daveloebsack,Twitter for iPhone,2015-07-14 16:48:57,5,5,Joined @jeffzeleny &amp; staff to talk #iacaucus history at @SimpsonCollege Edward M. Kennedy luncheon. @SCCulverCenter http://t.co/ikvM7IRI7n,,,,,
620263084041449472,510516465,daveloebsack,Twitter for iPhone,2015-07-12 16:06:57,5,0,RT @sixersoldman: ConLoebsack and SenAllen supporting small town EconDev in Baxter @ new Gigabyte center. @ChazAllen2013 @daveloebsack http…,,,619965483270303744,2854623044,sixersoldman
620263054178041856,510516465,daveloebsack,Twitter for iPhone,2015-07-12 16:06:50,2,0,Always a fun event! https://t.co/0QlEGyHnxA,,,,,
618905282677239808,510516465,daveloebsack,Twitter for iPhone,2015-07-08 22:11:32,4,6,My amend to expand digital learning in rural areas passed the House w bipartisan support! https://t.co/PXFYNakrTf,,,,,
618773543514447872,510516465,daveloebsack,Twitter for iPhone,2015-07-08 13:28:03,0,2,Great talking rural education with folks at the @AASAHQ conference in DC. #AASAAdv http://t.co/hyxqUNs9cg,,,,,
618772168424468481,510516465,daveloebsack,Twitter Web Client,2015-07-08 13:22:35,4,0,RT @SPudelski: Love hearing from champions for rural schools. Thank you @CongressmanGT and @daveloebsack for all you do. #AASAAdv,,,618767612848291840,568346148,SPudelski
