id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627165663870758913,1243902714,juliabrownley26,Twitter Web Client,2015-07-31 17:15:21,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
626750132428664832,1243902714,juliabrownley26,Twitter Web Client,2015-07-30 13:44:10,2,0,RT @vcstar: Rep. @JuliaBrownley26 adds health care provision to hwy bill to benefit veterans. *subscriber http://t.co/LBGZJvj7zT http://t.c…,,,626554125610676224,15292065,vcstar
626514529283870721,1243902714,juliabrownley26,Twitter Web Client,2015-07-29 22:07:58,1,2,"Pleased my bill, the Veteran Continuity of Care Act, was incorporated into H.R. 3236. Read my full statement here: http://t.co/z7O5Rip4rc",,,,,
626369109052145667,1243902714,juliabrownley26,TweetDeck,2015-07-29 12:30:07,81,78,"The House should stay in session &amp; pass a robust, long-term highway bill to end the #RepublicanRoadblock that threatens jobs across America.",,,,,
624594714956705793,1243902714,juliabrownley26,Twitter Web Client,2015-07-24 14:59:19,107,0,"RT @RepCicilline: LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #Equality…",,,624571087855202304,462143773,RepCicilline
624271864534310912,1243902714,juliabrownley26,Twitter Web Client,2015-07-23 17:36:25,1,3,Joined female colleagues in Congress &amp; @sherylsandberg for a great discussion about how to foster more women leaders. http://t.co/jrIfjSt7q3,,,,,
624255174802956288,1243902714,juliabrownley26,TweetDeck,2015-07-23 16:30:06,5,1,"Proud to be original cosponsor of #EqualityAct, #LGBT Americans deserve full protection under law. @LGBTEqCaucus http://t.co/DntVGC1b9q",,,,,
623943605279977473,1243902714,juliabrownley26,Twitter Web Client,2015-07-22 19:52:02,1,3,"Pleased to announce that @SPFireDept received a $912,976 SAFER grant from @fema! http://t.co/MJvVB5pqBQ",,,,,
623132025944412160,1243902714,juliabrownley26,Twitter Web Client,2015-07-20 14:07:06,186,0,RT @louiseslaughter: Join me in continuing the call from #SenecaFalls that all men -- and women -- are created equal. #WomenSucceed http://…,,,623128888848326656,63169388,louiseslaughter
622123803724918784,1243902714,juliabrownley26,Twitter Web Client,2015-07-17 19:20:47,559,0,"RT @GKButterfield: RT if you agree: We must ensure that every citizen, everywhere has the right to vote &amp; that every vote is counted as cas…",,,622020662748708864,432676344,GKButterfield
621778893964382209,1243902714,juliabrownley26,TweetDeck,2015-07-16 20:30:15,0,0,"#WomenSucceed when minimum wage allows them to provide for their families. In 2014, 14 states &amp; DC took action to raise the minimum wage!",,,,,
621771369039052800,1243902714,juliabrownley26,TweetDeck,2015-07-16 20:00:20,0,0,"In 2 yrs since @HouseDemocrats launched #WomenSucceed econ. agenda, we've seen a nat'l conversation begin around issues critical to families",,,,,
621746866699505665,1243902714,juliabrownley26,Twitter Web Client,2015-07-16 18:22:59,2,2,Pleased that @csuci and @CalLutheran received TRIO grants from @usedgov! Read my announcement here: http://t.co/rHbmyXskfS,,,,,
621720719236427777,1243902714,juliabrownley26,Twitter Web Client,2015-07-16 16:39:05,169,0,"RT @RepPeterDeFazio: .@SpeakerBoehner, hard-working Americans deserve a serious, long-term transportation bill. Let's end this #RepublicanR…",,,621659605144313856,252249233,RepPeterDeFazio
621434131872915456,1243902714,juliabrownley26,Twitter Web Client,2015-07-15 21:40:17,20,0,"RT @LamarSmithTX21: Rep. Smith &amp; @JuliaBrownley26, co-chairs of the Dyslexia caucus, meet with participants of #dyslexiahillday @ncldorg ht…",,,621429909123166208,15856366,LamarSmithTX21
621078113150238720,1243902714,juliabrownley26,Twitter Web Client,2015-07-14 22:05:35,0,0,"Today, two of my bills were discussed at a HVAC Health Subcommittee legislative hearing. http://t.co/aunJnseAKW http://t.co/FGQKfjSWEW",,,,,
620635762653065216,1243902714,juliabrownley26,Twitter Web Client,2015-07-13 16:47:51,0,1,"ICYMI, read my op-ed in @vcstar on how I'm advocating for our nation's veterans in Congress - http://t.co/uezHOJ1t17",,,,,
620618707417591808,1243902714,juliabrownley26,Twitter Web Client,2015-07-13 15:40:05,70,0,"RT @RepSteveIsrael: .@SpeakerBoehner, enough of these shutdowns &amp; crises. Hard-working Americans &amp; small biz agree: Renew #ExIm4jobs! http:…",,,620566240738865152,20002401,RepSteveIsrael
619634255505825792,1243902714,juliabrownley26,Twitter Web Client,2015-07-10 22:28:13,3,0,Troubled by new allegations Los Angeles Regional Office mishandled veterans’ claims documentation. Read my statement: http://t.co/AMSqVDFnCw,,,,,
