id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
625677760720191488,1305596696,rep_hunter,Twitter Web Client,2015-07-27 14:42:57,0,1,@mobahjat thank you.  Let’s keep up the fight.,mobahjat,624676150896254976,,,
624323537180848128,1305596696,rep_hunter,Twitter Web Client,2015-07-23 21:01:45,11,0,RT @MikeEmanuelFox: Bill introduced by @Rep_Hunter would deny funding for states or local govts that fail to enforce #Immigration laws-&gt; ht…,,,624315358103470085,129879105,MikeEmanuelFox
624204244862808064,1305596696,rep_hunter,Twitter Web Client,2015-07-23 13:07:43,4,0,RT @ANACalifornia: Thank you to @Rep_Hunter and his enthusiastic staff for meeting with us to speak of our work to improve care for veteran…,,,624067257983967232,80062025,ANACalifornia
623932264494288896,1305596696,rep_hunter,Twitter Web Client,2015-07-22 19:06:58,68,0,"RT @GunOwners: ""SEMPER FI Act Introduced to Arm Military Recruiters"" thanks to .@SteveDaines and .@Rep_Hunter http://t.co/IG0RCgLPu5 #2A #g…",,,623931528893079552,22286602,GunOwners
622035121366003712,1305596696,rep_hunter,Twitter Web Client,2015-07-17 13:28:24,22,0,RT @jeremyherb: Only in today's @Morningdefense: @Rep_Hunter is drafting a bill to allow military recruiters to carry weapons: http://t.co/…,,,622023687328272384,150686538,jeremyherb
619152961864925184,1305596696,rep_hunter,Twitter Web Client,2015-07-09 14:35:44,148,131,Cut funding to sanctuary cities.  Hit them where it hurts. http://t.co/yKQoWEVOPG,,,,,
619141789241446400,1305596696,rep_hunter,Twitter Web Client,2015-07-09 13:51:20,4,0,RT @ThermoFisherDC: Recognizing @eccures leadership of Reps. @RepScottPeters @RepSusanDavis @RepJuanVargas @Rep_Hunter in @uniontrib http:/…,,,619134283110682624,170767454,ThermoFisherDC
615880577594621952,1305596696,rep_hunter,Twitter Web Client,2015-06-30 13:52:26,12,0,"RT @amphibwarships: .@Rep_Hunter on @USMC deployment on foreign vessels: ""Ceding our amphibious ships to other countries [is] silly"" http:/…",,,615873434145329152,1205566242,amphibwarships
613444353369972736,1305596696,rep_hunter,Twitter Web Client,2015-06-23 20:31:45,30,0,RT @CNNPolitics: California Republican @Rep_Hunter slams the @WhiteHouse hostage policy review http://t.co/2BD5jrjhcy http://t.co/56bHiYXoRb,,,613437016357896192,13850422,CNNPolitics
613444263079215104,1305596696,rep_hunter,Twitter Web Client,2015-06-23 20:31:24,9,0,"RT @laurennfrench: .@Rep_Hunter says White House rule change on hostage policy is ""window dressing"" http://t.co/YrWtVyCAXd",,,613406267353243648,42692687,laurennfrench
613367590149353472,1305596696,rep_hunter,Twitter Web Client,2015-06-23 15:26:43,9,0,RT @ConcernedVetsSC: @Rep_Hunter to besieged #Army Major Mathew Golsteyn: @CIA should be paying you -via @ArmyTimes http://t.co/LS5mH7VnHX …,,,613361355672956928,2992233567,ConcernedVetsSC
611573145057783808,1305596696,rep_hunter,Twitter Web Client,2015-06-18 16:36:14,6,0,RT @POGOBlog: @Rep_Hunter voices concern on whistleblower protection in the Army. That's our kind of Congressman! http://t.co/8HcXzypmrA,,,611553330465091584,16116519,POGOBlog
575369841294589953,1305596696,rep_hunter,Twitter Web Client,2015-03-10 18:57:14,2,4,"@DesertRiver  I don’t support the ban.  Signed a letter opposing it, too.",DesertRiver,,,,
568099611941974016,1305596696,rep_hunter,Twitter Web Client,2015-02-18 17:27:56,22,19,Strip service secretary authority to revoke valor medals.  Here’s why. http://t.co/HOVNkk6033,,,,,
565587458587627523,1305596696,rep_hunter,Twitter Web Client,2015-02-11 19:05:32,14,11,More on Army’s treatment of Matt Golsteyn.  This one includes an MoH recipient. Writing with Bing West: http://t.co/pOESc2DYj2,,,,,
563720184117362688,1305596696,rep_hunter,Twitter Web Client,2015-02-06 15:25:39,104,57,Feature: Army Major Betrayed by cowardly leaders.  A must read.  http://t.co/ZSGfq3m45f,,,,,
