id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626869831229435904,558769636,repbonamici,Twitter Web Client,2015-07-30 21:39:49,1,2,Medicare and Medicaid cover nearly 100 million people. We appreciate these critical programs for #KeepingUsHealthy. http://t.co/AgRZMKy4i9,,,,,
626784462580396032,558769636,repbonamici,Twitter Web Client,2015-07-30 16:00:35,4,5,Civil rights leader @RepJohnLewis reminded us that our vote is our most powerful nonviolent tool. #RestoretheVRA. http://t.co/sJ4XJdS6bX,,,,,
626162151732969472,558769636,repbonamici,Twitter Web Client,2015-07-28 22:47:45,3,5,Proud to announce my resolution for universal affordable child care #ChildCareForAll http://t.co/N0dWvN15rN. http://t.co/S1jrroAmhB,,,,,
625704383058194433,558769636,repbonamici,Twitter Web Client,2015-07-27 16:28:44,1,2,"Recognizing the Americans with Disabilities Act, which prohibits discrimination &amp; advances equality #ADA25 http://t.co/5VOpPUwCrS",,,,,
624632574191779840,558769636,repbonamici,Twitter Web Client,2015-07-24 17:29:45,3,5,Six years is too long to wait for a raise for America’s workers. Time for Congress to pass the #RaiseTheWage Act! http://t.co/dU8SVmNs9r,,,,,
624577142504988672,558769636,repbonamici,Twitter Web Client,2015-07-24 13:49:29,107,0,"RT @RepCicilline: LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #Equality…",,,624571087855202304,462143773,RepCicilline
624301615303032832,558769636,repbonamici,Twitter Web Client,2015-07-23 19:34:38,1,3,.@sherylsandberg shared inspiring words abt women in leadership &amp; the potential of social media to bridge communities http://t.co/1kc3NX6hl8,,,,,
624029490872754176,558769636,repbonamici,Twitter for iPhone,2015-07-23 01:33:19,6,6,Spoke w/young women @WomensPolicyInc STEM Fair; study STEM + arts (STEAM) for innovation &amp; creativity #WPISTEMFair. http://t.co/EkVuF7ZswU,,,,,
623986718274940928,558769636,repbonamici,Twitter Web Client,2015-07-22 22:43:21,5,0,"RT @WomensPolicyInc: .@RepBonamici talks about the STEAM Caucus, which integrates the arts into STEM. #WPISTEMFair http://t.co/Dznf0njTt3",,,623971392564953088,326929954,WomensPolicyInc
623892374603829249,558769636,repbonamici,Twitter Web Client,2015-07-22 16:28:28,5,7,"Proud to represent a district in OR, where ppl understand that women know what’s best for their reproductive health: http://t.co/uNF0TM0BBN",,,,,
623854655299289088,558769636,repbonamici,Twitter Web Client,2015-07-22 13:58:35,1,1,Great questions from my #CD1 constituents during a telephone town hall meeting yesterday! http://t.co/e56Fy4akBS,,,,,
623133971988279296,558769636,repbonamici,Twitter Web Client,2015-07-20 14:14:50,186,0,RT @louiseslaughter: Join me in continuing the call from #SenecaFalls that all men -- and women -- are created equal. #WomenSucceed http://…,,,623128888848326656,63169388,louiseslaughter
622562680247681025,558769636,repbonamici,Twitter for iPhone,2015-07-19 00:24:44,3,2,Honored to speak at the Korean War Memorial in Wilsonville today to recognize our veterans. http://t.co/uvR44fgYbw,,,,,
622141118654902272,558769636,repbonamici,Twitter Web Client,2015-07-17 20:29:36,25387,0,RT @POTUS: Congrats to Oregon on passing two years of free community college! Every hardworking student deserves access to higher education.,,,622091025541136384,1536791610,POTUS
621902469271003136,558769636,repbonamici,Twitter for iPhone,2015-07-17 04:41:17,4,2,The Senate passed a bipartisan bill to reauthorize #OAA today. Time for the House to take action http://t.co/hi1aglaemF.,,,,,
621819059965968384,558769636,repbonamici,Twitter for iPhone,2015-07-16 23:09:51,1,0,"Glad Senate passed #ESEA, but there’s still work to do to fix NCLB and increase access to quality education for all: http://t.co/c4BpWIoMeJ.",,,,,
621775942709583872,558769636,repbonamici,Twitter Web Client,2015-07-16 20:18:31,3,1,2 yrs since @HouseDemocrats launched #WomenSucceed. #TBT to last year w/@NancyPelosi in #PDX highlighting paid leave. http://t.co/mhpUkawdSx,,,,,
