id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627239472980230144,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:08:38,1,1,"@RepBradAshford I gave a speech this week about this issue http://t.co/8mtx424Zle, http://t.co/aUwnF7rctf, http://t.co/VohMP5c8Ju   2/2",RepBradAshford,627238160821547008,,,
627238248457310208,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:03:46,1,1,"@RepBradAshford Reauthorizing the Ex-Im Bank, passing a long-term transportation funding bill, and collaborating on immigration reform 1/2",RepBradAshford,627238160821547008,,,
627238160821547008,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:03:25,2,0,Ryan asks on FB what Congress should prioritize in September,,,,,
627238118274502657,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:03:15,1,1,@RepBradAshford Partisanship is the biggest threat to this prospect. I'll continue to make compromises to work towards better governance 2/2,RepBradAshford,627237970345619456,,,
627238048498102272,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:02:58,1,1,@RepBradAshford The shutdown is not a certainty. Congress will work to ensure that a shutdown is averted by passing funding bills 1/2,RepBradAshford,627237970345619456,,,
627237970345619456,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:02:40,1,0,Several people ask about the government shutdown,,,,,
627237936703098880,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:02:32,1,1,"@RepBradAshford I will continue to work to ensure that survivors of sexual abuse, especially children, receive assistance they deserve 3/3",RepBradAshford,627237727197634560,,,
627237839852449792,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:02:09,1,1,"@RepBradAshford This law aims to curb sex trafficking, and increases services to survivors of sexual assault 2/3",RepBradAshford,627237727197634560,,,
627237807908589569,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:02:01,1,1,"@RepBradAshford Sex trafficking must be stopped. I voted for S. 178, the Justice for Victims of Trafficking Act, which has become law 1/3",RepBradAshford,627237727197634560,,,
627237727197634560,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:01:42,2,0,Char asks on FB what I have done to prevent sex trafficking,,,,,
627237693769023488,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:01:34,1,0,"@MessbargerM Currently, the bill is with the House Committee on the Judiciary, and will be debated there before a vote by the full House 2/2",RepBradAshford,627237568829083649,,,
627237617881493504,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:01:16,1,0,@MessbargerM I am working with Rep. Fortenberry to ensure we have the support and cosponsorship necessary to pass this important bill 1/2,RepBradAshford,627237568829083649,,,
627237568829083649,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:01:04,1,0,@MessbargerM asks if I have the votes lined up for the Kerrie Orozco Act,MessbargerM,,,,
627237532388982784,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:00:55,2,1,"In the meantime, note that I am a cosponsor of the Craft Beverage Modernization and Tax Reform Act 2/2",RepBradAshford,627237412423516161,,,
627237486922723328,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:00:45,1,3,"As a former small business owner, and staunch advocate for small business, I will seriously consider it 1/2",RepBradAshford,627237412423516161,,,
627237412423516161,2964351843,repbradashford,Twitter Web Client,2015-07-31 22:00:27,1,1,@BrewersAssoc asks if I would join the house Small Brewers Caucus,BrewersAssoc,,,,
627228013466222594,2964351843,repbradashford,TweetDeck,2015-07-31 21:23:06,2,0,Staff will be at BaconFest on Aug. 9th to help constituents. Look forward to helping residents of #NE02. Also bacon. http://t.co/LNNQpPKJ7u,,,,,
627212654537367553,2964351843,repbradashford,TweetDeck,2015-07-31 20:22:04,2,0,Last chance for 5@5- ask your question and tune in at five this evening to see if your question was selected http://t.co/PrTfZyOfGs,,,,,
627206420962934784,2964351843,repbradashford,Twitter Web Client,2015-07-31 19:57:18,237,0,"RT @JohnDingell: Sometimes, people send me mean tweets. I wanted to share a few of my favorites. (You win this round, @RepDebDingell) https…",,,627199336292618240,109025212,JohnDingell
627179332348325888,2964351843,repbradashford,TweetDeck,2015-07-31 18:09:39,2,0,RT @greathousetweet: @RepBradAshford Congrats on writing a great house tweet! http://t.co/AkgFu0dtF7 (Ranked 15th for Jul 24.),,,625004031249920000,3018910586,greathousetweet
627178018222510080,2964351843,repbradashford,TweetDeck,2015-07-31 18:04:26,6,0,RT @GovPredict: Congrats to @RepSinema @RepBradAshford @RepCuellar! Our new statistical methodology shows you're the most bipartisan Democr…,,,626520739508830209,2305187047,GovPredict
627176288445427712,2964351843,repbradashford,Twitter Web Client,2015-07-31 17:57:34,2,0,"These institutions are personal favorites, and have demonstrated a commitment to the greater Omaha community. http://t.co/S4PoVkd0L1 2/2",,,,,
627176169310408704,2964351843,repbradashford,Twitter Web Client,2015-07-31 17:57:05,5,2,Nominated @joslynartmuseum @bemiscenter @TheDurhamMuseum and @ElMuseoLatino  for the @US_IMLS 2016 Medal of Museum and Library Services 1/2,,,,,
627119585397968896,2964351843,repbradashford,Twitter Web Client,2015-07-31 14:12:15,2,1,Power out? Report it here - http://t.co/fQbHYwGCGq,,,,,
626966027293712385,2964351843,repbradashford,TweetDeck,2015-07-31 04:02:04,4,0,Five at five happens today. Ask your question before it's too late http://t.co/jOwGT5Oeoz,,,,,
626845322753503232,2964351843,repbradashford,Twitter Web Client,2015-07-30 20:02:25,3,2,My office is going mobile to bring our services to you. Look for us on August 7th at the Livestock Exchange Building http://t.co/Le2qQYz0kn,,,,,
626825409783537664,2964351843,repbradashford,TweetDeck,2015-07-30 18:43:18,2,0,"RT @HollandMovement: #Childcare is a major expense in family budgets, often exceeding the cost of housing, food &amp; transportation. #HR1720 #…",,,626823248433577984,2273246466,HollandMovement
626825385846697984,2964351843,repbradashford,TweetDeck,2015-07-30 18:43:12,3,0,RT @HollandMovement: #HR1720 positively impacts the future of our nation &amp; state by helping families save for quality child care. @RepBradA…,,,626822798388756480,2273246466,HollandMovement
626825374656266240,2964351843,repbradashford,TweetDeck,2015-07-30 18:43:09,5,0,RT @HollandMovement: The @HollandMovement applauds @RepBradAshford for cosponsoring #HR1720. It allows #workingfamilies to save more for #c…,,,626821860873736192,2273246466,HollandMovement
626818940828811264,2964351843,repbradashford,Twitter Web Client,2015-07-30 18:17:35,5,4,This bill will provide every American with the means necessary to acquire quality child care http://t.co/1qfALr9nFZ 2/2,,,,,
626818833085530112,2964351843,repbradashford,Twitter Web Client,2015-07-30 18:17:10,6,4,I am proud to announce my cosponsorship of the Dependent Care FSA Enhancement Act 1/2,,,,,
626809194604285952,2964351843,repbradashford,TweetDeck,2015-07-30 17:38:52,1,0,"RT @isaiahsvision: @RepBradAshford Congressman, thank you for putting work ahead of another congressional vacation.",,,626789608307728384,340330058,isaiahsvision
626798668100710400,2964351843,repbradashford,TweetDeck,2015-07-30 16:57:02,4,1,Congress left without reauthorizing #ExIm4Jobs. American people expect better. Ex-Im key to trade and local jobs http://t.co/tDqi7BMx4I,,,,,
626797044636774401,2964351843,repbradashford,Twitter Web Client,2015-07-30 16:50:35,2,2,Unclear about recently passed legislation? Curious about my stances? Ask your question and tune in tomorrow at five http://t.co/RWDC6IO8zJ,,,,,
626772341654188032,2964351843,repbradashford,Twitter Web Client,2015-07-30 15:12:25,9,6,Happy 50th to Medicare and Medicaid! http://t.co/gduGFtfLqX,,,,,
