id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626861566336630785,1289319271,repchrissmith,Twitter Web Client,2015-07-30 21:06:58,2,1,Read more about the PACE Innovation Act: http://t.co/M3b34rhFnJ My bipartisan legislation has broad support and should be enacted,RepChrisSmith,626861501777899520,,,
626861501777899520,1289319271,repchrissmith,Twitter Web Client,2015-07-30 21:06:43,2,0,#PACE greatly boosts the quality of life for seniors &amp; my bill will ensure more individuals can get the care they need &amp; stay in their homes,RepChrisSmith,626861368696795137,,,
626861368696795137,1289319271,repchrissmith,Twitter Web Client,2015-07-30 21:06:11,2,0,Yesterday I introduced the PACE Innovation Act to allow Medicare's PACE program to serve more seniors &amp; individuals w/ disabilities,RepChrisSmith,626861318495174656,,,
626861318495174656,1289319271,repchrissmith,Twitter Web Client,2015-07-30 21:05:59,2,1,I'll continue to work to preserve &amp; protect Medicare so today's 54 million beneficiaries &amp; future seniors can count on their earned benefits,RepChrisSmith,626861281509830657,,,
626861281509830657,1289319271,repchrissmith,Twitter Web Client,2015-07-30 21:05:50,3,1,#Medicare turns 50 today: a sacred trust and commitment to our seniors http://t.co/EwwIwhnDtB http://t.co/L9uDjBjT4e,,,,,
625760832073371649,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:13:03,6,4,One-by-one this Administration is overriding human rights and national security policies for another agenda. http://t.co/OePJHnLEik,RepChrisSmith,625760734543257600,,,
625760734543257600,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:12:39,2,1,#Vietnam: directly profits from #humantrafficking thru forced labor &amp; bride trafficking still on Tier2. Missed shot to inspire real change,RepChrisSmith,625760683498577924,,,
625760683498577924,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:12:27,2,0,#China: gov't sponsored forced labor camps &amp; magnet for bride trafficking (due to enormous gender gap) given Obama-pass to Tier2 Watchlist,RepChrisSmith,625760627064221696,,,
625760627064221696,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:12:14,4,0,#Cuba: Tier3 worst offender since 2003-coincidentally upgraded to Tier2 Watchlist after Obama's flawed decision to normalize relations,RepChrisSmith,625760596294795265,,,
625760596294795265,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:12:06,5,1,#Malaysia: ↑ to Tier2 Watchlist after providing no evidence to warrant such move-allowing Obama's TPP to proceed while human rights languish,RepChrisSmith,625760523364245504,,,
625760523364245504,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:11:49,3,0,Facts about a country's (lack of)action in fighting trafficking are given no weight when matched up against the President's political agenda,RepChrisSmith,625760476547391488,,,
625760476547391488,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:11:38,5,1,The Obama Administration has hijacked this report for political reasons alone--doing a grave disservice to victims of #humantrafficking,RepChrisSmith,625760416115912705,,,
625760416115912705,1289319271,repchrissmith,Twitter Web Client,2015-07-27 20:11:23,4,1,As author of the #TraffickingVictimsProtectionAct-which mandates the annual TraffickinginPersons Report-I object a portion of the '15 report,,,,,
625734811517329408,1289319271,repchrissmith,Twitter Web Client,2015-07-27 18:29:39,3,2,#DisabilityStories Meet Jonathan:an 18y.o. intern in my office w/ passion for politics who's about to begin @RutgersU http://t.co/bW4lWtvWcf,RepChrisSmith,625734779519025152,,,
625734779519025152,1289319271,repchrissmith,Twitter Web Client,2015-07-27 18:29:31,3,3,For 25 years the #ADA has empowered disabled Americans &amp; has given those with disabilities to opportunity succeed &amp; thrive #AnniversaryofADA,,,,,
624687928099405824,1289319271,repchrissmith,Twitter Web Client,2015-07-24 21:09:42,8,6,"More reason for Senate to pass our #21stCenturyCures to help #Lyme patients ""CDC:Lyme is spreading to new territories http://t.co/JcPR4qCiXN",,,,,
