id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627186975569743872,462143773,repcicilline,Twitter for iPhone,2015-07-31 18:40:02,1,0,Celebrating the 50th anniversary of Medicare and Medicaid in Providence today. It's important that we… https://t.co/VF3iPJT6tl,,,,,
626852326930804736,462143773,repcicilline,Twitter Web Client,2015-07-30 20:30:15,0,0,ICYMI: Today's column from @FitzProv lays out the next steps in the fight to pass the Equality Act - http://t.co/1s0Q1yZhLh,,,,,
626799121060528128,462143773,repcicilline,Twitter for iPhone,2015-07-30 16:58:50,1,2,Speaking on the House floor to recognize the 50th anniversary of Medicare and Medicaid. https://t.co/SNf6jfbBvM,,,,,
626763012133756928,462143773,repcicilline,Twitter for iPhone,2015-07-30 14:35:21,0,0,"Congressman John Lewis, who marched with Dr. King, speaking on the importance of renewing the Voting Rights Act… https://t.co/ta5ynkF511",,,,,
626756915851317249,462143773,repcicilline,Twitter for iPhone,2015-07-30 14:11:07,7,10,On the House steps right now to stand up for reauthorizing the Voting Rights Act. https://t.co/TDkA9BLaXp,,,,,
626439989715447809,462143773,repcicilline,Twitter for iPhone,2015-07-29 17:11:46,2,0,Which major American companies are supporting the goals of the Equality Act? Glad you asked. #EqualityForward http://t.co/8OTBjLvGTd,,,,,
626427535828643840,462143773,repcicilline,Twitter for iPhone,2015-07-29 16:22:17,1,0,"RT @richluchette: .@twitter, @google, @amazon, @generalelectric, @HP add names to growing list of Equality Act supporters - http://t.co/RyK…",,,626424743751733248,119246002,richluchette
626409310877257733,462143773,repcicilline,Twitter for iPhone,2015-07-29 15:09:52,2,2,More praise for the Equality Act in today's @nytimes - http://t.co/qVmHlnPfN8 #EqualityForward,,,,,
625793570319007744,462143773,repcicilline,Twitter for iPhone,2015-07-27 22:23:08,25,0,"RT @HuffPostPol: Rep. David Cicilline: LGBT people are entitled to nothing less than ""full equality"" http://t.co/OmtzsDP9IF http://t.co/gzU…",,,625790535341613056,15458694,HuffPostPol
625745339031678977,462143773,repcicilline,Twitter for iPhone,2015-07-27 19:11:29,6,0,RT @thehill: Dem lawmaker calls for Justice Department probe into #Lafayette shooting guns: http://t.co/1ltg0jn48Y http://t.co/dagGywJ9xM,,,625736699100971008,1917731,thehill
625734099270025217,462143773,repcicilline,Twitter Web Client,2015-07-27 18:26:49,3,1,"Rep Cicilline's letter to AG Lynch, requesting an investigation into how the Louisiana shooter was able to get a gun. http://t.co/rChXmL2MFb",,,,,
625713703044915200,462143773,repcicilline,Twitter Web Client,2015-07-27 17:05:46,2,0,Cicilline joins @FrancesRivera to discuss his request for an investigation into how the Louisiana shooter got a gun - http://t.co/OqhMGFGXpp,,,,,
625709686805893120,462143773,repcicilline,Twitter for iPhone,2015-07-27 16:49:49,3,4,Rep Cicilline with @SecretaryJewell during today's tour of the Block Island Wind Farm. http://t.co/ep1pKaKrgW,,,,,
625400043693047808,462143773,repcicilline,Twitter for iPhone,2015-07-26 20:19:24,3,4,Rep David Cicilline and Rep @JimLangevin at today's dedication ceremony for the Sister Ann Keefe Post Office. http://t.co/05hS02fQeI,,,,,
625311039190630400,462143773,repcicilline,Twitter for iPhone,2015-07-26 14:25:44,5,1,TODAY: Cicilline speaking at dedication ceremony for the Sister Ann Keefe Post Office in Providence. http://t.co/slSFQ1xJNB,,,,,
624665361653305344,462143773,repcicilline,Vine - Make a Scene,2015-07-24 19:40:02,1,0,https://t.co/QgpuacqWmx,,,,,
624656759056154624,462143773,repcicilline,Twitter Web Client,2015-07-24 19:05:51,6,4,ICYMI: @RepJoeKennedy highlighting the Equality Act yesterday on the House floor. #EqualityForward https://t.co/pI5I1cp9O2,,,,,
624571087855202304,462143773,repcicilline,Twitter for iPhone,2015-07-24 13:25:25,107,82,"LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #EqualityForward",,,,,
624378864584773632,462143773,repcicilline,Twitter for iPhone,2015-07-24 00:41:36,2,0,Follow RepCicilline on Snapchat for more from today's Equality Act press conference. http://t.co/VkUk29S6EC,,,,,
624350933749735424,462143773,repcicilline,Twitter for iPhone,2015-07-23 22:50:37,3,0,RT @RepStephenLynch: The Equality Act will change this. Proud to join @RepCicilline as an original cosponsor. #EqualityForward,,,624248951676473344,310310133,RepStephenLynch
