id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627205413570772992,2970279814,repdebdingell,Twitter Web Client,2015-07-31 19:53:18,3,29,"We all won this round, @JohnDingell.  https://t.co/pIViKkVbDA",,,,,
627141809458823168,2970279814,repdebdingell,Twitter for iPhone,2015-07-31 15:40:33,3,4,"Great day for Washtenaw Co. as @CatchTheRide unveils cleaner, more reliable buses to improve public transit http://t.co/CQW4Nbrqkl",,,,,
626870000444436480,2970279814,repdebdingell,Twitter Web Client,2015-07-30 21:40:29,10,21,So proud of the work @JohnDingell &amp; his father did to get us to #MedicareMedicaid50. Here is a look at the journey. http://t.co/TpEEAfTXs9,,,,,
626840810001199104,2970279814,repdebdingell,Twitter Web Client,2015-07-30 19:44:29,165,0,RT @janschakowsky: Happy 50th anniversary #Medicare &amp; #Medicaid! Here’s to the next 50 yrs. of serving our families. #MedicareMedicaid50 ht…,,,626754037933674497,24195214,janschakowsky
626837616839692288,2970279814,repdebdingell,Twitter Web Client,2015-07-30 19:31:48,11,0,RT @UM_IHPI: The ultimate #ThrowbackThursday for @JohnDingell ? #KeepingUSHealthy http://t.co/JbaG3cWHRw,,,626804655704576000,2291625156,UM_IHPI
626758169281347584,2970279814,repdebdingell,Twitter for iPhone,2015-07-30 14:16:06,10,15,Standing w colleagues to commemorate #VRA50. We must #RestoreTheVRA so every American can exercise this basic right http://t.co/1cHxWTLCpd,,,,,
626480768454406144,2970279814,repdebdingell,Twitter Web Client,2015-07-29 19:53:49,6,2,We know currency manipulation costs U.S. jobs. Will the #TPP address this problem? http://t.co/Vv09J4MPKV,,,,,
626464182179860481,2970279814,repdebdingell,Twitter Web Client,2015-07-29 18:47:54,3,0,"RT @ActiveRetirees: .@JohnDingell, @RepDebDingell, and ARA membr Susan Taylor. #TheDean brought gavel that passed Medicare. #Medicare50th h…",,,626458299941175296,73413771,ActiveRetirees
626444687671468032,2970279814,repdebdingell,iOS,2015-07-29 17:30:26,16,20,"Celebrating #Medicare50 alongside @JohnDingell, who fought to pass Medicare 50 yrs ago. Let's keep fighting! http://t.co/OmLy52kdye",,,,,
626441022990622724,2970279814,repdebdingell,Twitter for iPhone,2015-07-29 17:15:53,5,0,RT @medicarerights: More celebrating with @NancyPelosi @RepDebDingell @janschakowsky @DorisMatsui @JohnDingell @FrankPallone &amp; more! http:/…,,,626440107386650626,49993725,medicarerights
626406272099844096,2970279814,repdebdingell,iOS,2015-07-29 14:57:47,3,17,Defended the Endangered Species Act at today's Natural Resources hearing. The bottom line is this law is working. http://t.co/rQPvn7DimV,,,,,
626099122026717184,2970279814,repdebdingell,Twitter Web Client,2015-07-28 18:37:17,6,8,Proud to launch the Cancer Prevention Caucus w/ @RepTimMurphy &amp; @Lesscancer to help prevent cancer before it starts http://t.co/Bd7RpuHNZW,,,,,
626020631281311744,2970279814,repdebdingell,Twitter Web Client,2015-07-28 13:25:24,9,0,RT @Eclectablog: .@RepDebDingell champions Medicare coverage for hearing aids (by @alswrite) http://t.co/BpZTZ2k0FB,,,626004767471484928,23761008,Eclectablog
625333994033410048,2970279814,repdebdingell,Twitter Web Client,2015-07-26 15:56:56,9,11,"Today we mark 25 yrs of the Americans w/ Disabilities Act, a vital step toward opportunity &amp; access for many #ADA25 http://t.co/pFStdOLYhu",,,,,
625333396558999552,2970279814,repdebdingell,iOS,2015-07-26 15:54:34,1,3,At the grocery store this am - price of milk is down and my unhealthy staple is on sale. @DietCoke http://t.co/yvA0KA3z67,,,,,
625003449944567809,2970279814,repdebdingell,Twitter for iPhone,2015-07-25 18:03:29,2,6,Great to see friends at MI State Employees Association - true unsung heroes who keep our state running day-to-day http://t.co/g0BeeJFlny,,,,,
624593542619381760,2970279814,repdebdingell,Twitter Web Client,2015-07-24 14:54:39,2,7,#SkinCancer is a growing epidemic. It's time Americans had access to the most innovative sunscreens available → http://t.co/V6HdrHOsP4,,,,,
624591071788437504,2970279814,repdebdingell,Twitter Web Client,2015-07-24 14:44:50,9,0,RT @TakeTheLeadMI: .@RepDebDingell is #takingthelead to protect victims of #domesticabuse and stalking. http://t.co/aLv2w2vvrq http://t.co/…,,,624586166281609217,2859459021,TakeTheLeadMI
