id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626847413651787776,1068499286,repdennyheck,TweetDeck,2015-07-30 20:10:44,2,0,RT @SenatorCantwell: ICYMI: Businesses fume as Congress lets Export-Import Bank stay dead READ: http://t.co/2HR87bzAnx via @politico #ExIm4…,,,626835194536939520,117501995,SenatorCantwell
626810761247993856,1068499286,repdennyheck,TweetDeck,2015-07-30 17:45:05,1,0,All these businesses ask is that we do our job so they can keep jobs here. http://t.co/KwhuEPHbRn #ExIm4Jobs,,,,,
626471285565091840,1068499286,repdennyheck,Twitter Web Client,2015-07-29 19:16:08,1,0,RT @kinsmed: @RepDennyHeck Boeing says considering moving work overseas due to Ex-Im saga http://t.co/LewIOYgRns,,,626467348287873025,52104028,kinsmed
626459725056507904,1068499286,repdennyheck,TweetDeck,2015-07-29 18:30:12,3,0,".@SpeakerBoehner, we must pass #ExIm4jobs immediately. @WSJ: Small Businesses Bear Burden of Ex-Im Bank Shutdown http://t.co/E5eSnBR379",,,,,
626450073136795648,1068499286,repdennyheck,TweetDeck,2015-07-29 17:51:50,1,0,"It's not @Boeing vs. small businesses. It's Boeing + small businesses, &amp; 15k in supply chain. https://t.co/C1g7Nf2vDL #ExIm4Jobs",,,,,
626447247744585728,1068499286,repdennyheck,TweetDeck,2015-07-29 17:40:37,2,2,I'm not giving up. This is too important to our economy.  https://t.co/nBiPt4K4T5 #ExIm4Jobs @GOPLeader @SpeakerBoehner #holdavote,,,,,
626440815263526912,1068499286,repdennyheck,TweetDeck,2015-07-29 17:15:03,2,0,RT @FSCDems: #BREAKING: #Democrats Continue Push to Force Vote on #ExIm Renewal -&gt; WATCH  LIVE: http://t.co/ZdnsATayRr #ExIm4Jobs,,,626440779381276672,294084341,FSCDems
626422507470487552,1068499286,repdennyheck,TweetDeck,2015-07-29 16:02:18,3,1,"The majority of the House &amp; Senate support #ExIm4Jobs. @SpeakerBoehner, do the right thing. https://t.co/P1OjMOB3AF",,,,,
626387982648410113,1068499286,repdennyheck,TweetDeck,2015-07-29 13:45:07,2,0,.@WSJ's @kristinapet: Small businesses bear burden of Ex-Im Bank shutdown http://t.co/D6K0m5gyew #ExIm4Jobs,,,,,
626154943855116288,1068499286,repdennyheck,TweetDeck,2015-07-28 22:19:06,18,0,RT @PennyPritzker: .@EximBankUS enables American firms to sell their goods &amp; services outside of the US. My @CNBC @PowerLunch interview: ht…,,,626152762011701248,308573576,PennyPritzker
626146174173597696,1068499286,repdennyheck,TweetDeck,2015-07-28 21:44:15,6,0,"RT @AAUW: AAUW runs $tart $mart, a salary negotiation program for women. Find a workshop near you: http://t.co/HuQZbDsMUE #BlackWomenEqualP…",,,626146134147272704,19719380,AAUW
626142914998071296,1068499286,repdennyheck,TweetDeck,2015-07-28 21:31:18,11,0,"RT @RepCardenas: Seriously, @SpeakerBoehner, if you want to leave early, please #leavethegavel so we can work for the American people! http…",,,626126640846868481,1222257180,RepCardenas
626103590654865410,1068499286,repdennyheck,TweetDeck,2015-07-28 18:55:03,4,4,My op-ed w/ @AAUW leaders in Olympia: Providing equal pay for equal work would lift everyone http://t.co/qmJpXwGKzw #BlackWomenEqualPay,,,,,
626101069760729090,1068499286,repdennyheck,TweetDeck,2015-07-28 18:45:02,3,2,It happened to her: Black female engineer shortchanged by the #paygap #BlackWomenEqualPay http://t.co/KFzWEMfsH9,,,,,
626099647321350148,1068499286,repdennyheck,TweetDeck,2015-07-28 18:39:22,11,0,RT @repcleaver: RT if you agree: We need a long-term Highway bill that will create good-paying jobs rebuilding America. #RebuildRenew http:…,,,626099589163155456,163570705,repcleaver
