id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627102102599413760,237944147,repfitzpatrick,Facebook,2015-07-31 13:02:46,8,3,Check out my op-ed in today's Philadelphia Inquirer on the #bipartisan push for criminal justice reform --&gt; http://t.co/oKETnZ8HNQ,,,,,
626723945484578816,237944147,repfitzpatrick,Facebook,2015-07-30 12:00:07,2,1,United States Marine PFC Attilio M. Lupacchini who was laid to rest yesterday in Arlington National Cemetery with... http://t.co/eE2wTrBH7d,,,,,
626512533457911808,237944147,repfitzpatrick,Facebook,2015-07-29 22:00:02,0,0,"PFC Attilio Lupacchini gave his life on Dec. 9, 1950 trying to rescue fellow Marines. This morning, he was... http://t.co/qeGUaYrZV2",,,,,
626465861524660225,237944147,repfitzpatrick,TweetDeck,2015-07-29 18:54:35,3,0,RT @levittownnow: .@RepFitzpatrick Seeks College Interns For Fall http://t.co/2fxPfMWROS,,,626450393975799809,1231897549,levittownnow
626456554867425280,237944147,repfitzpatrick,TweetDeck,2015-07-29 18:17:36,1,0,RT @mmarkarian: Thx @RepTedYoho @RepSchrader @RepFitzpatrick @RepCohen @USRepDavidJolly @janschakowsky for bill to stop horse soring: http:…,,,626453402462093312,15360965,mmarkarian
626361569711144960,237944147,repfitzpatrick,Facebook,2015-07-29 12:00:10,1,2,"Today, the House will take legislative action to strengthen the government’s ability to serve our veterans in a... http://t.co/QLNlGTJNys",,,,,
625651214466875392,237944147,repfitzpatrick,Facebook,2015-07-27 12:57:28,3,0,Some good info from #BucksCo on how to prepare for a summer power outage --&gt; http://t.co/AubjaZsMyH,,,,,
625032788773879810,237944147,repfitzpatrick,Facebook,2015-07-25 20:00:04,0,1,This week we celebrate 240 years of spiritual care provided by our nation's military chaplains. http://t.co/RpYdvQCxhj,,,,,
624338199129800704,237944147,repfitzpatrick,Facebook,2015-07-23 22:00:00,0,2,Check out my opening of last night's Task Force to Investigate Terror Financing hearing on the #IranDeal &gt;&gt; http://t.co/hNbZTW7djB,,,,,
624197115003146240,237944147,repfitzpatrick,Facebook,2015-07-23 12:39:23,3,4,"Last night, I chaired a hearing on the #IranDeal and its impact on the future of terror financing. (Spoiler: It's... http://t.co/fleEe5FtAy",,,,,
623960138509119488,237944147,repfitzpatrick,TweetDeck,2015-07-22 20:57:44,8,0,RT @FinancialCmte: Congress must consider Iran’s role in financing terrorists when reviewing #IranDeal sanctions relief http://t.co/xXpAScw…,,,623958221632319488,42924141,FinancialCmte
623952812867735552,237944147,repfitzpatrick,TweetDeck,2015-07-22 20:28:37,5,0,RT @followFDD: .@RepFitzpatrick opens @FinancialCmte hearing on impact of #IranDeal on terrorism financing. Watch live here: http://t.co/Xe…,,,623951569457950721,52763281,followFDD
623952803803873280,237944147,repfitzpatrick,TweetDeck,2015-07-22 20:28:35,1,0,RT @followFDD: .@RepFitzpatrick: The #IranDeal will have an impact on the future of global politics and regional dynamics @FinancialCmte,,,623952190378516484,52763281,followFDD
623889690614198272,237944147,repfitzpatrick,TweetDeck,2015-07-22 16:17:48,10,0,RT @KYWNewsradio: #Study Shows .@Wawa Is America’s Favorite Convenience Store: http://t.co/NdAFwUnaEp http://t.co/0QwobJf8IQ,,,623889513182560256,52293877,KYWNewsradio
623860631326859265,237944147,repfitzpatrick,TweetDeck,2015-07-22 14:22:19,10,0,"RT @HouseGOP: ""In the absence of Presidential Leadership on this issue [VA], we in the House will continue to lead."" @RepRyanCostello",,,623860538955722752,15207668,HouseGOP
623613435478155264,237944147,repfitzpatrick,Facebook,2015-07-21 22:00:03,2,3,Every military member deserves to have their service recognized and appreciated. Today’s medal presentation... http://t.co/szHafaoWMK,,,,,
623528779009388544,237944147,repfitzpatrick,TweetDeck,2015-07-21 16:23:40,6,0,RT @RodneyDavis: Flags flying half-staff at the U.S. Capitol in honor of the five service members killed in #Chattanooga last week. http://…,,,623528453074255874,993153006,RodneyDavis
623522831641518085,237944147,repfitzpatrick,Facebook,2015-07-21 16:00:02,2,2,Flags are flying half-staff over the United States Capitol today to honor the five service members killed in... http://t.co/8myQbO6KzT,,,,,
623175542876020737,237944147,repfitzpatrick,Facebook,2015-07-20 17:00:02,1,5,"For #Ukraine, July 4th was just another day in their fight for independence http://t.co/Z6l4S7cMfM http://t.co/wyPyFbBo1W",,,,,
623129433801662464,237944147,repfitzpatrick,TweetDeck,2015-07-20 13:56:48,1,0,RT @GPCAHunger: #Hunger in summer:  @RepFitzpatrick supports #summermeals legislation http://t.co/qhbQuE7prD via @PAWireNews http://t.co/rC…,,,623121097542750208,20456985,GPCAHunger
623100043034234880,237944147,repfitzpatrick,Facebook,2015-07-20 12:00:01,0,1,The SAFE Justice Act addresses a number of key areas for criminal justice reform that reduce the scope and cost of... http://t.co/yF4BM3TT1W,,,,,
622767853771587584,237944147,repfitzpatrick,Facebook,2015-07-19 14:00:01,2,3,ICYMI: I was once again recognized as a 'Friend of the National Parks' by the National Parks Conservation... http://t.co/uRyuOZgh8b,,,,,
622405473040474113,237944147,repfitzpatrick,Facebook,2015-07-18 14:00:03,0,2,Stopped at Camp Ockanickon Scout Reservation in #PointPleasant to help some fellow scouts earn their 'Citizenship... http://t.co/gDqwVYVVIV,,,,,
622163874779934720,237944147,repfitzpatrick,Facebook,2015-07-17 22:00:01,0,0,I posted a new photo to Facebook http://t.co/lXzKtZSHsI,,,,,
622012889747038208,237944147,repfitzpatrick,Facebook,2015-07-17 12:00:04,3,3,"Next week, I will lead the #bipartisan Task Force to Investigate Terrorism Financing in taking a closer look at... http://t.co/glHCakMZO3",,,,,
621761584340299777,237944147,repfitzpatrick,TweetDeck,2015-07-16 19:21:28,0,0,Check out my op-ed on the #IranDeal over at the @DailyCaller  --&gt; http://t.co/5aSBHp9yrf,,,,,
621439099786952704,237944147,repfitzpatrick,Facebook,2015-07-15 22:00:01,1,1,"Spoke with Natalka Pisnya of UKRAINE TODAY to discuss my recent meetings in #Keiv, my involvement with the... http://t.co/CIxoP5vuK9",,,,,
621076711472537600,237944147,repfitzpatrick,Facebook,2015-07-14 22:00:01,0,1,I have deep concerns about the direction the Obama Administration has taken in reaching this agreement with #Iran.... http://t.co/ykJ2zWECun,,,,,
621030312768839680,237944147,repfitzpatrick,TweetDeck,2015-07-14 18:55:39,3,3,Let's not forget: #Iran is the world's leading state sponsor of terror. http://t.co/c0lMOUL2Ri http://t.co/4c78mLbT3P,,,,,
620980662598811648,237944147,repfitzpatrick,TweetDeck,2015-07-14 15:38:21,4,0,"RT @lauraolson: PA Republicans Pat Toomey and Mike Fitzpatrick say they have ""deep concerns"" about the Iranian nuclear deal: http://t.co/sa…",,,620980626146111488,15756288,lauraolson
620975595460128768,237944147,repfitzpatrick,TweetDeck,2015-07-14 15:18:13,8,2,My full statement on the #IranDeal http://t.co/CMkllGH2op,,,,,
620948186966937601,237944147,repfitzpatrick,TweetDeck,2015-07-14 13:29:19,0,2,This deal is under Congressional authority to review &amp; I will only support if it meets the benchmark of forever preventing a nuclear Iran,,,,,
620947812440756228,237944147,repfitzpatrick,TweetDeck,2015-07-14 13:27:49,0,0,"Information I feel is vital to the Admin., Congress and American ppl when reviewing any agreement with Iran that includes sanctions relief.",,,,,
620947669335343104,237944147,repfitzpatrick,TweetDeck,2015-07-14 13:27:15,2,0,"Nxt wk, the Task Force to Investigate Terrorism Financing will take a closer look at Iran’s role in financing terror groups around the world",,,,,
620947432449421312,237944147,repfitzpatrick,TweetDeck,2015-07-14 13:26:19,1,4,And have unapologetically continued their state sponsorship of terrorism.,,,,,
