id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627115445271797760,1908143071,repguthrie,Twitter for iPhone,2015-07-31 13:55:48,1,0,RT @bowserminor: @RepGuthrie looking for feedback from constituents on Iran deal ahead of September vote. Share with him on Facebook.,,,627108351944589312,282189060,bowserminor
623920855555424256,1908143071,repguthrie,Twitter for iPhone,2015-07-22 18:21:38,5,0,RT @HFIconnect: Congressman Brett Guthrie speaking on #hepdisparities http://t.co/4hUj7pn6vn,,,623540646012448768,37700644,HFIconnect
623919485435650048,1908143071,repguthrie,Twitter for iPhone,2015-07-22 18:16:11,4,0,RT @uksga: It was great meeting with @RepThomasMassie and @RepGuthrie yesterday on behalf of the @universityofky student body! http://t.co/…,,,623863314490236929,33456084,uksga
623619659829522432,1908143071,repguthrie,Hootsuite,2015-07-21 22:24:47,0,0,"Today I've been snapping pics showing a typical day. Follow ""RepGuthrie"" on Instagram to see what I've been up to! http://t.co/PBC064B0dZ",,,,,
623619212452491264,1908143071,repguthrie,Hootsuite,2015-07-21 22:23:01,0,1,"Are you on Instagram? Be sure to check out my acct - at ""RepGuthrie"" - where you can see behind-the-scenes updates. http://t.co/Mqyq32uobd",,,,,
622037899089981440,1908143071,repguthrie,Instagram,2015-07-17 13:39:26,0,0,Looking forward to visiting Morgantown today. I’ll be at Farm Boy Restaurant from 11:30am-12:30pm CST… https://t.co/FOtXPfwwB8,,,,,
621745945915617280,1908143071,repguthrie,Twitter for iPhone,2015-07-16 18:19:19,0,0,Thanks for coming by! https://t.co/zZ3piYbuY3,,,,,
620661601197232129,1908143071,repguthrie,Twitter for iPhone,2015-07-13 18:30:31,0,0,"Thanks for your support, @RepMullin!",RepMullin,620635794680741888,,,
619670632691855360,1908143071,repguthrie,iOS,2015-07-11 00:52:46,4,3,"Did you know I'm on @Instagram? Be sure to follow ""RepGuthrie"" for behind the scenes updates! http://t.co/QMGSYADwmU",,,,,
619596340780265472,1908143071,repguthrie,Twitter for iPhone,2015-07-10 19:57:33,6,0,RT @GlobalGenes: Our Advocacy Ambassador's son Max w/ Congressman Brett Guthrie (R-KY)- House Energy and Commerce Committee! @ECcures http:…,,,619573051743571968,90424954,GlobalGenes
619534578299109376,1908143071,repguthrie,Instagram,2015-07-10 15:52:08,5,2,#CuresIn4Words - Cures passed the House! @ United States Capitol https://t.co/PDWR0xHzZ6,,,,,
619493393043951616,1908143071,repguthrie,Hootsuite,2015-07-10 13:08:29,1,2,Kicking off @HouseGOP's #DigitalChallenge. Follow me on Instagram for behind the scenes updates! http://t.co/PaNgxSK19O,,,,,
619492835759362049,1908143071,repguthrie,Twitter for iPhone,2015-07-10 13:06:16,4,0,RT @HouseCommerce: LIVE: #SubCMT examines HR985 to review concrete masonry products industry by @RepGuthrie --&gt; http://t.co/4Twi8YsMk3 http…,,,619491980905709568,114756202,HouseCommerce
619228434192015361,1908143071,repguthrie,Twitter for iPhone,2015-07-09 19:35:38,3,0,"RT @WDRBNews: Brett Guthrie (R-KY) on Army cuts: ""This news is very concerning"" http://t.co/NieLyiitKj http://t.co/ySnAluZzwA",,,619222293554851841,43930301,WDRBNews
618786987877732352,1908143071,repguthrie,Instagram,2015-07-08 14:21:29,0,0,Just welcomed these Bowling Green High School “Purples” to  my office. They are in Washington this… https://t.co/zvmq2xhq1f,,,,,
618522244164288512,1908143071,repguthrie,Twitter for iPhone,2015-07-07 20:49:29,2,0,Unprecedented bipartisan committee effort #CuresIn4Words @ECcures,,,,,
617793007019012096,1908143071,repguthrie,Twitter for iPhone,2015-07-05 20:31:45,27,0,RT @GOPLeader: On floor next week. #CuresIn4Words #Cures2015,,,616641496121507840,19739126,GOPLeader
616677043015692288,1908143071,repguthrie,Instagram,2015-07-02 18:37:19,0,2,#TBT to last month and the annual Congressional Baseball Game for charity. I was glad to have several… https://t.co/iQURK2VLXA,,,,,
615551101073522688,1908143071,repguthrie,Instagram,2015-06-29 16:03:13,10,9,Proud to have my staff joining me in the effort to raise awareness for Alzheimer’s Disease! #ENDALZ https://t.co/CJEUqL0Zxn,,,,,
610922710118592512,1908143071,repguthrie,Instagram,2015-06-16 21:31:39,0,0,Busy day in Washington today. Here’s a behind the scenes look at the five committee hearings I… https://t.co/knt5UjmtRt,,,,,
610884232815190016,1908143071,repguthrie,Twitter for iPhone,2015-06-16 18:58:45,0,0,@ArthritisFdn It was great to meet Nolan!,ArthritisFdn,610883988299874304,,,
608284933187112960,1908143071,repguthrie,Twitter Web Client,2015-06-09 14:50:04,45,24,June is Alzheimer’s and Brain Awareness Month. Join me in raising awareness as we work to #ENDALZ. http://t.co/KhEytN2hGF,,,,,
605465388260978688,1908143071,repguthrie,Hootsuite,2015-06-01 20:06:12,3,1,Have you taken my 2015 Constituent Services Survey? Let me know how my staff &amp; I can better serve you! http://t.co/OjpNQ2oER1,,,,,
600671380821168129,1908143071,repguthrie,Twitter for iPhone,2015-05-19 14:36:31,15,0,RT @HouseCommerce: The cmte is set to advance the nonpartisan 21st Century Cures Act THIS WEEK. What does #Cures2015 mean to you? --&gt; http:…,,,600410928312619008,114756202,HouseCommerce
599221183997935616,1908143071,repguthrie,Twitter for iPhone,2015-05-15 14:33:57,5,11,.@joeimel Looking forward to having Zach here!,joeimel,599218894524387328,,,
598836678019649537,1908143071,repguthrie,Twitter for iPhone,2015-05-14 13:06:04,0,0,Tune in now! https://t.co/gq5Tiamtgn,,,,,
598565837067386880,1908143071,repguthrie,Twitter for iPhone,2015-05-13 19:09:51,4,0,RT @GLIAdvocacy: @RepGuthrie opens @GLIchamber's afternoon session with the Kentucky delegation. http://t.co/0Ll7cpjlRE,,,598550353932587008,2906546512,GLIAdvocacy
596682653895675904,1908143071,repguthrie,Instagram,2015-05-08 14:26:45,3,2,Thankful for the hard work these two @wku students did while interning in my District Office in… https://t.co/xbfvrk0haM,,,,,
595686067304570880,1908143071,repguthrie,Twitter for iPhone,2015-05-05 20:26:40,0,0,@HardinCoSchools Thanks for having me!,HardinCoSchools,595619364654690304,,,
595679949094318080,1908143071,repguthrie,Instagram,2015-05-05 20:02:21,0,2,"This afternoon I visited Nelson County High School to congratulate Jacob Price, the overall winner… https://t.co/j3SML9vZDM",,,,,
593806460884254720,1908143071,repguthrie,iOS,2015-04-30 15:57:47,3,1,My #CuresIn4Words - https://t.co/QQr0CYS8YK #Path2Cures,,,,,
593408857147310080,1908143071,repguthrie,Twitter for iPhone,2015-04-29 13:37:51,6,0,RT @NPCA: Thx @RepGuthrie for championing Mill Springs Battlefield Spc Res Study! You’re a #ParkChamp! http://t.co/k6qMIQf7w0 http://t.co/W…,,,593200787955666944,38516217,NPCA
593109378191982592,1908143071,repguthrie,Twitter for iPhone,2015-04-28 17:47:49,7,4,"Innovation today, Cures tomorrow #Curesin4Words",,,,,
588784895947833344,1908143071,repguthrie,Hootsuite,2015-04-16 19:23:52,0,1,"Just sent my e-newsletter asking for input on Net Neutrality. If you have a min., please share your thoughts with me. http://t.co/k1shPIlJUi",,,,,
588359824351571969,1908143071,repguthrie,Hootsuite,2015-04-15 15:14:47,0,0,My thoughts this #TaxDay - http://t.co/OP7IM1BOHT,,,,,
586193951201353728,1908143071,repguthrie,Twitter Web Client,2015-04-09 15:48:23,3,5,"Hey @UKCoachCalipari, I heard you might have some openings next season – I still have 4 yrs of eligibility! #BBN http://t.co/cqjLnzp1Ye",,,,,
586148308546150402,1908143071,repguthrie,Twitter for iPhone,2015-04-09 12:47:01,4,0,RT @HouseGOP: Blooming blossoms make even the greyest days bright 🌸 call your Representative to schedule a Capitol tour! https://t.co/3vwCd…,,,585882315043254273,15207668,HouseGOP
586147141594259456,1908143071,repguthrie,Twitter for iPhone,2015-04-09 12:42:23,0,1,.@JeremyMcGintyKY @AlvatonElem @WarrenCoSchools Thanks for having me!,JeremyMcGintyKY,586145667313074177,,,
585863749795508224,1908143071,repguthrie,Twitter for iPhone,2015-04-08 17:56:17,0,1,"The president scored #Obamacare 8/10. With higher premiums &amp; lost coverage, we're only gaining more headaches. What grade would you give it?",,,,,
584532580583809026,1908143071,repguthrie,Twitter for iPhone,2015-04-05 01:46:41,173,0,RT @SpeakerBoehner: Rooting for @KentuckyMBB in tonight's #FinalFour game. #BBN —&gt; http://t.co/rdXRZ8xidx,,,584522355831083008,7713202,SpeakerBoehner
584524683476885505,1908143071,repguthrie,Twitter for iPhone,2015-04-05 01:15:19,9,0,RT @RepAndyBarr: With @RepGuthrie and @SusanWBrooks  at the #FinalFour. Let's go Big Blue! #bbn #ky6 http://t.co/jHVhmOgSxi,,,584524538941149184,1089334250,RepAndyBarr
584053604421623810,1908143071,repguthrie,Twitter for iPhone,2015-04-03 18:03:25,1,1,.@Rockfield_Elem @WarrenCoSchools Thanks for having me!,Rockfield_Elem,584015014027223040,,,
584017940762206208,1908143071,repguthrie,Instagram,2015-04-03 15:41:42,1,2,Students from Alvaton Elementary School recently visited me on the steps of the @uscapitol building… https://t.co/jZdbPw2jAZ,,,,,
583348873273479168,1908143071,repguthrie,Twitter for iPhone,2015-04-01 19:23:04,1,0,The deadline to submit artwork &amp; apply for #CAC2015 is next week - Fri 4/10. Visit my website for more info. http://t.co/0g2CeZQQWP,,,,,
582955094582390784,1908143071,repguthrie,Instagram,2015-03-31 17:18:19,1,1,I had a great visit to Asbury University’s Equine Center this morning. I enjoyed the opportunity to… https://t.co/OGWojR0bM0,,,,,
582659995231252480,1908143071,repguthrie,Twitter for iPhone,2015-03-30 21:45:42,1,0,RT @NACDS: ICYMI last wk: Congressional Leadership Award presented 2 @RepGuthrie 4 sponsorship of both H.R.592 &amp; H.R.4190 https://t.co/9XYC…,,,582621541030060032,43955137,NACDS
582603844439433218,1908143071,repguthrie,Twitter for iPhone,2015-03-30 18:02:35,0,1,@HardinCoSchools A great visit - thanks for having me!,HardinCoSchools,582583597539966976,,,
581561349962117120,1908143071,repguthrie,Instagram,2015-03-27 21:00:05,0,0,Great to be a part of the celebration at Owensboro High School today - Proud of the Red Devils! https://t.co/Nw8HbejCI8,,,,,
580805384035663872,1908143071,repguthrie,Instagram,2015-03-25 18:56:09,2,3,Honored to be the 2015 recipient of the Alzheimer’s Association’s Humanitarian Award. I’m glad that… https://t.co/jy03t8lzzu,,,,,
580432512805171200,1908143071,repguthrie,Twitter for iPhone,2015-03-24 18:14:29,3,0,RT @MicheleLauren1: @RepGuthrie thank you for supporting Alzheimer's let's work together to #ENDALZ http://t.co/jScwai2XZW,,,580429305290878977,430909092,MicheleLauren1
580410816148570112,1908143071,repguthrie,Instagram,2015-03-24 16:48:16,2,3,"It was great to welcome Corning's Gorilla Glass and Big Ass Fans to Washington, D.C. today.  Both KY… https://t.co/9qPt5QgGpd",,,,,
578944301851402241,1908143071,repguthrie,Twitter for iPhone,2015-03-20 15:40:52,0,0,.@teamborland5th Hope you and your students enjoyed it!,teamborland5th,578588229902848000,,,
578543005713444864,1908143071,repguthrie,Twitter for iPhone,2015-03-19 13:06:16,0,0,Tune in now! MT @joeelliottshow: .@RepGuthrie joins us at 9:05 on the Joe Elliott Show @970amtheanswer.,joeelliottshow,578541133149556737,,,
577524107614502912,1908143071,repguthrie,Twitter for iPhone,2015-03-16 17:37:31,1,8,Thanks for visiting! RT @BGHSPurplesNews: BGHS students meeting with  @RepGuthrie on the steps of the U.S. Capitol http://t.co/wd8JyeC5uo,BGHSPurplesNews,577513749520715776,,,
577523370188746752,1908143071,repguthrie,Twitter for iPhone,2015-03-16 17:34:35,1,1,Go Purples! MT @tracyimel: BGHS At @uscapitol with @RepGuthrie http://t.co/RjrFFWOGBu,tracyimel,577512080724590592,,,
576113152519233536,1908143071,repguthrie,Twitter for iPhone,2015-03-12 20:10:53,14,0,RT @RepMurphyFL: Over half of the members in the House joined @RepGuthrie &amp; me to protect Medicare Advantage for seniors. Read more: http:/…,,,576112074444656640,1128781184,RepMurphyFL
