id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627126484935774208,2433737761,rephastingsfl,Twitter Web Client,2015-07-31 14:39:40,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
627100247882338304,2433737761,rephastingsfl,Twitter Web Client,2015-07-31 12:55:24,0,0,I was deeply saddened to hear of the horrific stabbing attack at #JerusalemPride. My thoughts are with the victims and their families.,,,,,
626775701300084736,2433737761,rephastingsfl,Twitter Web Client,2015-07-30 15:25:46,3,3,More than 800k Floridians would qualify for #Medicaid under expansion. #MedicareMedicaid50 http://t.co/agfZJqG67o,,,,,
626775411687424000,2433737761,rephastingsfl,Twitter Web Client,2015-07-30 15:24:37,1,4,Happy 50th Anniversary #Medicare and #Medicaid! #MedicareMedicaid50 #KeepingUSHealthy,,,,,
626118272040079360,2433737761,rephastingsfl,Twitter Web Client,2015-07-28 19:53:23,1,3,Celebrating 50 years of Medicare and Medicaid. Nobody should have to choose between poverty and health care. #Medicare50 #Medicaid50,,,,,
626116513116876800,2433737761,rephastingsfl,Twitter Web Client,2015-07-28 19:46:24,1,0,"This morning, I met with IDF General Michael Herzog (ret.) to discuss the Iran deal. http://t.co/CiotYsOsC3",,,,,
626112174528708608,2433737761,rephastingsfl,Twitter Web Client,2015-07-28 19:29:09,0,0,"If #IranDeal takes effect, I urge the President to appoint a military official to oversee it http://t.co/GU1jJ5ZBHB",,,,,
626032327681048576,2433737761,rephastingsfl,Twitter Web Client,2015-07-28 14:11:52,142,0,RT @RepGaramendi: .@HouseDemocrats are fighting for robust &amp; long-term investment in our infrastructure. #RepublicanRoadblock must end. htt…,,,625999193698480128,88806753,RepGaramendi
624579620751441920,2433737761,rephastingsfl,Twitter Web Client,2015-07-24 13:59:20,107,0,"RT @RepCicilline: LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #Equality…",,,624571087855202304,462143773,RepCicilline
624284408137261057,2433737761,rephastingsfl,Twitter Web Client,2015-07-23 18:26:16,7,10,No one should face discrimination because of their sexual orientation. Proud to cosponsor the Equality Act to change this. #EqualityForward,,,,,
624219022800785408,2433737761,rephastingsfl,Twitter Web Client,2015-07-23 14:06:27,109,0,RT @HispanicCaucus: .@HouseGOP nearly shut down Homeland Security -- now wants to pass #DonaldTrumpAct that demonizes immigrants &amp; harms lo…,,,624193183455518720,33530012,HispanicCaucus
623852124473049088,2433737761,rephastingsfl,Twitter Web Client,2015-07-22 13:48:31,124,0,RT @RepBecerra: .@HouseGOP is trying to demonize &amp; criminalize immigrants w #DonaldTrumpAct. That's their cover for failing to pass #CIR,,,623841514872012800,133832049,RepBecerra
623157497579311104,2433737761,rephastingsfl,Twitter Web Client,2015-07-20 15:48:19,186,0,RT @louiseslaughter: Join me in continuing the call from #SenecaFalls that all men -- and women -- are created equal. #WomenSucceed http://…,,,623128888848326656,63169388,louiseslaughter
621393475704090624,2433737761,rephastingsfl,Twitter Web Client,2015-07-15 18:58:44,0,0,"""No taxpayer money would be used for this effort."" - @PeteSessions // So, why is @HouseGOP pulling Breast Cancer Awareness Coin Act?",,,,,
621308190559444992,2433737761,rephastingsfl,Twitter Web Client,2015-07-15 13:19:50,87,0,RT @repjoecrowley: .@SpeakerBoehner don't let the most radical voices of the @HouseGOP defeat moral progress. #TakeItDown http://t.co/GQBKs…,,,621293525632684032,111635980,repjoecrowley
620985347460173824,2433737761,rephastingsfl,Twitter Web Client,2015-07-14 15:56:58,83,0,"RT @keithellison: Ex-Im Bank has received support of last 13 Presidents -- including Reagan, HW Bush &amp; GW Bush. Let's pass #ExIm4Jobs! http…",,,620925752641372160,14135426,keithellison
620660135371870211,2433737761,rephastingsfl,Twitter Web Client,2015-07-13 18:24:42,483,0,"RT @repjohnlewis: Racism is a disease. We must free ourselves of the way of hate, the way of violence, the way of division. We’re not there…",,,619568616028004352,29450962,repjohnlewis
619546801155231744,2433737761,rephastingsfl,Twitter Web Client,2015-07-10 16:40:42,1,1,Outraged that the Senate wants to cut $52 million from the Minority #AIDS Initiative Program.  #EndTheEpidemic,,,,,
619545514481176576,2433737761,rephastingsfl,Twitter Web Client,2015-07-10 16:35:35,2,2,Historic day in South Carolina. Now @HouseGOP must remove from US Capitol these emblems that represent hatred &amp; racism! #TakeItDown,,,,,
619518446947160065,2433737761,rephastingsfl,Twitter Web Client,2015-07-10 14:48:02,126,0,RT @RepRichmond: Symbols of hatred &amp; division have no place in our Capitol. State Confederate Battle Flags must go. @HouseDemocrats stand u…,,,619484157601779712,267854863,RepRichmond
619154336686305280,2433737761,rephastingsfl,Twitter Web Client,2015-07-09 14:41:11,260,0,RT @Clyburn: Today @HouseGOP bringing up vote to support #ConfederateFlag. @HouseDems stand w Charleston against this painful symbol of hat…,,,619134580017205249,188019606,Clyburn
618786426738581504,2433737761,rephastingsfl,Twitter Web Client,2015-07-08 14:19:15,133,0,RT @repbobbyscott: Congress must act to close the achievement gap. #HR5 gets it wrong. We must keep the needs of all of our children the re…,,,618769078195499008,161791703,repbobbyscott
