id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626839392909459456,22523087,repjimcooper,Twitter Web Client,2015-07-30 19:38:52,7,11,Climate change is one of the greatest challenges facing our planet. Action cannot wait any longer. #ActOnClimate,,,,,
626771190980317184,22523087,repjimcooper,Twitter Web Client,2015-07-30 15:07:51,10,2,Earmarks are what folks hate about politics. It’s time to crack down and ban them forever. http://t.co/5ctyXa0POU http://t.co/Ocl2rAffCR,,,,,
626449471740735488,22523087,repjimcooper,Twitter Web Client,2015-07-29 17:49:27,3,0,Incredible story! https://t.co/vFGLID8QMY,,,,,
626130702078226432,22523087,repjimcooper,Twitter Web Client,2015-07-28 20:42:46,1,1,These heroes made the ultimate sacrifice. It’s important we honor them. http://t.co/AoyKKMvIuI,,,,,
625768147044442112,22523087,repjimcooper,Twitter Web Client,2015-07-27 20:42:07,19,0,RT @Tennessean: Girls Day of Code workshops offered in Nashville: http://t.co/CnEUStB4o8 #GirlsDayofCode http://t.co/RExgK6sZBE,,,625767747755069444,16639736,Tennessean
625749482030911488,22523087,repjimcooper,Twitter Web Client,2015-07-27 19:27:57,11,0,"RT @TNSenateDems: ""If Republicans want to improve the health of TN children, one good way to do it is to bring Insure TN to the floor"" http…",,,625746971559596032,48444278,TNSenateDems
625020571844108288,22523087,repjimcooper,Twitter Web Client,2015-07-25 19:11:31,4,5,@blackbirdnash it was amazing. Just posted my review on my Facebook page! Everyone should go!,blackbirdnash,625018841916018688,,,
625020317979688961,22523087,repjimcooper,Twitter Web Client,2015-07-25 19:10:30,7,6,Nashville: Don't miss one of the last 2 performances of Myth by @blackbirdnash! One of the most amazing shows I've ever seen.,,,,,
624316517446914054,22523087,repjimcooper,Twitter Web Client,2015-07-23 20:33:51,3,1,Don't forget all early voting sites are open are ready for you! https://t.co/j04Cy8eqPM,,,,,
624049170417106944,22523087,repjimcooper,Mobile Web (M5),2015-07-23 02:51:31,41,0,RT @KesslerDr: Please RT so every member of the Nashville community can know of this important opportunity for kids &amp; their health! http://…,,,624016588967022592,2426013223,KesslerDr
623913120721932288,22523087,repjimcooper,Twitter Web Client,2015-07-22 17:50:54,9,9,The #PregnantWorkersFairnessAct allows common-sense accommodations so women can protect their families &amp; their jobs #deliverfairness,,,,,
623881646568271872,22523087,repjimcooper,Twitter Web Client,2015-07-22 15:45:50,3,1,"Taxpayers watch what they spend, so why can’t Congress? The Taxpayers Right-to-Know Act needs to become law. http://t.co/3d3tP8bcSZ",,,,,
623522256094949376,22523087,repjimcooper,Twitter Web Client,2015-07-21 15:57:44,2,0,"RT @Vote_TN: If you are interested in being a poll worker, please check out this website for more information! http://t.co/OHYDI43XDR #Vote…",,,623495278264483840,3299643447,Vote_TN
623254530671681537,22523087,repjimcooper,Mobile Web (M5),2015-07-20 22:13:54,12,0,"RT @NashvilleFD: Turns out one of our off-duty firefighters, Chris Schrum, rushed to apartment fire, rescued a woman from the apartment whe…",,,623239489377406976,394747028,NashvilleFD
623221510770176000,22523087,repjimcooper,Twitter Web Client,2015-07-20 20:02:41,12,8,Proud of my #Nashville interns! They're working to get high school students involved in the voting process. Follow along @Vote_TN,,,,,
621794105551663104,22523087,repjimcooper,Twitter Web Client,2015-07-16 21:30:41,8,10,A horrible day in Chattanooga. My thoughts and prayers are with the victims of another senseless shooting.,,,,,
620587671522557952,22523087,repjimcooper,Twitter Web Client,2015-07-13 13:36:45,6,2,"Smart growth means progress, not regress. TN's greatness results from our ability to work together to solve problems. http://t.co/lt8BG2IOaA",,,,,
619220335490109444,22523087,repjimcooper,Twitter Web Client,2015-07-09 19:03:27,2,0,RT @post_politics: Former Cooper staffer gets White House gig http://t.co/d4nCIQUjie,,,619219853312921601,132239978,post_politics
619152909494829056,22523087,repjimcooper,Twitter Web Client,2015-07-09 14:35:31,8,6,"... who will do a great job in the White House. She's a media pro, and will keep on making Tennessee proud. http://t.co/1nDGLWvmGV (2/2)",,,,,
619152823721308160,22523087,repjimcooper,Twitter Web Client,2015-07-09 14:35:11,15,20,"Katie Hill has been named Assistant Press Secretary at @WhiteHouse. Katie is an awesome Nashvillian, and alum of the Cooper staff (1/2)",,,,,
618151524015964160,22523087,repjimcooper,Twitter Web Client,2015-07-06 20:16:22,2599,0,RT @AP: BREAKING: South Carolina Senate votes to remove Confederate flag from Statehouse grounds.,,,618151171602149377,51241574,AP
617378348407373824,22523087,repjimcooper,Instagram,2015-07-04 17:04:03,3,2,Happy 4th of July from the Pegram parade! @ Pegram https://t.co/6gk4x13nyG,,,,,
616346292470587392,22523087,repjimcooper,Twitter Web Client,2015-07-01 20:43:01,12,11,@POTUS gave another great talk in Nashville today. The ACA is working. Now we need Insure TN to help our fellow citizens and neighbors.,POTUS,,,,
615902035339313153,22523087,repjimcooper,Twitter Web Client,2015-06-30 15:17:42,7,0,RT @nickparanjape: Insure TN Gets a Push from Politicians &amp; @StThomas_Health  http://t.co/oMOWXCy0ou @RepJimCooper @CraigFitzhugh @TNJustic…,,,615894743374016512,333478188,nickparanjape
615880421365166081,22523087,repjimcooper,Twitter Web Client,2015-06-30 13:51:49,4,0,"RT @AP_Politics: Justices OK independently drawn House districts, spurring backers' hopes for nonpartisan lines, reports @asfram. http://t.…",,,615880254096326656,426802833,AP_Politics
615014155364405248,22523087,repjimcooper,Twitter Web Client,2015-06-28 04:29:35,11,10,and we are looking forward to showing him Southern hospitality on Wednesday. 2/2,,,,,
615014034459332609,22523087,repjimcooper,Twitter Web Client,2015-06-28 04:29:06,13,19,I am so pleased President Obama is coming back to Nashville. It's always an honor to receive a President... 1/2,,,,,
614535553741029376,22523087,repjimcooper,Twitter for iPhone,2015-06-26 20:47:48,4,0,RT @tndp: #EqualMarriage #LoveWins https://t.co/bqPMobsIXV,,,614535354519977984,19916171,tndp
614489034581274624,22523087,repjimcooper,Twitter Web Client,2015-06-26 17:42:57,18,0,RT @DavidsonClerk: We have been advised by the Tennessee Attorney General that county clerks may begin issuing marriage licenses immediatel…,,,614472301082361856,323268888,DavidsonClerk
614483212220387328,22523087,repjimcooper,Twitter Web Client,2015-06-26 17:19:48,1,2,Congratulations! https://t.co/pRI6TqVMlf,,,,,
614442146544906244,22523087,repjimcooper,Instagram,2015-06-26 14:36:38,10,15,Love and equality win! I'm glad the Supreme Court ruled on the right side of history! https://t.co/kEat4Lz9H0,,,,,
614433858675716097,22523087,repjimcooper,Twitter Web Client,2015-06-26 14:03:42,32770,0,RT @AP: BREAKING: Supreme Court says same-sex couples have right to marry in all 50 states.,,,614433508161921024,51241574,AP
614429959864590336,22523087,repjimcooper,Twitter Web Client,2015-06-26 13:48:12,1,0,RT @sbarchenger: Background: Meet one of Tennessee's couples named in #gaymarriage case. #SCOTUS could rule today on #samesexmarriage http:…,,,614428712402948096,92681638,sbarchenger
614389460172734464,22523087,repjimcooper,Mobile Web (M5),2015-06-26 11:07:16,10,0,RT @NashvilleTenn: Free Dental Care Available June 27 For Veterans http://t.co/XQF4WkDUaH #nashville,,,614311477554446336,76522807,NashvilleTenn
614094890079809536,22523087,repjimcooper,Twitter Web Client,2015-06-25 15:36:45,10,0,"RT @StevenTDennis: Obama: ""The Affordable Care Act is here to stay"" http://t.co/jbz0S6iNfu",,,614094791614296066,46557945,StevenTDennis
614086886357889024,22523087,repjimcooper,Twitter Web Client,2015-06-25 15:04:57,52,0,"RT @craigfitzhugh: No more excuses. One of the most conservative courts in history has ruled, again, that the #ACA is law of the land. Pass…",,,614084081140170752,20513337,craigfitzhugh
614076815993401344,22523087,repjimcooper,Twitter Web Client,2015-06-25 14:24:56,81,65,TN legislators said they were waiting for the King v Burwell ruling. We now have it. They should finish the job &amp; pass Insure Tennessee now.,,,,,
