id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627248888949424128,245451804,repjimcosta,Twitter Web Client,2015-07-31 22:46:03,2,0,RT @fresnometrobcc: President @tatehill with @RepJimCosta on Capitol steps after press conference commemorating the #VotingRightBills. http…,,,626821881161760768,328135295,fresnometrobcc
627248528641912833,245451804,repjimcosta,Twitter Web Client,2015-07-31 22:44:37,3,0,RT @Sagl123: @RepJimCosta and @RepDavidValadao talk to @DaleYurongABC30 about water bill.   @ABC30 #live at 4. http://t.co/r5l1kKzNAR,,,627238949401047041,2933880534,Sagl123
627142207170973696,245451804,repjimcosta,Twitter for iPhone,2015-07-31 15:42:08,2,2,It's a great morning to be back in California's San Joaquin Valley and on @GreatDayKMPH http://t.co/EWiFm0XT7r,,,,,
626845747430977537,245451804,repjimcosta,Twitter for iPhone,2015-07-30 20:04:07,4,1,"For 50 years, #Medicare and #Medicaid have made a difference in the lives of countless Americans and their families. http://t.co/C9U7pelISA",,,,,
626820118996238337,245451804,repjimcosta,Twitter Web Client,2015-07-30 18:22:16,0,0,The @CHCI internship program creates so many new opportunities for our young people! Best of luck to all of you! http://t.co/ljR8wyEMyc,,,,,
626499906203729921,245451804,repjimcosta,Twitter Web Client,2015-07-29 21:09:52,0,0,Watch my floor speech on the need to pass long-term transportation funding here: http://t.co/s56Z9rPUwy #RebuildRenew http://t.co/9QOa4ZOC75,,,,,
626141502629150721,245451804,repjimcosta,Twitter Web Client,2015-07-28 21:25:42,1,0,At the National Wildlife Refuge Expo learning about the recreational activities that wildlife refuges have to offer! http://t.co/CWfrySl6xL,,,,,
624667569010671616,245451804,repjimcosta,Twitter Web Client,2015-07-24 19:48:48,4,2,"As we face the #CAdrought, it is vital that we use the latest water conservation technologies available. #savewater http://t.co/VJIzut2u9M",,,,,
621833873538813953,245451804,repjimcosta,Twitter Web Client,2015-07-17 00:08:43,0,0,"Today,the Western Water &amp; American Food Security Act, which I cosponsored with Rep. Valadao, was passed by the House. http://t.co/Vh114wZV6L",,,,,
621832837017268224,245451804,repjimcosta,Twitter Web Client,2015-07-17 00:04:36,2,4,My thoughts and prayers are with the victims and survivors of the horrible attack that took place in Chattanooga.,,,,,
