id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627141132179386369,2970462034,repkathleenrice,Twitter Web Client,2015-07-31 15:37:52,2,3,Talking with our Veterans Advisory Committee this morning about ongoing efforts to reform &amp; improve the #VA http://t.co/IgUHpsM39K,,,,,
627125813838745600,2970462034,repkathleenrice,Twitter Web Client,2015-07-31 14:37:00,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
626773268691841024,2970462034,repkathleenrice,Twitter Web Client,2015-07-30 15:16:06,165,0,RT @janschakowsky: Happy 50th anniversary #Medicare &amp; #Medicaid! Here’s to the next 50 yrs. of serving our families. #MedicareMedicaid50 ht…,,,626754037933674497,24195214,janschakowsky
626463628854697984,2970462034,repkathleenrice,Twitter Web Client,2015-07-29 18:45:42,3,1,Check out Kathleen's PSA on the dangers of #distracteddriving: https://t.co/XgGtqHWA75,,,,,
626394828507586561,2970462034,repkathleenrice,Twitter Web Client,2015-07-29 14:12:19,0,1,Homeland Security Committee hearing on #TSA &amp; aviation security challenges just started. Watch live: http://t.co/5eM8dmU4ff,,,,,
626388964597997568,2970462034,repkathleenrice,Twitter Web Client,2015-07-29 13:49:01,4,2,"Important piece in today's @WSJ: ""Small Businesses Bear Burden of Ex-Im Bank Shutdown"" http://t.co/8GxKjgelIJ #ExIm4Jobs",,,,,
626142636450185216,2970462034,repkathleenrice,Twitter Web Client,2015-07-28 21:30:12,1,2,"Talked w/ @twitter, @facebook, @google &amp; @Microsoft today about using social media to communicate during disasters http://t.co/w3fV8IxkVU",,,,,
626139345804763136,2970462034,repkathleenrice,Twitter Web Client,2015-07-28 21:17:07,5,3,"Big thanks to HR 2770's original cosponsors @BennieGThompson, @RepJohnKatko &amp; @RepDonaldPayne for helping to pass this impt bipartisan bill",,,,,
625807726719930368,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 23:19:23,9,6,"HOUSE PASSES H.R. 2770, the Keeping Our Travelers Safe &amp; Secure Act - second bill Kathleen has passed in 7 months!!!",,,,,
625805972347465728,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 23:12:25,1,1,"House voting NOW on Kathleen's bill, H.R. 2770, the Keeping Our Travelers Safe &amp; Secure Act! http://t.co/nw82fLWiyf",,,,,
625794104425848832,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 22:25:15,0,2,"Check out Kathleen speaking on the floor in support of her bill, the Keeping Travelers Safe &amp; Secure Act: http://t.co/3H1BiZfDE3",,,,,
625766547848568832,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 20:35:45,0,1,Kathleen speaking now on the House floor about impt Homeland Security legislation. WATCH LIVE: http://t.co/ANqamlEiQR http://t.co/bZiWZDLosm,,,,,
625743360192577537,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 19:03:37,0,0,Kathleen's speaking soon in support of HR 2770 &amp; other impt Homeland Security bills on the floor tonight. Watch live: http://t.co/ANqamlEiQR,,,,,
625701172402384896,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 16:15:59,1,0,"Lack of maintenance processes could reduce equipment-life, jeopardize safety by forcing TSA to rely on less effective screening measures",,,,,
625700117526523905,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 16:11:47,2,2,"House votes tonight on Kathleen's 2nd bill, requiring TSA to implement strict maintenance processes for airport screening technology",,,,,
625698303708110848,2970462034,repkathleenrice,Twitter Web Client,2015-07-27 16:04:35,0,0,"TONIGHT: House votes on Kathleen's 2nd bill, the Keeping Our Travelers Safe &amp; Secure Act (H.R. 2770)! More info here: http://t.co/X2R95Bkifo",,,,,
624613111299878914,2970462034,repkathleenrice,Twitter Web Client,2015-07-24 16:12:25,0,2,Federal waiver is a big step towards opening the new 24-hr Emergency Dept in Long Beach #NY04: http://t.co/f8YGjrHY7U,,,,,
624573968645783552,2970462034,repkathleenrice,Twitter Web Client,2015-07-24 13:36:52,107,0,"RT @RepCicilline: LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #Equality…",,,624571087855202304,462143773,RepCicilline
624264789477453824,2970462034,repkathleenrice,Twitter Web Client,2015-07-23 17:08:18,2,4,"Proud to cosponsor @RepCicilline's #EqualityAct, which ensures LGBT Americans have the same basic protections that all Americans deserve",,,,,
624241689918611456,2970462034,repkathleenrice,Twitter Web Client,2015-07-23 15:36:31,2,0,LI Reps. &amp; NY Senators announce $21M for emergency repairs to Sandy-damaged energy infrastructure on Long Island: http://t.co/joGjq5RCBI,,,,,
