id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627201556673380352,2293131060,repkclark,Twitter for iPhone,2015-07-31 19:37:58,4,15,Honored to present Sgt Pugliese &amp; Officer Reynolds of @WatertownPD w/Badges of Bravery &amp; thank them for their service http://t.co/gq46YRYS92,,,,,
627178688426188800,2293131060,repkclark,Twitter Web Client,2015-07-31 18:07:06,8,12,Great meeting w/ Rep. @CarolynDykema &amp; the team at @NECCforautism. Thx for the work you do for children w/ autism. http://t.co/edw75ZPDae,,,,,
627176347937447936,2293131060,repkclark,Twitter Web Client,2015-07-31 17:57:48,12,15,"Great news! At our urging, a new study is underway to enhance how we learn about, diagnose &amp; treat #autism. http://t.co/GGF9BcWghZ",,,,,
627127938538958849,2293131060,repkclark,Twitter for iPhone,2015-07-31 14:45:26,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
626906298181885957,2293131060,repkclark,Twitter for iPhone,2015-07-31 00:04:43,11,16,Happy Birthday Ready to Read! @UWofTC in #Framingham -Team Clark http://t.co/GVxvm781LE,,,,,
626862517973839872,2293131060,repkclark,Twitter for iPhone,2015-07-30 21:10:45,7,10,"Celebrate the 150th Anniversary of Frederick Law Olmsted's Yosemite Report on Sunday, August 9, 10a-11a #FindYourPark http://t.co/XXG0HFDKvP",,,,,
626845709111832576,2293131060,repkclark,Twitter Web Client,2015-07-30 20:03:57,5,11,Congress has some opportunities 2 help families dealing w/ the opioid crisis. TY @RepJoeKennedy for your leadership. http://t.co/X0gt276mte,,,,,
626818295040245760,2293131060,repkclark,Twitter for iPhone,2015-07-30 18:15:01,12,18,Incredible views/historic landscapes at Minute Man Nat'l Historical Park!-TeamClark #Lexington #Lincoln #FindYourPark http://t.co/yE7bsQQ4hf,,,,,
626799396156534784,2293131060,repkclark,Twitter Web Client,2015-07-30 16:59:56,57,0,"RT @SecBurwell: #TBT 50 years ago today, a program was born that’s had #impact for millions of Americans. #KeepingUSHealthy http://t.co/Exi…",,,626797272467144704,2458567464,SecBurwell
626782481522540544,2293131060,repkclark,Twitter Web Client,2015-07-30 15:52:43,14,0,RT @CommonWealthMag: In bipartisan fashion @RepKClark &amp; @RepRyanCostello gear up fed. mach. on postpartum treatment http://t.co/pThzVoa6sM …,,,626782147232182272,74521617,CommonWealthMag
626760473073954817,2293131060,repkclark,Twitter Web Client,2015-07-30 14:25:16,58,50,"On the 50th annvsry of #Medicare &amp; #Medicaid we should recommit to ensuring health care as a right, not a privilege. #MedicareMedicaid50",,,,,
626517543084277760,2293131060,repkclark,Twitter Web Client,2015-07-29 22:19:57,10,12,"Republicans proposed yet another temporary, last-minute band-aid for the Highway Trust Fund. My statement: http://t.co/WNvc0B5kxe",,,,,
626456002406285312,2293131060,repkclark,Twitter Web Client,2015-07-29 18:15:24,20,23,Let's end the stigma surrounding #postpartum depression. @CommonWealthMag covers our bill to help 1 in 7 new moms. http://t.co/NiS7UbXA72,,,,,
626453217111601152,2293131060,repkclark,Twitter Web Client,2015-07-29 18:04:20,18,26,We intro'd the Homeless and Foster Youth Achievement Act so students who are trying hard to succeed get a fair shot. http://t.co/FCU7X36DbG,,,,,
626405592794533888,2293131060,repkclark,Twitter Web Client,2015-07-29 14:55:06,8,29,Great news! Our bill to help opioid-exposed newborns made it through committee - a step closer to the House floor. http://t.co/r2vroHWKRP,,,,,
626152340043788288,2293131060,repkclark,Twitter for iPhone,2015-07-28 22:08:45,22,39,Congratulations @jwelter47 - first female coach in the #NFL! #BreakBarriers #Equality http://t.co/snZS9vHEI4,,,,,
626110182490140672,2293131060,repkclark,Twitter Web Client,2015-07-28 19:21:14,66,46,"Women of color take home 10%-46% less due to the gender wage gap - $ that could've gone to rent, groceries. #equalpay http://t.co/QAgpuwbTvR",,,,,
626082311793156096,2293131060,repkclark,Twitter Web Client,2015-07-28 17:30:29,37,39,"Watch: Katherine addresses U.S. House: ""1 in 7 moms are affected by #postpartum depression"" #ppd #momsmatter http://t.co/MiqPSB8BM0",,,,,
626060863498272768,2293131060,repkclark,Twitter for iPhone,2015-07-28 16:05:16,14,15,Proud 2 join @MayorDanRizzo to honor resilience of #Revere &amp; its residents in aftermath of 7/28/14 tornado -TeamClark http://t.co/aIR7NsWxcj,,,,,
626044800270245888,2293131060,repkclark,Twitter Web Client,2015-07-28 15:01:26,56,61,"#Breaking: Katherine's bill to combat #postpartum depression. ""We want mothers to know that they are not alone."" http://t.co/B1PE34pVGX #PPD",,,,,
625997743018913793,2293131060,repkclark,Twitter for iPhone,2015-07-28 11:54:27,382,0,RT @AmbassadorPower: .@POTUS—Single best indicator of whether a nation will succeed is how it treats women. We'll all be better off when wo…,,,625996895962443776,1615463502,AmbassadorPower
625672836095586304,2293131060,repkclark,Twitter Web Client,2015-07-27 14:23:23,131,0,RT @repbobbyscott: RT if you agree: standing up for workers is the right thing to do. Let's #FixOvertime for hardworking Americans!,,,625653478115966976,161791703,repbobbyscott
625323187648208897,2293131060,repkclark,Twitter for iPhone,2015-07-26 15:14:00,41,60,Incredible works of art at the #RevereBeach International Sand Sculpting Festival! - Team Clark http://t.co/sWGtzNo4Mg,,,,,
624669019698778112,2293131060,repkclark,Twitter Web Client,2015-07-24 19:54:34,42,60,We can make our workforce stronger w/ policies that don't force women to choose between raising children and work. http://t.co/rgrSPl0Nqj,,,,,
624606521792442369,2293131060,repkclark,Twitter Web Client,2015-07-24 15:46:14,7,15,#FlashBackFriday 1 yr ago we brought #CambridgeMA students' questions to @Space_Station astronauts. http://t.co/5jBqgnFk0E #mapoli #STEM,,,,,
624603690427527168,2293131060,repkclark,Twitter for iPhone,2015-07-24 15:34:59,12,0,RT @MayorDanRizzo: We hope to see everyone at the International Sand Sculpting Festival this weekend at Revere Beach!,,,624390865214144512,267202860,MayorDanRizzo
624348544518983680,2293131060,repkclark,Twitter for iPhone,2015-07-23 22:41:07,6,22,Great turnout in #Woburn @MayorGalvin Senior #RedSox Day! -Team Clark http://t.co/s4viLGZX6u,,,,,
