id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627234666286858240,19926675,repkevinbrady,Twitter Web Client,2015-07-31 21:49:32,1,1,"Equal Social Security Treatment for Teachers, Firefighters, and Police Officers http://t.co/uAJUU9OHPz",,,,,
627186483720536064,19926675,repkevinbrady,TweetDeck,2015-07-31 18:38:04,1,0,"The federal government is gorging on earnings of hardworking taxpayers, @POTUS &amp; congressional Democrats demand more http://t.co/yt9hNbqCUn",,,,,
627149455389773825,19926675,repkevinbrady,Instagram,2015-07-31 16:10:56,1,0,Discussing the failures of the #ObamaRecovery with varneyco on @FoxBusiness https://t.co/8QhLt8V4Zm,,,,,
627131892245110784,19926675,repkevinbrady,TweetDeck,2015-07-31 15:01:09,2,0,"RT @NJLive_Events: ""The Future of Medicare Forum"" #NJMedicare @RepKevinBrady @BMAlliance http://t.co/YJvEs7ilC0",,,627106973977300992,2485683942,NJLive_Events
627104482116153344,19926675,repkevinbrady,Twitter Web Client,2015-07-31 13:12:14,0,0,Fed faces a laundry list of reform measures http://t.co/WGqfEtgGSr via @DCExaminer,,,,,
626875364019707904,19926675,repkevinbrady,Instagram,2015-07-30 22:01:48,0,1,One last visit to the Conference recording studio before I head back to #TX08 https://t.co/HNkxlQmLQu,,,,,
626834972545011712,19926675,repkevinbrady,TweetDeck,2015-07-30 19:21:18,1,1,@RepKevinBrady calls for Gulf Coast #PlannedParenthood to release organ-harvesting Information http://t.co/gfzFAT3dh8,RepKevinBrady,,,,
626768566956752896,19926675,repkevinbrady,Instagram,2015-07-30 14:57:25,0,1,Taking some questions on the benefits of trade with the U.S. Fashion Industry Association… https://t.co/UwVc9krK2p,,,,,
626767503109263360,19926675,repkevinbrady,TweetDeck,2015-07-30 14:53:12,5,0,RT @WorldNetIntl: #TradeIsFashionable Engaging in trade conversation at #CapitolHill @RepKevinBrady  @usfashion #WorldnetIntl http://t.co/P…,,,626766987671248896,125448715,WorldNetIntl
626744587193872384,19926675,repkevinbrady,TweetDeck,2015-07-30 13:22:08,4,2,GOP &amp; Dems need to work together now to save #Medicare for long term. Seniors/future Americans are counting on us http://t.co/zENSBARRmX,,,,,
626552809207410689,19926675,repkevinbrady,TweetDeck,2015-07-30 00:40:05,2,1,"The #MedPAC VBP Act rewards providers that set themselves apart, raising the bar for patient care nationwide. http://t.co/k1dKGvlaiH",,,,,
626491218051092480,19926675,repkevinbrady,TweetDeck,2015-07-29 20:35:20,1,0,Ways and Means Members Introduce Bills to Bring Clarity to Hospital Payment Systems http://t.co/R3yPAqbnJ6,,,,,
626434162506006528,19926675,repkevinbrady,TweetDeck,2015-07-29 16:48:37,13,0,RT @HouseGOP: ICYMI! Yesterday the House voted to rein in the regulations imposed on small businesses.  #REINSAct http://t.co/9g7I5fwuPZ,,,626434086467448832,15207668,HouseGOP
626187857439420418,19926675,repkevinbrady,Instagram,2015-07-29 00:29:53,4,1,Great discussion today regarding the positive effects of dynamic scoring and its impact on policy… https://t.co/elsRJXxTDj,,,,,
626152593950179329,19926675,repkevinbrady,TweetDeck,2015-07-28 22:09:46,2,2,So great to see @TexasFarmBureau youth speech contest winner Victoria Martin and the rest of the finalists. http://t.co/WkYvwCZhLq,,,,,
626094800652124160,19926675,repkevinbrady,Twitter for iPhone,2015-07-28 18:20:07,6,0,"RT @ForbesOpinion: To modernize the Federal Reserve, Congress should pass the Sound Dollar Act, from @SenMikeLee and @RepKevinBrady: http:/…",,,626094411479252993,89713893,ForbesOpinion
626048871899234305,19926675,repkevinbrady,TweetDeck,2015-07-28 15:17:37,2,2,"We can do better, we must do better, and we will do better #RuralHealthCare http://t.co/3xkzzDjvCp",,,,,
626013346916106240,19926675,repkevinbrady,Instagram,2015-07-28 12:56:27,4,1,We want providers fighting for seniors' business #Medicare https://t.co/KeEdFDSrS3,,,,,
626011517188734977,19926675,repkevinbrady,Twitter for iPhone,2015-07-28 12:49:11,2,1,Have questions about Medicare use #AskNJ to get involved http://t.co/jYjD5VtiSq,,,,,
626008234973863936,19926675,repkevinbrady,Twitter for iPhone,2015-07-28 12:36:08,5,2,Speaking about the future of #Medicare at @NJLive_Events forum http://t.co/jJJIiVHD1Q,,,,,
626002701281832960,19926675,repkevinbrady,Instagram,2015-07-28 12:14:09,4,1,Getting ready for Future of Medicare Forum with @NJLive_Events https://t.co/OL6a00J91M,,,,,
625857715684966400,19926675,repkevinbrady,TweetDeck,2015-07-28 02:38:01,4,5,Congrats to Jeshua Johnson from Lone Star Community College &amp; being accepted in the Congress-Bundestag Youth Exchange http://t.co/TPjDu2YLw1,,,,,
625744510602072064,19926675,repkevinbrady,Twitter for iPhone,2015-07-27 19:08:11,5,2,Looking forward to tomorrow's event on #Medicare with @NJLive_Events http://t.co/PBwEPV3aLk,,,,,
625697798399393792,19926675,repkevinbrady,Instagram,2015-07-27 16:02:34,1,1,The Ploch family from Montgomery was in bright and early to help us kick off a busy week in… https://t.co/VqAw4wR9KO,,,,,
625665247563677696,19926675,repkevinbrady,TweetDeck,2015-07-27 13:53:13,3,1,"Monday Memo:We recap the House's decisive action on sanctuary cities, efforts to reform the VA &amp; funding SSDI http://t.co/zCaCxGOXJI",,,,,
625326100038746112,19926675,repkevinbrady,Instagram,2015-07-26 15:25:34,3,1,Just posted a photo https://t.co/h60XRBXKzq,,,,,
625084262962855937,19926675,repkevinbrady,Instagram,2015-07-25 23:24:36,3,2,Congrats to one of the all-time greats. #Biggio https://t.co/lGD4gee48w,,,,,
625034040484085761,19926675,repkevinbrady,TweetDeck,2015-07-25 20:05:02,4,1,Next week the #JEC will have a hearing on Dynamic Scoring and how it will affect fiscal policymaking. http://t.co/geJxxcqxMB,,,,,
624959271189483520,19926675,repkevinbrady,Instagram,2015-07-25 15:07:56,1,1,"Thanks to all the interns in our Washington, DC office this summer. #TX08 https://t.co/ho6MGReQe6",,,,,
624669810937434112,19926675,repkevinbrady,Twitter Web Client,2015-07-24 19:57:43,4,4,GOP: Defund Planned Parenthood now http://t.co/NPoluFMkdk,,,,,
624629505152393216,19926675,repkevinbrady,Twitter Web Client,2015-07-24 17:17:33,10,32,Thrilled to run into @TexasFFA President Jason Edmondson &amp; 1st Vice President Brice Boyd during their visit to DC. http://t.co/YgM9o0NSho,,,,,
624573699799285760,19926675,repkevinbrady,Twitter Web Client,2015-07-24 13:35:48,483,0,RT @TheRealBuzz: The true value of #Apollo11 is the teamwork &amp; innovation to land on the moon. WE CAME IN PEACE FOR ALL MANKIND. http://t.c…,,,624568753506922496,46220856,TheRealBuzz
624379748467105792,19926675,repkevinbrady,TweetDeck,2015-07-24 00:45:07,3,4,Great trade mtg with Vice Minister Dr. Luz Estrella Rodriguez of El Salvador and a delegation from CAFTA countries http://t.co/0uMIjBolFA,,,,,
624345800416497664,19926675,repkevinbrady,TweetDeck,2015-07-23 22:30:13,5,1,There should be consequences for local politicians who intentionally ignore the law. http://t.co/5MQ5l7LOFP #SanctuaryCities,,,,,
624315669681602560,19926675,repkevinbrady,Twitter Web Client,2015-07-23 20:30:29,1,0,Disaster Recovery Center To Open in Montgomery County for Texas Flood Survivors http://t.co/MvHMenTJVd @femaregion6,,,,,
