id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627127302212747264,2975350155,repmarktakai,Twitter Web Client,2015-07-31 14:42:54,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
626756912533475328,2975350155,repmarktakai,Twitter Web Client,2015-07-30 14:11:07,165,0,RT @janschakowsky: Happy 50th anniversary #Medicare &amp; #Medicaid! Here’s to the next 50 yrs. of serving our families. #MedicareMedicaid50 ht…,,,626754037933674497,24195214,janschakowsky
626382146698125312,2975350155,repmarktakai,Twitter Web Client,2015-07-29 13:21:56,81,0,"RT @JuliaBrownley26: The House should stay in session &amp; pass a robust, long-term highway bill to end the #RepublicanRoadblock that threaten…",,,626369109052145667,1243902714,JuliaBrownley26
626070600465952768,2975350155,repmarktakai,Twitter for iPhone,2015-07-28 16:43:57,1,0,RT @APAICS: Thanks @RepMarkTakai for coming out to raise awareness and show your support for the Filipino community http://t.co/HYptlDhxTV,,,626070490550005760,117561682,APAICS
625663945920151553,2975350155,repmarktakai,Twitter for iPhone,2015-07-27 13:48:03,131,0,RT @repbobbyscott: RT if you agree: standing up for workers is the right thing to do. Let's #FixOvertime for hardworking Americans!,,,625653478115966976,161791703,repbobbyscott
625390455740456960,2975350155,repmarktakai,Twitter Web Client,2015-07-26 19:41:18,3,4,"Today we celebrate #ADA25, an incredible piece of legislation that has helped millions of Americans! #TeamRepTakai http://t.co/mJl5X1QE4b",,,,,
624671566320791552,2975350155,repmarktakai,Twitter Web Client,2015-07-24 20:04:41,3,1,It has been 6 years since the last federal minimum wage increase. It's time to #RaiseTheWage now! #TeamRepTakai http://t.co/p03hIasveT,,,,,
624576502223536128,2975350155,repmarktakai,Twitter for iPhone,2015-07-24 13:46:56,107,0,"RT @RepCicilline: LGBT equality is the next chapter in the fight for civil rights, and it's time to write it in the books of law. #Equality…",,,624571087855202304,462143773,RepCicilline
624340394923413504,2975350155,repmarktakai,Twitter Web Client,2015-07-23 22:08:44,1,2,Glad to hear that you're having a blast on your #Hawaii vacation! @KingJames,,,,,
624283871522213888,2975350155,repmarktakai,Twitter Web Client,2015-07-23 18:24:08,2,1,Anti-#LGBT discrimination is legal in 31 states—let’s make it ZERO! #EqualityForward #TeamRepTakai,,,,,
624269198169124865,2975350155,repmarktakai,Twitter Web Client,2015-07-23 17:25:49,2,4,Proud to be an original cosponsor of the #EqualityAct. Bill provides full protection under the law for our #LGBT citizens. #EqualityForward,,,,,
624205757672779776,2975350155,repmarktakai,Twitter for iPhone,2015-07-23 13:13:44,109,0,RT @HispanicCaucus: .@HouseGOP nearly shut down Homeland Security -- now wants to pass #DonaldTrumpAct that demonizes immigrants &amp; harms lo…,,,624193183455518720,33530012,HispanicCaucus
623861501154197505,2975350155,repmarktakai,Twitter Web Client,2015-07-22 14:25:47,3,6,Mahalo to @sethmoulton for standing up for our small business owners with me!  https://t.co/9bgI460VLg,,,,,
623149623981535232,2975350155,repmarktakai,Twitter Web Client,2015-07-20 15:17:02,186,0,RT @louiseslaughter: Join me in continuing the call from #SenecaFalls that all men -- and women -- are created equal. #WomenSucceed http://…,,,623128888848326656,63169388,louiseslaughter
622033153075638274,2975350155,repmarktakai,Twitter for iPhone,2015-07-17 13:20:35,559,0,"RT @GKButterfield: RT if you agree: We must ensure that every citizen, everywhere has the right to vote &amp; that every vote is counted as cas…",,,622020662748708864,432676344,GKButterfield
621864584689905664,2975350155,repmarktakai,Twitter for iPhone,2015-07-17 02:10:45,1,1,Happy #HawaiiCleanEnergyDay! #TeamRepTakai,,,,,
621809979859824644,2975350155,repmarktakai,Twitter for iPhone,2015-07-16 22:33:46,4,4,My thoughts and prayers go out to the #Chattanooga victims and their families.,,,,,
621781154165825536,2975350155,repmarktakai,Twitter Web Client,2015-07-16 20:39:13,25,0,"RT @RepLoisFrankel: Two years ago, @HouseDemocrats launched #WomenSucceed agenda. Check out how far we've come since then! http://t.co/wS06…",,,621771358519717888,1077121945,RepLoisFrankel
621778811693178880,2975350155,repmarktakai,Twitter Web Client,2015-07-16 20:29:55,1,1,"In 2 yrs since @HouseDemocrats launched #WomenSucceed econ. agenda, we've seen a nat'l conversation begin around issues critical to families",,,,,
621724983006359552,2975350155,repmarktakai,TweetDeck,2015-07-16 16:56:01,3,4,#LWCF works to #KeepItPublic by stimulating investments in our #PublicLands. Don’t let this program expire! #TeamRepTakai,,,,,
621721721142247424,2975350155,repmarktakai,TweetDeck,2015-07-16 16:43:04,0,1,The #LWCF expires in less than 75 days. RT &amp; encourage others to tell Congress to act. #TeamRepTakai,,,,,
621717185279299584,2975350155,repmarktakai,TweetDeck,2015-07-16 16:25:02,4,4,#LWCF has preserved our natural &amp; cultural heritage for 50yrs. We must reauthorize this essential tool for conserving iconic #publiclands,,,,,
621713968378310656,2975350155,repmarktakai,TweetDeck,2015-07-16 16:12:15,5,5,Making sure our #PublicLands continue to be #Outdoors4All means we need to keep #LWCF from expiring! #TeamRepTakai,,,,,
621671322041630722,2975350155,repmarktakai,Twitter Web Client,2015-07-16 13:22:47,169,0,"RT @RepPeterDeFazio: .@SpeakerBoehner, hard-working Americans deserve a serious, long-term transportation bill. Let's end this #RepublicanR…",,,621659605144313856,252249233,RepPeterDeFazio
621454353707200512,2975350155,repmarktakai,Twitter Web Client,2015-07-15 23:00:38,0,0,Congressman Takai and 21 of his colleagues sent a letter to @POTUS asking him to take action to help our #FilVets! http://t.co/c9OjRkcWq9,,,,,
621020447996571648,2975350155,repmarktakai,Twitter Web Client,2015-07-14 18:16:27,0,2,"In order to help more Americans #MakeItInAmerica, we need to spur innovation &amp; job creation here at home #MIIAWhatsNext #TeamRepTakai",,,,,
621015453691998208,2975350155,repmarktakai,Twitter Web Client,2015-07-14 17:56:36,2,2,Today we celebrate the Older Americans Act and its 50 years of helping our kupuna! #OAA50 #TeamRepTakai http://t.co/oKENXOBYsg,,,,,
621012925176623104,2975350155,repmarktakai,Twitter Web Client,2015-07-14 17:46:33,4,4,Great meeting @HillaryClinton in today's @CAPAC meeting! #TeamRepTakai http://t.co/flSMirEapd,,,,,
620946945461329920,2975350155,repmarktakai,Twitter Web Client,2015-07-14 13:24:23,83,0,"RT @keithellison: Ex-Im Bank has received support of last 13 Presidents -- including Reagan, HW Bush &amp; GW Bush. Let's pass #ExIm4Jobs! http…",,,620925752641372160,14135426,keithellison
619265023043629056,2975350155,repmarktakai,Twitter Web Client,2015-07-09 22:01:01,0,1,Congressman Takai joined his colleagues in support of #BringBackOurGirls! #TeamRepTakai http://t.co/CRBLFi2BeH,,,,,
619206918578536448,2975350155,repmarktakai,Twitter Web Client,2015-07-09 18:10:08,4,1,I support #AmericasCollegePromise b/c everyone should have an opportunity to access quality &amp; affordable #HigherEd http://t.co/Q0u2vrRpni,,,,,
619189691024326656,2975350155,repmarktakai,Twitter Web Client,2015-07-09 17:01:40,8,7,The next generation should be able to go further &amp; do better than the last one. That’s the American dream. That’s #AmericasCollegePromise.,,,,,
619137295258648576,2975350155,repmarktakai,Twitter Web Client,2015-07-09 13:33:28,260,0,RT @Clyburn: Today @HouseGOP bringing up vote to support #ConfederateFlag. @HouseDems stand w Charleston against this painful symbol of hat…,,,619134580017205249,188019606,Clyburn
618932356343271424,2975350155,repmarktakai,Twitter for iPhone,2015-07-08 23:59:07,0,0,"@DKIInstitute ""Believe in this place (America). Believe in it with all your heart."" - Sec. Powell. #Inouye #CMORE",DKIInstitute,,,,
618930472173838336,2975350155,repmarktakai,Twitter for iPhone,2015-07-08 23:51:38,5,5,"@DKIInstitute ""I think people want to be able to make decisions about their own lives wherever they are."" - Sec. Albright #Inouye #CMORE",DKIInstitute,,,,
618929746194272256,2975350155,repmarktakai,Twitter for iPhone,2015-07-08 23:48:45,9,5,@DKIInstitute A close up from tonight's #Inouye lecture series with Sec. Albright and Sec. Powell. #CMORE http://t.co/xmvYum47mw,DKIInstitute,,,,
618926227538231296,2975350155,repmarktakai,Twitter for iPhone,2015-07-08 23:34:46,9,4,@DKIInstitute fantastic to see the legacy of Senator #Inouye carried on through this lecture series. #CMORE,DKIInstitute,,,,
618771120934776834,2975350155,repmarktakai,Twitter Web Client,2015-07-08 13:18:26,133,0,RT @repbobbyscott: Congress must act to close the achievement gap. #HR5 gets it wrong. We must keep the needs of all of our children the re…,,,618769078195499008,161791703,repbobbyscott
618408061879853056,2975350155,repmarktakai,Twitter Web Client,2015-07-07 13:15:46,77,0,RT @RepJeffries: Time to modernize our outdated overtime rules. Make your voice heard and join the conversation to #FixOvertime! http://t.c…,,,618396349613146112,467823431,RepJeffries
