id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627134514263887873,364415553,repsarbanes,Twitter Web Client,2015-07-31 15:11:34,1,0,"ICYMI, check out my interview with @pchowder on @wnhnfm about money in politics --&gt; http://t.co/DevtmLouhR.",,,,,
626025986266636288,364415553,repsarbanes,Twitter Web Client,2015-07-28 13:46:40,5,1,I’m joining @pchowder on @wnhnfm today at 12:30 pm to talk about $$$ in politics &amp; what we can do to fix it. Tune in! http://t.co/ZSpW8LEBcE,,,,,
623867152051896320,364415553,repsarbanes,Twitter Web Client,2015-07-22 14:48:14,3,0,"RT @eric_s_friedman: @RepSarbanes: ""Power-based reform"" = fight the power of big money with the power of small donors. #electionsR4voters",,,623859897877274625,18022162,eric_s_friedman
623324340868804609,364415553,repsarbanes,Twitter Web Client,2015-07-21 02:51:18,3,0,RT @SEEC: SEEC Members @RepPaulTonko @RepSarbanes @ChrisVanHollen attend Climate Hearing at U.S. Naval Academy http://t.co/zGnoAowxiF @balt…,,,623149155360342016,29205600,SEEC
622066424069144581,364415553,repsarbanes,Twitter for iPhone,2015-07-17 15:32:47,12,0,RT @EnergyCommerce: .@RepSarbanes: American public is focused on fighting #climatechange. Over 70% of the public support limits on CO2. Con…,,,622066106619011072,30929600,EnergyCommerce
622066397225594880,364415553,repsarbanes,Twitter for iPhone,2015-07-17 15:32:41,3,0,RT @EnergyCommerce: .@RepSarbanes We have a responsibility to protect and preserve Chesapeake Bay from #climatechange #demccforum,,,622065750619090945,30929600,EnergyCommerce
620608463547310080,364415553,repsarbanes,Twitter Web Client,2015-07-13 14:59:22,17,9,"Check out @keithellison and I talking about how we can fight big money in politics on ""We the Podcast"" --&gt; http://t.co/ZbFRf2eoEE",,,,,
619580604313636864,364415553,repsarbanes,Twitter Web Client,2015-07-10 18:55:01,5,5,ICYMI --&gt; @AlyonaMink and I talked on @HuffPostLive about fighting big-money politics by empowering small donors: http://t.co/SolIpBNFYt.,,,,,
619563392907522048,364415553,repsarbanes,Twitter Web Client,2015-07-10 17:46:38,19,6,Here's the final part of my conversation with @tinyrevolution of @the_intercept: http://t.co/FkuqQBd53e. http://t.co/U6aU5KEGJ7,,,,,
619559991603761152,364415553,repsarbanes,Twitter Web Client,2015-07-10 17:33:07,2,0,RT @allisonbresnick: Don't miss @RepSarbanes on #PoliticalJunkies wth @AlyonaMink http://t.co/3no8hwKnxI via @HuffPostLive,,,619558066502127616,39861932,allisonbresnick
619198872347406337,364415553,repsarbanes,Twitter Web Client,2015-07-09 17:38:09,7,4,"As promised, here’s Part 1 of my interview with @tinyrevolution of @the_intercept: http://t.co/WVtNGPly4d. http://t.co/6Se8kpxAlt",,,,,
618851755665788928,364415553,repsarbanes,Twitter Web Client,2015-07-08 18:38:50,2,0,(2/2) Part 1 of our Q-A comes out tomorrow.,,,,,
618851715245309952,364415553,repsarbanes,Twitter Web Client,2015-07-08 18:38:41,6,4,(1/2) Enjoyed talking with @tinyrevolution of @the_intercept about fixing today’s big-money politics: http://t.co/xndp2Azox8 #BythePeople,,,,,
618544305414782976,364415553,repsarbanes,Twitter Web Client,2015-07-07 22:17:09,19,13,.@paulwaldman1 Sobering piece on the sad state of our democracy: http://t.co/qefrvT8DVz. That’s why we need to return to gov’t #bythepeople.,,,,,
614152326555824128,364415553,repsarbanes,Twitter Web Client,2015-06-25 19:24:59,68,46,"Hey, Justice Scalia -- if you want to rename the health care law as #SCOTUScare, then let’s call Super PACS #SCOTUSPACs.",,,,,
613666804372774912,364415553,repsarbanes,Twitter for iPhone,2015-06-24 11:15:42,1,0,RT @edatpost: Coming up this hour on #MorningBriefing: @repsarbanes &amp; @congressmandan. @SiriusXM's @SXMPOTUS Ch. 124.,,,613664283117920256,16930125,edatpost
612995996230905856,364415553,repsarbanes,Twitter Web Client,2015-06-22 14:50:09,11,9,(2/2) It’s time we talk about solutions: http://t.co/vkb3QZ1MVh #bythepeople,,,,,
612995960831102976,364415553,repsarbanes,Twitter Web Client,2015-06-22 14:50:00,16,13,(1/2) Yet another poll shows that most Americans want to stop wealthy donors’ from controlling our democracy: http://t.co/wh3jtiVA46.,,,,,
607992367396888576,364415553,repsarbanes,Twitter Web Client,2015-06-08 19:27:30,5,0,RT @washmonthly: .@RepSarbanes doesn’t take PAC money. He has a plan to incentivize colleagues to do the same http://t.co/euNHPw9vzJ http:/…,,,607984954052481025,266715173,washmonthly
