id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627168787079528448,2962813893,repstefanik,TweetDeck,2015-07-31 17:27:45,2,1,Weekly Update: August Mobile Office Hours; HASC Hearing on Iran Deal; Coffee With Your Congresswoman Events http://t.co/3qVZ3PiVjB #NY21,,,,,
627078259658891264,2962813893,repstefanik,TweetDeck,2015-07-31 11:28:02,2,1,ICYMI: I recently introduced the Flexible Pell Grant for 21st Century Students Act --&gt; http://t.co/JZl6tPQNjQ #NY21 http://t.co/rJxBCTaupR,,,,,
626894979286171648,2962813893,repstefanik,TweetDeck,2015-07-30 23:19:44,3,2,"Stefanik year-round Pell legislation gaining quick momentum, via @poststar http://t.co/R7FyVNNXBH #NY21",,,,,
626763123614183424,2962813893,repstefanik,TweetDeck,2015-07-30 14:35:48,3,0,.@AdkEnterprise: It’s been a busy month for Stefanik before recess http://t.co/zP8A5m9U7w #NY21,,,,,
626754619050455041,2962813893,repstefanik,TweetDeck,2015-07-30 14:02:00,5,0,RT @WDTnews: .@drum10thmtn first-ever female deputy commanding general embraces new role #NNY http://t.co/0XJnqJWZS8 http://t.co/ancJrRrCwD,,,626745667399118848,18727106,WDTnews
626513674623156224,2962813893,repstefanik,TweetDeck,2015-07-29 22:04:34,9,0,RT @RepSwalwell: Time to move @Career1Stop into 21cen. Intro'd bill w @RepStefanik @RepRichHudson to improve their online job services http…,,,626513353750511617,942156122,RepSwalwell
626484509471588352,2962813893,repstefanik,Twitter for iPhone,2015-07-29 20:08:41,1,6,Enjoyed sitting down and visiting with our amazing summer D.C. interns this afternoon!#NY21 http://t.co/taTvF4uV1E,,,,,
626390641988210688,2962813893,repstefanik,TweetDeck,2015-07-29 13:55:41,2,3,#NY21 -- I hope you can join me at my Coffee with Your Congresswoman in Keene on August 4th http://t.co/sZEolbVjnd http://t.co/7081Cl3XVC,,,,,
626099386741825537,2962813893,repstefanik,Twitter for iPhone,2015-07-28 18:38:20,3,5,Spoke with @WVNYWFFF in my Washington office this afternoon about the 21st Century Cures Act #Cures2015 http://t.co/ad4lgPYW2m,,,,,
626040734521671681,2962813893,repstefanik,Twitter for iPhone,2015-07-28 14:45:17,6,11,Enjoyed sitting down to record a video celebrating the @NEAarts' 50th Anniversary today! http://t.co/dJWWALVabt,,,,,
