id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627241732544045061,3044993235,reptedlieu,Twitter for iPhone,2015-07-31 22:17:37,1,2,"TY 2 all our Summer 2015 DC interns! If u want 2 intern 4 my offices in DC or CA, plz contact my offices 4 more info. http://t.co/d6KjKu4TGT",,,,,
627121025445183488,3044993235,reptedlieu,Twitter Web Client,2015-07-31 14:17:58,5,2,Given CA drought time is now 4 bold cuts 2 carbon pollution. I support @POTUS #CleanPowerPlan  http://t.co/huNgkHIPVP http://t.co/Xh7AszJq5P,,,,,
626827122833813505,3044993235,reptedlieu,Twitter Web Client,2015-07-30 18:50:06,4,0,.@DeptofDefense named climate change an immediate risk 2 national security We need the #CleanPowerPlan #actonclimate http://t.co/jR7Us74fDi,,,,,
626799541946183680,3044993235,reptedlieu,TweetDeck,2015-07-30 17:00:30,4,3,"Thanks to Medicare, almost all seniors in America now have health coverage: http://t.co/hofqtCfeLs #Medicareat50 http://t.co/mmyPELnHix",,,,,
626781761758982144,3044993235,reptedlieu,Twitter for iPhone,2015-07-30 15:49:51,4,3,Check out my interview w/ @FamousDC on @Snapchat! View it on the app by following @thefamousdc - up 4 nxt 24hrs! http://t.co/P5ClDW1O3e,,,,,
626459214194601984,3044993235,reptedlieu,Twitter Web Client,2015-07-29 18:28:10,0,1,"TY 2 all who submitted photos for the #MyCA33 photo contest, we received so many! Winners will be announced on 8/7! Plz call my DC w/ any Qs",,,,,
626419339932139521,3044993235,reptedlieu,Twitter Web Client,2015-07-29 15:49:43,5,0,#WhatsTheGOPClimatePlan? Sen. Snowball @SenateDems @SenMarkey @SenWhitehouse have RealPlan2 #ActOnClimate @sierraclub http://t.co/xQgGb12Myg,,,,,
626415994244857857,3044993235,reptedlieu,Twitter Web Client,2015-07-29 15:36:25,118,0,RT @SenatorReid: Republicans have no solution for climate change because they refuse to acknowledge there's a problem.,,,626410494614765568,16789970,SenatorReid
626414371321851904,3044993235,reptedlieu,Twitter Web Client,2015-07-29 15:29:58,16,0,RT @climateprogress: Climate change means major economic losses for the South http://t.co/SF7uTfd73f  http://t.co/ciT9SFCZtm,,,626414224110186496,28657802,climateprogress
626413596650700800,3044993235,reptedlieu,Twitter for iPhone,2015-07-29 15:26:54,20,20,.@sierraclub: I could not agree more. #WhatsTheGOPClimatePlan? Answer: this photo:  @CaucusOnClimate @SEEC  http://t.co/r7SLjZ8qDQ,sierraclub,626410579188690944,,,
626154456174960640,3044993235,reptedlieu,TweetDeck,2015-07-28 22:17:10,2,1,My statement on the latest GOP efforts to undermine regulations that ensure clean air and safe drinking water: http://t.co/nUdHRt9plc,,,,,
626100358448816128,3044993235,reptedlieu,Twitter Web Client,2015-07-28 18:42:12,1,0,"RT @tedlieu: I am always thankful for life's small victories. Today, at Los Angeles Air Force Base, I passed the #AirForce physical fitness…",,,626093880153276416,21059255,tedlieu
626036617829031936,3044993235,reptedlieu,Twitter Web Client,2015-07-28 14:28:55,63,0,RT @ericschmidt: Here's why Google is pledging to #ActOnClimate: http://t.co/xsFo99ksGK,,,626035915924770816,93957809,ericschmidt
626036580730445824,3044993235,reptedlieu,Twitter Web Client,2015-07-28 14:28:46,0,1,TY @ericschmidt @google 4 awesome leadership re: #ActOnClimate Our future hangs in the balance We must #ActOnClimate http://t.co/YFIL3kWC8g,,,,,
626031747784966145,3044993235,reptedlieu,Twitter Web Client,2015-07-28 14:09:34,258,0,RT @google: Today Google and 12 other U.S. businesses pledged to #ActonClimate. See what we’re doing → http://t.co/wPKu4UBzoF http://t.co/j…,,,625747405112254464,20536157,google
626031497330458624,3044993235,reptedlieu,Twitter Web Client,2015-07-28 14:08:34,2,1,.@WhiteHouse American Business #ActOnClimate Pledge w leaders like @google must show way 4 climate action in Congress http://t.co/U9DZgG2OSg,,,,,
625668354750173184,3044993235,reptedlieu,Twitter Web Client,2015-07-27 14:05:34,8,0,RT @NBCAsianAmerica: .@tedlieu backs an act cracking down on LGBT discrimination. http://t.co/5KGbVwDwY0 http://t.co/KbUlHf50bA,,,624614097133252611,2535377622,NBCAsianAmerica
624316562170732544,3044993235,reptedlieu,Twitter for iPhone,2015-07-23 20:34:02,4,0,"RT @KariHamerschlag: Thx @JuliaBrownley26 @RepLoisCapps @RepCardenas @RepSusanDavis @RepTedLieu for voting w/ the people, not agribiz lobby…",,,624312634465058816,39189488,KariHamerschlag
624247914542596096,3044993235,reptedlieu,Twitter Web Client,2015-07-23 16:01:15,6,7,Honored 2 b @LGBTEqCaucus ViceChair &amp; #EqualityAct co-sponsor. Love is Love. #equalityforward! http://t.co/EelVbFUWA1 http://t.co/ybU4UQNjvA,,,,,
623895642042179584,3044993235,reptedlieu,TweetDeck,2015-07-22 16:41:27,0,0,My bill reauthorizing vital collection of economic data was just passed unanimously by @OversightDems @GOPoversight: http://t.co/No4MegYmFl,,,,,
623585309817729024,3044993235,reptedlieu,TweetDeck,2015-07-21 20:08:18,0,1,"As a @usairforce reservist, I was honored to lead a bipartisan congressional delegation to Langley AFB today. http://t.co/sGjmYgy0yt",,,,,
623537532886716416,3044993235,reptedlieu,Twitter for iPhone,2015-07-21 16:58:27,0,2,"Are u on @Snapchat? Add me @ RepTedLieu 2 check out my first snap! Fun Fact - #Snapchat HQ is in #CA33 in Venice, CA! http://t.co/gaaYWZmhOc",,,,,
623026447272288256,3044993235,reptedlieu,Twitter for iPhone,2015-07-20 07:07:34,2,0,Great photo of the campus! Thanks 4 submitting! #MyCA33  https://t.co/04zjrYgeAF,,,,,
622845212847681536,3044993235,reptedlieu,Twitter for iPhone,2015-07-19 19:07:25,1,1,2DAY is the LAST DAY 2 submit ur photos! Follow @RepTedLieu &amp; hashtag #MyCA33 2 submit photos! http://t.co/hFshCjMWuY http://t.co/nOSQDRioZj,,,,,
622535199591632896,3044993235,reptedlieu,Twitter for iPhone,2015-07-18 22:35:32,1,0,only one more day left to submit your photos for #MyCA33 photo contest! http://t.co/hFshCjMWuY http://t.co/OlWoZqFim4,,,,,
622179049029275648,3044993235,reptedlieu,TweetDeck,2015-07-17 23:00:19,1,5,ICYMI: Free birth control reduces teen pregnancies and abortions by 40%: http://t.co/Sw8Yq4nw2c #reprohealth @NARAL @PPFA @PPact @NAPAWF,,,,,
622156290798788608,3044993235,reptedlieu,Twitter Web Client,2015-07-17 21:29:53,0,1,"Today, @NancyPelosi @SheilaKuehl @KevinMcKeownSM and I spoke out about the urgent need to fund our nation's highways: http://t.co/2LLKBvkPRF",,,,,
622155484372553728,3044993235,reptedlieu,Twitter Web Client,2015-07-17 21:26:41,1,3,"Thanks for all your entries, Marta! Beautiful photos! #MyCA33 https://t.co/KXXqXJfjdT",,,,,
622154961124724736,3044993235,reptedlieu,Twitter Web Client,2015-07-17 21:24:36,1,2,"CA33 is a great place to watch fireworks, what a view! Thanks for entering! #MyCA33 https://t.co/t4bmlVkzo6",,,,,
622150874320773120,3044993235,reptedlieu,Twitter Web Client,2015-07-17 21:08:22,2,0,2 days left &amp; I want to see your pics! Enter #MyCA33 photo contest! Details and rules here: http://t.co/hFshCjMWuY http://t.co/waBhLVZB3c,,,,,
622108599821684736,3044993235,reptedlieu,Twitter Web Client,2015-07-17 18:20:23,22,0,RT @NancyPelosi: Joined @RepTedLieu at the @CAincline to discuss the need for a long-term Highway Trust Fund bill. #RebuildRenew http://t.c…,,,622108033162813440,15764644,NancyPelosi
622108496029478912,3044993235,reptedlieu,Twitter Web Client,2015-07-17 18:19:58,4,3,Infrastructure invest. boosting economy seen @CAincline @santamonicacity! #RebuildRenew @NancyPelosi @KevinMcKeownSM http://t.co/HE2rEDgg5F,,,,,
622098771028131840,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:41:19,7,0,RT @CAincline: .@NancyPelosi &amp; @RepTedLieu at @Caincline supporting highway funds.  #rebuildandrenew. Thank you team! #SantaMonica http://t…,,,622098705982722048,3031730258,CAincline
622095076072792065,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:26:38,3,2,TY .@KevinMcKeownSM @YouthBuildUSA 4 #RebuildRenew event 2day. We must invest in USA infrastructure. #GrowAmericaAct http://t.co/LuP8IEn0Jj,,,,,
622093728858161152,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:21:17,4,1,#RebuildRenew America ='s investing in infrastructure #GrowAmericaAct @HouseDemocrats @TransportDems @WaysMeansCmte http://t.co/uTEMtnXrnX,,,,,
622091646499430400,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:13:01,3,1,'Middle class forged the steel in the spine of USA economy' #RebuildRenew #GrowAmericaAct @CAincline @santamonicacity http://t.co/YSh0MJ8Y42,,,,,
622090827523858432,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:09:45,1,1,Rusty Hicks @LALabor 'We need long term infrastructure solution from Congress' #RebuildRenew #GrowAmericaAct http://t.co/AU2f2jtjZ4,,,,,
622089662174261248,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:05:07,1,0,.@NancyPelosi re: #RebuildRenew 'Backbone of USA is the middle class; that's what we need to improve' #GrowAmericaAct http://t.co/vMXWMvr0mg,,,,,
622089092898123776,3044993235,reptedlieu,Twitter Web Client,2015-07-17 17:02:52,1,2,Now: @NancyPelosi Talking #Infrastructure #Investment #RebuildRenew  @santamonicacity @CAincline @HouseDemocrats http://t.co/0kGmfc3pum,,,,,
622088210248790016,3044993235,reptedlieu,Twitter Web Client,2015-07-17 16:59:21,3,1,Phil Washington .@metrolosangeles 'When USA invests in infrastructure it invests in communities' #RebuildRenew http://t.co/ToKSXxf7a1,,,,,
622087174373154818,3044993235,reptedlieu,Twitter Web Client,2015-07-17 16:55:14,0,0,Ron Miller @LAOC_BTrades 'We appeal 2 everyone in Congress 2 support Grow America Act' @NancyPelosi @HouseDemocrats http://t.co/6y7rAXvuX0,,,,,
622086138833039360,3044993235,reptedlieu,Twitter Web Client,2015-07-17 16:51:07,1,1,.@KevinMcKeownSM - '@CAincline is perfect example of how federal money ='s vital contribution locally' #RebuildRenew http://t.co/BdT9f9NmPH,,,,,
622085491131850752,3044993235,reptedlieu,Twitter Web Client,2015-07-17 16:48:33,2,1,.@SheilaKuehl - 'LA County is grateful 4 efforts of @NancyPelosi in bringing federal dollars to region' #RebuildRenew http://t.co/U6pzz5nMxM,,,,,
622083513525903360,3044993235,reptedlieu,Twitter Web Client,2015-07-17 16:40:42,5,6,Now: Presser w @NancyPelosi. We must #RebuildRenew USA via #infrastructure investment @CAincline @santamonicacity http://t.co/GpZR2qTc2A,,,,,
621827119031697408,3044993235,reptedlieu,Twitter Web Client,2015-07-16 23:41:52,2,3,"My thoughts, prayers and condolences - and those of my staff - go out to the victims and survivors of the terrible events in #Chattanooga.",,,,,
621778082085621760,3044993235,reptedlieu,Twitter Web Client,2015-07-16 20:27:01,2,4,I addressed @NOAA climate report @genprogress summit 2day.  It's unacceptable 2 deny #ActOnClimate @CAPenergypolicy http://t.co/3MwGQYajv6,,,,,
621775356937285633,3044993235,reptedlieu,Twitter Web Client,2015-07-16 20:16:11,0,0,3 more days &amp; counting! Live in CA33 &amp; love 2 take photos? Enter #MyCA33 photo contest! http://t.co/hFshCjMWuY http://t.co/icBXSKvtTB,,,,,
621740076314324992,3044993235,reptedlieu,Twitter for iPhone,2015-07-16 17:56:00,5,0,RT @SFCAction: Great to hear from @RepTedLieu at the #MakeProgressSummit2015 on how we can #ActOnClimate http://t.co/gR0BJMNt9r,,,621738080341487616,3180927372,SFCAction
621739724454150144,3044993235,reptedlieu,iOS,2015-07-16 17:54:36,2,3,Honored 2 deliver #ActOnClimate keynote  @genprogress summit Yng leaders will b the difference in safe climate mvmnt http://t.co/qmxYt8jeI2,,,,,
621732740040400897,3044993235,reptedlieu,Twitter for iPhone,2015-07-16 17:26:51,1,0,TY @genprogress.  You can follow my official account here @RepTedLieu  https://t.co/2MDJuYvcd1,,,,,
