id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
626500463723159556,242873057,reptipton,TweetDeck,2015-07-29 21:12:05,2,1,Our Small Bank Exam Cycle Reform Act (H.R. 1553) passed out of @FinancialCmte w/ unanimous bipartisan support today: http://t.co/Zq5w9uxZsI,,,,,
626158797795512320,242873057,reptipton,TweetDeck,2015-07-28 22:34:25,1,1,"Just passed the REINS Act in the House to curb overregulation, empower Main Street growth and job creation http://t.co/tiMPoaS6G1",,,,,
626123953665409029,242873057,reptipton,TweetDeck,2015-07-28 20:15:58,0,1,"Tune in live to our @FinancialCmte markup which includes H.R. 1553, my Small Bank Exam Cycle Reform Act. http://t.co/uOxXyslKEj",,,,,
626036920506843137,242873057,reptipton,TweetDeck,2015-07-28 14:30:07,1,0,RT @GlenwoodPI: Guest opinion by @RepTipton: Dodd-Frank is destroying community banks. http://t.co/D6RxoCreVK,,,626012486131666944,2496996247,GlenwoodPI
626036825354805248,242873057,reptipton,TweetDeck,2015-07-28 14:29:45,4,0,RT @FinancialCmte: LIVE 10AM EST “The Dodd-Frank Act Five Years Later: Are We More Prosperous?” http://t.co/XNDhNaTgBp,,,626016995163656193,42924141,FinancialCmte
625684357160783874,242873057,reptipton,TweetDeck,2015-07-27 15:09:10,1,0,"My latest op-ed discusses the first 5 years of Dodd-Frank, its impact on small banks &amp; reforms we're working on: http://t.co/Io1ip1mKPv",,,,,
624222855023214592,242873057,reptipton,TweetDeck,2015-07-23 14:21:40,4,0,RT @FinancialCmte: TUNE IN 10AM ET “Ending ‘Too Big to Fail’: What is the Proper Role of Capital and Liquidity?” http://t.co/0lEjzTbroo,,,624215616401076224,42924141,FinancialCmte
623980174116298752,242873057,reptipton,TweetDeck,2015-07-22 22:17:21,1,0,Spoke on the House floor today to continue pressure on the Interior Secretary to save the #Colowyo Mine. Watch here: https://t.co/ASZV3kazwH,,,,,
623528966398320640,242873057,reptipton,TweetDeck,2015-07-21 16:24:24,5,4,Good perspective by @COBankersAssn on the 5th Anniversary of #DoddFrank &amp; reforms needed to fix it incl H.R. 2896 http://t.co/gD0B2gapZ9,,,,,
623526865890881537,242873057,reptipton,TweetDeck,2015-07-21 16:16:04,7,0,RT @FinancialCmte: TODAY #DoddFrank turns 5 yrs old - .@FinancialCmte Digital Short: #DoddFrank - 5 Years of Failures WATCH http://t.co/zSi…,,,623507026757423105,42924141,FinancialCmte
622258040759263232,242873057,reptipton,TweetDeck,2015-07-18 04:14:12,6,1,Met w/ @Interior Secretary Jewell in Glenwood tonight to discuss the #Colowyo Mine. 220 jobs are at stake in NW CO: http://t.co/CkoWvWCDiS,,,,,
622060695975292928,242873057,reptipton,TweetDeck,2015-07-17 15:10:01,1,1,Always great to join Paul on @KRDONewsRadio This morning's interview on topics from #IranNuclearDeal to the Fed: http://t.co/hol7jjfKZk,,,,,
621757134443835392,242873057,reptipton,TweetDeck,2015-07-16 19:03:47,2,2,"House passed #HR2898, our water bill to improve infrastructure, provide drought relief, &amp; protect water rights. http://t.co/EBAoax5SL9",,,,,
621755251935313920,242873057,reptipton,TweetDeck,2015-07-16 18:56:18,2,0,RT @westerncaucus: WC members @CynthiaLummis @RepTipton @RepMimiWalters @RepLaMalfa &amp; @RepMcClintock on passage of western water bill http:…,,,621729420743716864,144986277,westerncaucus
621424432196755456,242873057,reptipton,TweetDeck,2015-07-15 21:01:44,2,3,My exchange today w/ @federalreserve Chair Janet Yellen on the need to tailor community bank regulations. http://t.co/a77hKFM0UU,,,,,
621321497454465024,242873057,reptipton,TweetDeck,2015-07-15 14:12:43,5,0,RT @FinancialCmte: WATCH LIVE 10 AM ET We’ll hear from Fed Chair Janet Yellen on monetary policy &amp; state of econ http://t.co/U7OQpp09Jr,,,621315132296196096,42924141,FinancialCmte
621063637197824000,242873057,reptipton,TweetDeck,2015-07-14 21:08:04,1,1,"Video of exchange today w/ witnesses in @FinancialCmte on onerous, ineffective regulation Fed regulation: https://t.co/xNtvMOfC7k",,,,,
621001743980171264,242873057,reptipton,TweetDeck,2015-07-14 17:02:08,4,1,My statement outlining some of the questions and concerns I have on the proposed #IranDeal is available here:  http://t.co/HKRyx2nan5,,,,,
620960867786600448,242873057,reptipton,TweetDeck,2015-07-14 14:19:42,2,2,We're examining the lack of accountability and transparency at the Federal Reserve in @FinancialCmte. Tune in live: http://t.co/rFeHoNJ8yb,,,,,
620693467245645824,242873057,reptipton,TweetDeck,2015-07-13 20:37:09,1,1,ICYMI: In @DailySentinelGJ ‘No benefit’ ⁰to designating habitat area ⁰for (yellow billed) cuckoo. http://t.co/6sArBnQEyf,,,,,
620632063897567232,242873057,reptipton,TweetDeck,2015-07-13 16:33:09,2,2,@ChieftainNews In Pueblo over 1000 gathered to give the community's Vietnam Veterans the welcome home they deserved: http://t.co/XFB8fBKbNZ,ChieftainNews,,,,
619215619771269120,242873057,reptipton,TweetDeck,2015-07-09 18:44:42,5,4,Proud to work w/ @SenBennetCO @SenCoryGardner as we continue to fight for the #Colowyo Mine. See the latest here: http://t.co/OIxcUap9xc,,,,,
619156538578612224,242873057,reptipton,TweetDeck,2015-07-09 14:49:56,0,0,The Dodd-Frank Act Five Years Later: Are We More Stable? Tune in live to our hearing in @FinancialCmte : http://t.co/hXaxHmV5Zy,,,,,
618890042648461312,242873057,reptipton,TweetDeck,2015-07-08 21:10:59,1,2,The SIFI threshold is impacting regional banks’ ability to make loans: http://t.co/tbgpjwNjgC,,,,,
618839275065462784,242873057,reptipton,TweetDeck,2015-07-08 17:49:15,1,0,RT @FinancialCmte: WATCH NOW Hearing to discuss #DoddFrank SIFI designation process http://t.co/WXG6BHl9F9,,,618833722587136001,42924141,FinancialCmte
618839249803210752,242873057,reptipton,TweetDeck,2015-07-08 17:49:09,1,0,RT @FinancialCmte: July marks 5 years of #DoddFrank. Today we look at SIFI designations &amp; associated costs http://t.co/WXG6BHl9F9,,,618834335546896384,42924141,FinancialCmte
617304861126713346,242873057,reptipton,TweetDeck,2015-07-04 12:12:02,2,6,Happy #4th! God bless all of our veterans and active duty troops who make our #independence possible. Thank you for your service!,,,,,
615904119765635076,242873057,reptipton,TweetDeck,2015-06-30 15:25:59,1,1,ICYMI: Good story in @DailySentinelGJ on SCOTUS EPA decision: Coal ruling throws ‘monkey wrench’ into agency’s plans. http://t.co/MOEstJFr4D,,,,,
615635076844548096,242873057,reptipton,TweetDeck,2015-06-29 21:36:54,2,3,Thanks @CraigMoffatEDP and everyone who participated in this morning's #energy roundtable discussion in Craig. http://t.co/omcfoVsnOY,,,,,
615602092493926400,242873057,reptipton,TweetDeck,2015-06-29 19:25:50,4,3,My statement on SCOTUS decision against EPA's overreaching regulations on affordable electricity: http://t.co/zupP2JjIjK,,,,,
615571086156132353,242873057,reptipton,TweetDeck,2015-06-29 17:22:38,0,0,Just a reminder to join us tonight if you live in the Craig area for a town hall meeting. It starts at 5:30. Details: http://t.co/3rDrUfYp5p,,,,,
615536793786654720,242873057,reptipton,TweetDeck,2015-06-29 15:06:22,1,0,ICYMI: The Roller Dam turned 100 this weekend! More on the celebration in Palisade from @NewsChannel5GJ  http://t.co/05UH6ZEQho,,,,,
615535708644708352,242873057,reptipton,TweetDeck,2015-06-29 15:02:03,1,1,Thanks @KKCO11News for covering our visit to Mesa County this weekend which centered around healthcare and water. http://t.co/pqgYVAC0vu,,,,,
614497308311453696,242873057,reptipton,TweetDeck,2015-06-26 18:15:49,1,1,We will hold a town hall mtg in Craig on Monday. Hope to see you there! #Colowyo will be a topic of discussion. More: http://t.co/3rDrUfYp5p,,,,,
614193582703046656,242873057,reptipton,TweetDeck,2015-06-25 22:08:55,3,0,My amdt to redirect funds from EPA admin to wildfire prevention efforts attached to Interior Approps Act today. More: http://t.co/9FYDl0XFJT,,,,,
614119728467046400,242873057,reptipton,TweetDeck,2015-06-25 17:15:27,0,3,Just introduced legislation to provide small banks and credit unions relief from onerous compliance burdens. More: http://t.co/9OWOj9nlRu,,,,,
614089454026891265,242873057,reptipton,TweetDeck,2015-06-25 15:15:09,2,0,RT @FinancialCmte: HAPPENING NOW “Examining Continuing Allegations of Discrimination and Retaliation at #CFPB” http://t.co/v60OG9cITN,,,614088631247065088,42924141,FinancialCmte
613499810251845632,242873057,reptipton,TweetDeck,2015-06-24 00:12:07,2,2,Today we voted to repeal IPAB--created by Obamacare--and protect seniors’ access to Medicare. Learn more: http://t.co/cLosEjFKxn,,,,,
611602097587535872,242873057,reptipton,Twitter Web Client,2015-06-18 18:31:17,4,4,TPA isn't a trade agreement. It’s a process to give the American people oversight of trade negotiations. Learn more: http://t.co/q3Il9vrTIc,,,,,
611210404954509312,242873057,reptipton,TweetDeck,2015-06-17 16:34:50,8,0,RT @FinancialCmte: You know what the Fin Stability Oversight Council doesn’t believe is a threat to our nation’s financial stability? http:…,,,611198001630052354,42924141,FinancialCmte
611172821943885825,242873057,reptipton,TweetDeck,2015-06-17 14:05:30,4,0,RT @FinancialCmte: TUNE IN 10AM ET “The Annual Report of the Financial Stability Oversight Council” http://t.co/CtRnOfUO8Y,,,611162823654293504,42924141,FinancialCmte
610952157345546241,242873057,reptipton,TweetDeck,2015-06-16 23:28:39,1,1,Spoke on the House floor today on the #Colowyo Mine &amp; the devastating impact it's closure would have on CO families: https://t.co/ahZ2SFmyK5,,,,,
610812890363351040,242873057,reptipton,TweetDeck,2015-06-16 14:15:16,0,1,"Tune in live now to our discussion in @FinancialCmte on cyber threats, and what can be done to stop them. http://t.co/vR1ssiXVSF",,,,,
610040248916013056,242873057,reptipton,TweetDeck,2015-06-14 11:05:03,6,5,Happy #FlagDay and 240th Birthday to the U.S. #Army! Thanks to all of our veterans and troops who make this day possible.,,,,,
609142325017640960,242873057,reptipton,TweetDeck,2015-06-11 23:37:02,1,1,Today's @FinancialCmte hearing included discussion on our Small Bank Exam Cycle Reform Act (H.R. 1553) http://t.co/BlGn7unxnC,,,,,
609087214815997952,242873057,reptipton,TweetDeck,2015-06-11 19:58:02,1,1,Tune in live to @FinancialCmte hearing on legislation to preserve consumer choice and financial independence. http://t.co/6XXInIJLvH,,,,,
609071403078438912,242873057,reptipton,TweetDeck,2015-06-11 18:55:13,1,1,This editorial in today's @ChieftainNews on EPA's overreaching #WOTUS rule is spot on: http://t.co/okblfTBPyA,,,,,
609043042675220480,242873057,reptipton,TweetDeck,2015-06-11 17:02:31,2,0,RT @FinancialCmte: Free enterprise has lifted more ppl out of poverty than all Washington’s bureaucratic anti-poverty programs combined htt…,,,609017136736931840,42924141,FinancialCmte
609042896344367104,242873057,reptipton,TweetDeck,2015-06-11 17:01:56,0,0,@NatResources advanced proactive forest mgmt legislation today to address hazardous conditions on fed public lands: http://t.co/pbjsf44Vr9,NatResources,,,,
608726164904013826,242873057,reptipton,TweetDeck,2015-06-10 20:03:21,4,0,"RT @NatResources: FACT: Forests are healthiest when properly managed, not when left alone. Learn more: http://t.co/KDgoiQ5Xs1 http://t.co/s…",,,608695382466506752,41445718,NatResources
608725982153990145,242873057,reptipton,TweetDeck,2015-06-10 20:02:38,1,2,ICYMI in today's @DurangoHerald Tipton: Unwieldy federal bureaucracy prevents proper forest management http://t.co/KdxwoSQkYP #wildfire,,,,,
608402753535242240,242873057,reptipton,TweetDeck,2015-06-09 22:38:14,2,3,"Today the House passed H.R. 235, of which I'm a co-sponsor, to permanently ban internet access taxes-keeping this vital resource affordable.",,,,,
604072075117117441,242873057,reptipton,TweetDeck,2015-05-28 23:49:40,6,5,Fed's #sagegrouse land-use plan is a step backward and jeopardizes successful state and local efforts underway: http://t.co/xY7FrenO6Q,,,,,
603710044908171265,242873057,reptipton,TweetDeck,2015-05-27 23:51:05,8,0,"RT @westerncaucus: Western Caucus Chairman @CynthiaLummis: @EPA Spurns Public Comment, State Input: Finalizes #WOTUS Rule http://t.co/pZjiw…",,,603650946737020928,144986277,westerncaucus
603710027904450560,242873057,reptipton,TweetDeck,2015-05-27 23:51:01,3,0,RT @NatResources: Chairman #RobBishop: WOTUS Rule Undermines States’ Rightful Primacy in Water Management http://t.co/KHHcyCMR5o http://t.c…,,,603675763758538752,41445718,NatResources
603709982157230081,242873057,reptipton,TweetDeck,2015-05-27 23:50:50,4,2,My full statement on @EPA overreaching #WOTUS rule. More of the same from this Administration. http://t.co/lOTEPT8CFL,,,,,
603584006651682817,242873057,reptipton,TweetDeck,2015-05-27 15:30:15,0,0,"Join us tonight in Pagosa Springs for a town hall meeting, or tomorrow in Alamosa. Hope to see you! Details here: http://t.co/ROJ4JWJLTv",,,,,
603571387895164928,242873057,reptipton,TweetDeck,2015-05-27 14:40:07,1,1,ICYMI: @DailySentinelGJ on our concerns that BLM's RMP on the West Slope restricts access to public land &amp; roads http://t.co/BLEzPfTkyA,,,,,
602857424148537344,242873057,reptipton,TweetDeck,2015-05-25 15:23:05,3,2,Thinking of families who have lost a loved one in service to our great nation. God bless those who gave all for our freedom. #MemorialDay,,,,,
