id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627190625994149888,2914515430,reptomemmer,Twitter Web Client,2015-07-31 18:54:32,1,0,RT @FinancialCmte: WATCH @FinancialCmte Sun Video Msg: #DoddFrank Act Fifth Anniversary Special http://t.co/n3XkOQBVaG,,,625402724880756736,42924141,FinancialCmte
627189523756228608,2914515430,reptomemmer,Twitter Web Client,2015-07-31 18:50:09,1,3,"Thanks to @NRFnews for naming me one of the Heroes of Main Street! Retailers, big and small, are crucial to the success of our communities.",,,,,
626854608795770881,2914515430,reptomemmer,Twitter Web Client,2015-07-30 20:39:19,2,1,Want valuable work experience? Apply by August 15th  to become one of our fall interns! https://t.co/cZdJTuwBbk http://t.co/Mm0hVWinng,,,,,
626507625396609024,2914515430,reptomemmer,Twitter Web Client,2015-07-29 21:40:32,23,0,RT @repjohnkline: I'm voting for the VA Accountability Act to ensure our veterans who have served and sacrificed are the priority over care…,,,626502465932894208,76350004,repjohnkline
626499137723367425,2914515430,reptomemmer,Twitter Web Client,2015-07-29 21:06:48,1,2,This week I introduced legislation which would require bullet proof glass at all military recruiting centers http://t.co/3Y0Eo7ETDi,,,,,
626484484045713408,2914515430,reptomemmer,Twitter Web Client,2015-07-29 20:08:35,4,7,“Opening trade with the people and businesses of Cuba will create new opportunities for companies in both of our countries” -@Tampa_Chamber,,,,,
626463274423447553,2914515430,reptomemmer,Twitter Web Client,2015-07-29 18:44:18,5,2,Check out my @rollcall op-ed:  A New Vision for an Old Relationship http://t.co/GRPEV5Zspj,,,,,
626447712981000193,2914515430,reptomemmer,Twitter Web Client,2015-07-29 17:42:28,3,6,“Minnesota Farmers Union policy has long supported normalizing trade relations with Cuba” - @MNFarmersUnion,,,,,
626430682223509504,2914515430,reptomemmer,Twitter Web Client,2015-07-29 16:34:47,2,2,".@ijreview Buzz is a little salty he didn’t make the list. I mean, he’s even wearing a suit! https://t.co/CKuEvpYcJ9 https://t.co/4Ohv3ET89B",,,,,
626424082825920513,2914515430,reptomemmer,Twitter Web Client,2015-07-29 16:08:34,3,0,"RT @ConsultReid: Rep. Tom Emmer, who took Michele Bachmann's seat, leading effort on GOP side to lift Cuba trade embargo - http://t.co/SkOR…",,,626412800970203136,12272322,ConsultReid
626420861290041345,2914515430,reptomemmer,Twitter Web Client,2015-07-29 15:55:46,2,5,"“NFU fully supports the Cuba Trade Act of 2015, which will lift the failed trade embargo and boost U.S. agricultural exports to Cuba”-@NFUDC",,,,,
626409942065500160,2914515430,reptomemmer,Twitter Web Client,2015-07-29 15:12:22,4,5,"""Restoring normal trade and diplomacy between the United States and Cuba serves our strategic interests in the hemisphere” - @NFTC",,,,,
626394892114259968,2914515430,reptomemmer,Twitter Web Client,2015-07-29 14:12:34,8,9,"""Lifting the trade embargo with Cuba will open up many opportunities for Minnesota agriculture.” - @MNFarmBureau",,,,,
626146203932213248,2914515430,reptomemmer,Twitter Web Client,2015-07-28 21:44:22,3,4,Thanks to my colleague @USRepKCastor for joining me on the Cuba Trade Act of 2015! https://t.co/fG68PrmTui,,,,,
626139325525270528,2914515430,reptomemmer,Twitter Web Client,2015-07-28 21:17:02,10,0,"RT @ric23: Thank you @RepTomEmmer: ""This isn't about Cuban gov't—it's about people on the street looking for more opportunity"" https://t.co…",,,626018338364354564,16177937,ric23
626139226996887553,2914515430,reptomemmer,Twitter Web Client,2015-07-28 21:16:39,4,0,RT @cda_dc: Go @RepTomEmmer ! We were honored to travel with you to #Cuba and support your bill to end the embargo http://t.co/tA9m4Q7fSG v…,,,626031175316803584,61804141,cda_dc
626099666204106752,2914515430,reptomemmer,Twitter Web Client,2015-07-28 18:39:27,18,9,I'm proud to sponsor the Cuba Trade Act of 2015 which we introduced today. Visit http://t.co/G3IEcanKSf for more info http://t.co/apmk9bu70S,,,,,
626041265692536833,2914515430,reptomemmer,Twitter Web Client,2015-07-28 14:47:23,0,1,A few weeks ago I spoke on the House Floor in support of the REINS ACT. Watch here: https://t.co/5EKSgD3TTE,,,,,
625794357937971200,2914515430,reptomemmer,Twitter Web Client,2015-07-27 22:26:16,11,3,"I will be holding several town halls in August, hope to see you there! Visit http://t.co/pZ1uxyzZl4 for one near you. http://t.co/obMkMezeHi",,,,,
