id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
624200635643244545,1058345042,reptomrice,Twitter Web Client,2015-07-23 12:53:23,0,3,"ICYMI: Yesterday, I spoke with Greta Brawner on C-SPAN Washington Journal. Watch here: http://t.co/brmK0cQaXN",,,,,
623835739655172097,1058345042,reptomrice,Instagram,2015-07-22 12:43:25,1,1,"I'm talking to Greta Brawner this morning on C-SPAN Washington Journal.  If you have a moment, give… https://t.co/t5nhrBr9wB",,,,,
623164380641931264,1058345042,reptomrice,Twitter Web Client,2015-07-20 16:15:40,0,0,ICYMI: My Op Ed in @TheSunNews: International Drive - Another Badly Needed Project Delayed http://t.co/0YKKUzM2no,,,,,
621418877717770240,1058345042,reptomrice,Twitter Web Client,2015-07-15 20:39:40,0,0,"My statement on the Highway and Transportation Funding Act of 2015, Part II --&gt; http://t.co/W4jbDajszj #sctweets",,,,,
620996808051961856,1058345042,reptomrice,Instagram,2015-07-14 16:42:31,0,0,"Happening now: I'm speaking with Fox Business Network on ""Cavuto Coast to Coast"" about my long-term… https://t.co/6JnbF2ddPn",,,,,
620671925166149632,1058345042,reptomrice,Twitter Web Client,2015-07-13 19:11:33,0,0,Just announced: #SC07 Pee Dee District Staff July Mobile Office Hours: http://t.co/TLSZY4FjIm #sctweets,,,,,
619568377166753792,1058345042,reptomrice,Twitter Web Client,2015-07-10 18:06:26,0,1,25 jobs coming to Florence County! #sctweets #SC07 #jobsjobsjobs http://t.co/WxtO43EBHC,,,,,
619217591400308736,1058345042,reptomrice,Twitter Web Client,2015-07-09 18:52:32,4,1,I've introduced a long-term fix for the Highway Trust Fund. Read more here: https://t.co/TPDNlOKttd,,,,,
618450451537727488,1058345042,reptomrice,Twitter Web Client,2015-07-07 16:04:12,2,2,ATTN #SC07 - Great news! Dozens of jobs coming to Georgetown County! #sctweets #jobsjobsjobs https://t.co/DQHfyz0yty,,,,,
615626290431959040,1058345042,reptomrice,Twitter Web Client,2015-06-29 21:02:00,0,0,My statement on the #SCOTUS #EPA ruling: http://t.co/Z7Y5nMdu5e,,,,,
614126068149153792,1058345042,reptomrice,Twitter Web Client,2015-06-25 17:40:39,1,1,My statement on the Supreme Court's #Obamacare ruling: http://t.co/VkPAdayj4V #sctweets,,,,,
613079555511832577,1058345042,reptomrice,Twitter Web Client,2015-06-22 20:22:11,219,0,RT @WSJ: South Caroline Gov. @nikkihaley calls for removal of Confederate flag. Watch live: http://t.co/3SAxoAqxlb http://t.co/N9dvDwmyhj,,,613078107352924160,3108351,WSJ
613079491527766016,1058345042,reptomrice,Twitter Web Client,2015-06-22 20:21:55,23,0,"RT @mkraju: ""It's time to remove that flag from the Capitol grounds,"" Haley says",,,613077061272498176,39155029,mkraju
613076501907550213,1058345042,reptomrice,Twitter Web Client,2015-06-22 20:10:03,1,1,Proud to stand with my colleagues and our Gov. @nikkihaley today. #sctweets  https://t.co/5RqZ3xGc4g,,,,,
