id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627199891173982208,234014087,repwilson,Twitter Web Client,2015-07-31 19:31:21,2,0,Second Chance Pell Pilot is a huge first step toward ensuring more individuals get a second chance to turn their lives around. @arneduncan,,,,,
627139519536611329,234014087,repwilson,Twitter Web Client,2015-07-31 15:31:27,2,1,Still not giving up! #JoinRepWilson in effort to #BringBackOurGirls! http://t.co/T9ExTf7Wnw,,,,,
627138614225432577,234014087,repwilson,Twitter Web Client,2015-07-31 15:27:51,196,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
626809860219256833,234014087,repwilson,Twitter Web Client,2015-07-30 17:41:30,8,6,472 days have gone by and 219 girls are still missing. It's time to #BringBackOurGirls! #JoinRepWilson http://t.co/dkw6e0k8eA,,,,,
626510295276650496,234014087,repwilson,Twitter Web Client,2015-07-29 21:51:09,4,4,It was last #WearSomethingRedWednesday of the summer but we won't end our call to #BringBackOurGirls! #JoinRepWilson. http://t.co/jl6ZhqTA5J,,,,,
626486744989466626,234014087,repwilson,Twitter Web Client,2015-07-29 20:17:34,3,4,It was a joy to welcome this family from Florida that stepped up w/ @RepWilson in the call to #BringBackOurGirls! http://t.co/dWfswIhcx2,,,,,
626483533805154304,234014087,repwilson,TweetDeck,2015-07-29 20:04:48,0,1,Truck drivers need the #PayrollFraudPreventionAct to #EndMisclassification. @Teamsters @Change2Win http://t.co/Ld8IUMNWka,,,,,
626482999664746496,234014087,repwilson,TweetDeck,2015-07-29 20:02:41,0,0,Construction workers need the #PayrollFraudPreventionAct to #EndMisclassification. @boilermakernews @roofersunion http://t.co/ovlZ1l8UKL,,,,,
626482835935858689,234014087,repwilson,TweetDeck,2015-07-29 20:02:02,0,0,Construction workers need the #PayrollFraudPreventionAct to #EndMisclassification. @InsulatorsUnion @UAPipeTrades http://t.co/D46dK468ju,,,,,
626482457756463104,234014087,repwilson,TweetDeck,2015-07-29 20:00:32,0,1,Construction workers need the #PayrollFraudPreventionAct to #EndMisclassification. @GoIUPAT @AFLCIO @IUBAC @LIUNA http://t.co/akidXGr0Mt,,,,,
626480723340435456,234014087,repwilson,TweetDeck,2015-07-29 19:53:38,1,0,Home health care workers need the #PayrollFraudPreventionAct to #EndMisclassification.  @NELPNews @Change2Win @SEIU http://t.co/POYnfeUQdZ,,,,,
626453850912894976,234014087,repwilson,Twitter Web Client,2015-07-29 18:06:51,1,1,Watch @RepWilson pay tribute to former Miami Dade Police Director Robert Parker. @5000RoleModels https://t.co/aHP4Puw857,,,,,
626446866088001536,234014087,repwilson,TweetDeck,2015-07-29 17:39:06,14,10,Misclassification cheats truck drivers out of fair pay. #PayrollFraudPreventionAct 2 #EndMisclassification http://t.co/8wkrM79LuW,,,,,
626446356672962560,234014087,repwilson,TweetDeck,2015-07-29 17:37:04,5,2,Misclassification cheats construction workers out of fair pay. #PayrollFraudPreventionAct 2 #EndMisclassification http://t.co/Kc4nDFp06F,,,,,
626445853662670848,234014087,repwilson,TweetDeck,2015-07-29 17:35:04,0,0,Misclassification cheats home health care workers out of fair pay. #PayrollFraudPreventionAct 2 #EndMisclassification http://t.co/V4FrqLFQYa,,,,,
626445093281468416,234014087,repwilson,TweetDeck,2015-07-29 17:32:03,0,0,Misclassification cheats the federal government &amp; taxpayers. #PayrollFraudPreventionAct to #EndMisclassification. http://t.co/27I4aG9UkM,,,,,
626444670080450560,234014087,repwilson,TweetDeck,2015-07-29 17:30:22,0,0,Misclassification cheats law-abiding businesses. They need the #PayrollFraudPreventionAct to #EndMisclassification http://t.co/oE3wnim4HV,,,,,
626444104751157248,234014087,repwilson,TweetDeck,2015-07-29 17:28:07,1,0,Misclassification strips workers of their of labor rights.   #PayrollFraudPreventionAct to #EndMisclassification. http://t.co/0xqPO5KDQv,,,,,
626442087056019456,234014087,repwilson,TweetDeck,2015-07-29 17:20:06,2,2,Today I joined with @RepBobbyScott @Repjohnconyers @RepDonaldPayne  to introduce the #PayrollFraudPreventionAct to #EndMisclassification.,,,,,
626440831033958400,234014087,repwilson,TweetDeck,2015-07-29 17:15:07,1,0,Today I introduced the #PayrollFraudPreventionAct to #EndMisclassification. http://t.co/Htupa989Rc,,,,,
626393690991407104,234014087,repwilson,Twitter Web Client,2015-07-29 14:07:48,9,3,It's Wear Something Red Wednesday! #JoinRepWilson today in call to #BringBackOurGirls! http://t.co/VwMb7JCJbb,,,,,
626393486636486656,234014087,repwilson,Twitter Web Client,2015-07-29 14:06:59,1,1,@RepWilson will soon honor Miami Dade Police Director Robert Parker. Tune in to your local C-span channel or view @ http://t.co/9oggx6gXpL,RepWilson,,,,
626115098441027584,234014087,repwilson,Twitter Web Client,2015-07-28 19:40:46,2,1,Let's make this week's Wear Something Red Wednesday our biggest turnout yet! #JoinRepWilson to #BringBackOurGirls! http://t.co/vDVWfCQ6DJ,,,,,
626096264166379520,234014087,repwilson,Twitter Web Client,2015-07-28 18:25:56,2,1,Too many days have passed. #JoinRepWilson to #BringBackOurGirls! http://t.co/08QMyzSB9P,,,,,
625721794889170944,234014087,repwilson,Twitter Web Client,2015-07-27 17:37:55,7,4,Honored 2 receive support 4 #BringBackOurGirls from Mandela Fellows @WhiteHouse @YALINetwork visiting SF and FIU. http://t.co/PWO8YSc78A,,,,,
625719567273328640,234014087,repwilson,Twitter Web Client,2015-07-27 17:29:04,13,4,I will never give up. I believe that they are still alive. Rep. Wilson @ #BringBackOurGirls press conference Sunday. http://t.co/fc0Z5HQW7W,,,,,
625678800681070592,234014087,repwilson,Twitter Web Client,2015-07-27 14:47:05,11,5,469 days too many have passed. Time to #BringBackOurGirls. #JoinRepWilson in fight to make sure they're not forgotten http://t.co/4MLlblsNGX,,,,,
