id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
625773469129641984,1096059529,senatorrisch,Twitter for iPhone,2015-07-27 21:03:16,1,2,I'll be live in a few moments with @wolfblitzer on @CNNSitRoom to discuss the #IranDeal and what's next for it in the Senate.,,,,,
624577667711541248,1096059529,senatorrisch,Twitter Web Client,2015-07-24 13:51:34,2,3,I'll be speaking live at 8:05 a.m MDT with Kevin Miller about the Iran deal on @580KIDO. I hope you can listen in: http://t.co/SlZz1ohnw3,,,,,
623934500628770816,1096059529,senatorrisch,Twitter for iPhone,2015-07-22 19:15:51,2,3,Proud to honor industry leaders like @microntech last night as @SenAngusKing &amp; I launched Semiconductor Caucus. http://t.co/xOpmmz44Po,,,,,
623930902234681348,1096059529,senatorrisch,Twitter Web Client,2015-07-22 19:01:33,3,0,RT @StandWithMainSt: .@IdahoCamera &amp; @JonesSewAndVac1 met w/ @SenatorRisch to discuss how pro-growth bill l#RTPA would help #smallbiz http:…,,,623930582943203328,172501766,StandWithMainSt
621762885245607936,1096059529,senatorrisch,Twitter Web Client,2015-07-16 19:26:38,12,11,"Space batteries made by @INL last so long, the battery powering #NewHorizon was built when #Pluto was still a planet--proud of Idaho's lab.",,,,,
621067711049822209,1096059529,senatorrisch,Twitter Web Client,2015-07-14 21:24:15,9,6,My statement on the disastrous nuclear deal with Iran: http://t.co/0Lw03lVE4N,,,,,
621042641841618945,1096059529,senatorrisch,Twitter Web Client,2015-07-14 19:44:38,1,2,I'll be live on @BBCWorld at 3 p.m. MDT. Tune in if you can. https://t.co/r3oIf8e2AO,,,,,
619168057739640832,1096059529,senatorrisch,Twitter Web Client,2015-07-09 15:35:43,8,7,So proud to share w/ my colleagues the great work @INL does to support America's energy infrastructure at #NatLabDay. http://t.co/dVmSf21Adp,,,,,
613442311687663616,1096059529,senatorrisch,Twitter Web Client,2015-06-23 20:23:38,48,39,"Today is the 1,000th day of #PastorSaeed's imprisonment in Iran. So near to Father's Day, too. Vicki &amp; my prayers go out to Saeed &amp; family.",,,,,
610919091885481985,1096059529,senatorrisch,Twitter Web Client,2015-06-16 21:17:16,3,3,The Georgians are such a warm and welcoming people. My sympathies go out to those affected by the terrible flood in Tbilisi. #tbilisiflood,,,,,
608718489138917376,1096059529,senatorrisch,Twitter Web Client,2015-06-10 19:32:51,1,2,These bright Idahoans are our future - proud of their hard work and big accomplishments. https://t.co/Amw004nDwF,,,,,
608685432939945985,1096059529,senatorrisch,Twitter for iPhone,2015-06-10 17:21:30,1,1,I'll be live with @wolfblitzer in a minute to discuss.  https://t.co/pWL3uBNxsZ,,,,,
608365145383927810,1096059529,senatorrisch,Twitter Web Client,2015-06-09 20:08:48,0,2,Thank you for visiting me - glad to help in any way I can. https://t.co/Y00PGtL14H,,,,,
606924131767078913,1096059529,senatorrisch,Twitter for iPhone,2015-06-05 20:42:43,7,0,RT @wolfblitzer: I'll also interview Intelligence Committee member @SenatorRisch today in @CNNSitRoom 5-7PM ET http://t.co/0c0WENzUg1,,,606923933791735808,71294756,wolfblitzer
