id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627246049694978048,224285242,senbennetco,TweetDeck,2015-07-31 22:34:46,3,3,"Today in Northern CO, we discussed the need for a longterm highway trust fund bill. Then kicked off The Working For Working Families Tour",,,,,
626849390884483072,224285242,senbennetco,TweetDeck,2015-07-30 20:18:35,10,4,"Over the last 50 years, Medicare and Medicaid have improved the quality of life for many Coloradans #KeepingUSHealthy http://t.co/8GI2Bb61BT",,,,,
626812350159564800,224285242,senbennetco,TweetDeck,2015-07-30 17:51:24,6,6,"We don't need a @Forbes list to know Colorado is a great state for business, but having 5 cities named is great news http://t.co/YPzIxG6JyI",,,,,
626082618426171392,224285242,senbennetco,TweetDeck,2015-07-28 17:31:42,2,4,"No worker should have to sacrifice a day’s pay, or their job altogether, just to take care of themselves or their sick child. #HFAnow",,,,,
626065442533179396,224285242,senbennetco,TweetDeck,2015-07-28 16:23:27,15,12,"From Denver parks to the San Juan Mountains, the LWCF has protected land across CO and helped our tourism economy http://t.co/U4Dv6TLGDG",,,,,
625360752996519936,224285242,senbennetco,Twitter for iPhone,2015-07-26 17:43:16,8,9,"25 years ago today, the ADA took effect. A historic piece of legislation the led to greater equality for those living with disabilities.",,,,,
624290595410939904,224285242,senbennetco,TweetDeck,2015-07-23 18:50:51,11,9,Everyone should have a fair chance to provide for their families no matter who they are or love #EqualityForward http://t.co/LyFw6RwKIt,,,,,
621791181060636672,224285242,senbennetco,TweetDeck,2015-07-16 21:19:04,3,7,"Passing ECAA has been a long time coming, and it’s encouraging we passed it with overwhelming bipartisan support http://t.co/jLJUNpzDPL",,,,,
621682216272285696,224285242,senbennetco,TweetDeck,2015-07-16 14:06:05,3,0,RT @lynn_bartels: .@SenBennetCO brings his education experience to revising No Child Left Behind. http://t.co/q6q4eJZEhR #copolitics,,,621678718130360320,103952733,lynn_bartels
621409578262130689,224285242,senbennetco,TweetDeck,2015-07-15 20:02:43,1,7,Solving income inequality starts with a great education. Let's give all our kids a chance to succeed https://t.co/34N6yWhC2V,,,,,
621383240281145344,224285242,senbennetco,TweetDeck,2015-07-15 18:18:03,8,10,Congratulations to @lynn_bartels on an unbelievable run. Legendary work. #copolitics,,,,,
