id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627269104924258305,2891210047,sendansullivan,TweetDeck,2015-08-01 00:06:23,2,0,"In case you missed it, I joined @Morning_Joe to discuss Sec. Kerry’s contention that it’s the #IranDeal or war. https://t.co/GHbzB6PTFX",,,,,
626932896427806721,2891210047,sendansullivan,TweetDeck,2015-07-31 01:50:25,3,0,"#DRIVEAct provides fiscal certainty and funding for AK’s critical infrastructure, cuts red tape, streamlines regs. http://t.co/opBN6pycvk",,,,,
626886705019265024,2891210047,sendansullivan,TweetDeck,2015-07-30 22:46:52,8,5,"Judge threatening to “haul into court” IRS commissioner for noncompliance, also stood up for late Sen. Ted Stevens. http://t.co/DWfML684L0",,,,,
626827397724246016,2891210047,sendansullivan,TweetDeck,2015-07-30 18:51:12,3,2,I'll be speaking on the Senate floor momentarily re: #IranDeal &amp; supposed snapback. Watch here: http://t.co/nt9gWmzlbG,,,,,
626496691068272640,2891210047,sendansullivan,TweetDeck,2015-07-29 20:57:05,29,44,".@TayaKyle, carrying on her husband’s legacy of service, yesterday opened Chris Kyle Patriots Hospital in Anchorage. http://t.co/fsNagfBnlr",,,,,
626440831092789248,2891210047,sendansullivan,Twitter Web Client,2015-07-29 17:15:07,2,2,"CJ Umbs, Juneau swimmer, bringing home gold, silver &amp; bronze from @LA2015. Great job 2 all our athletes! https://t.co/bWy26aFMxa #ReachUpLA",,,,,
626352286323900416,2891210047,sendansullivan,Twitter for iPhone,2015-07-29 11:23:16,2,1,Joining @Morning_Joe today at 7:30am ET to discuss the #IranDeal. Hope you can tune in!,,,,,
626157818945495041,2891210047,sendansullivan,TweetDeck,2015-07-28 22:30:32,6,5,"Congrats to General Garrett and General Shields, former USARAK commanders, promoted to the rank of Lt. General. http://t.co/S6VEGiO3Mz",,,,,
626113904540807168,2891210047,sendansullivan,TweetDeck,2015-07-28 19:36:02,2,2,"Majority of Americans want Congress to reject Obama Administration's #IranDeal, according to new @CNN poll. http://t.co/idiESMOJCc",,,,,
625799358399836160,2891210047,sendansullivan,TweetDeck,2015-07-27 22:46:08,2,3,"Joined @JRubinBlogger @washingtonpost 2 discuss bipartisan concern over #IranDeal, &amp; fallacy of sanctions snap-back. https://t.co/S7WKl8TNCM",,,,,
625396552039841792,2891210047,sendansullivan,Twitter for iPhone,2015-07-26 20:05:31,2,4,About to join @EricShawnonFox on @FoxNews to discuss the troubling details of the President's #IranDeal. http://t.co/A0PoWUNoGR,,,,,
624362775796666370,2891210047,sendansullivan,TweetDeck,2015-07-23 23:37:40,8,6,I have read and been briefed on the #IranDeal by the  Administration. Watch my reaction today on the Senate floor: https://t.co/IaS5Jzc5lc,,,,,
624342927695810560,2891210047,sendansullivan,TweetDeck,2015-07-23 22:18:48,3,3,"@SusanFleurant Thank you for visiting my office, and best wishes for your continuing internship and education at Colby!",SusanFleurant,624300171023773698,,,
624341195393769472,2891210047,sendansullivan,TweetDeck,2015-07-23 22:11:55,0,3,"I appreciate the kind words @AlaskanKate. Our service members, vets, families and spouses sacrifice so much for us all.",AlaskanKate,624308401573490689,,,
624321191298252802,2891210047,sendansullivan,TweetDeck,2015-07-23 20:52:25,1,2,I will be speaking on the Senate floor shortly regarding the #IranDeal. Watch here: http://t.co/nt9gWmQW3e,,,,,
624309602700492800,2891210047,sendansullivan,TweetDeck,2015-07-23 20:06:23,0,2,"ICYMI, see @KDNNews rundown of my exchange with Gen. Milley on developing Arctic ops plan before moving troops. http://t.co/RVcEsw8M5l",,,,,
624238402964205568,2891210047,sendansullivan,TweetDeck,2015-07-23 15:23:27,0,1,Did you catch the story about a bear walking into zoo looking for a place to sleep? Makes me homesick. #OnlyinAlaska http://t.co/AmGlZl3GGm,,,,,
623932282328387584,2891210047,sendansullivan,TweetDeck,2015-07-22 19:07:02,0,1,"Congrats Pearl Watson, new official hostess of @cityoffairbanks! Your dedication will serve Golden Heart City well. http://t.co/qSFW6FHxje",,,,,
